,time,PM2.5,humidity,temperature
0,2021-10-04 20:00:00,29.2,100.0,26.8
1,2021-10-04 21:00:00,28.9,100.0,26.6
2,2021-10-04 22:00:00,32.3,100.0,26.2
3,2021-10-04 23:00:00,35.9,100.0,26.2
4,2021-10-05 00:00:00,39.0,100.0,26.1
5,2021-10-05 01:00:00,35.6,100.0,26.3
6,2021-10-05 02:00:00,33.2,100.0,26.8
7,2021-10-05 03:00:00,25.5,100.0,26.7
8,2021-10-05 04:00:00,28.2,100.0,26.5
9,2021-10-05 05:00:00,25.2,100.0,26.1
10,2021-10-05 06:00:00,23.3,100.0,25.8
11,2021-10-05 07:00:00,50.5,100.0,26.3
12,2021-10-05 08:00:00,30.1,97.4,27.3
13,2021-10-05 09:00:00,42.1,92.4,28.8
14,2021-10-05 10:00:00,30.2,80.7,31.2
15,2021-10-05 11:00:00,19.6,70.9,32.6
16,2021-10-05 12:00:00,25.6,68.0,33.3
17,2021-10-05 13:00:00,21.5,63.7,33.8
18,2021-10-05 14:00:00,20.1,62.5,34.1
19,2021-10-05 15:00:00,16.7,63.9,33.9
20,2021-10-05 16:00:00,12.2,66.7,33.2
21,2021-10-05 17:00:00,13.4,71.6,32.4
22,2021-10-05 18:00:00,18.0,77.6,31.3
23,2021-10-05 19:00:00,39.4,81.4,30.6
24,2021-10-05 20:00:00,22.0,85.4,30.2
25,2021-10-05 21:00:00,12.8,87.1,29.8
26,2021-10-05 22:00:00,10.7,87.0,29.6
27,2021-10-05 23:00:00,11.4,90.6,29.0
28,2021-10-06 00:00:00,12.2,95.4,28.4
29,2021-10-06 01:00:00,11.7,95.2,28.4
30,2021-10-06 02:00:00,11.4,93.4,28.6
31,2021-10-06 03:00:00,12.2,94.5,28.3
32,2021-10-06 04:00:00,13.2,96.6,28.2
33,2021-10-06 05:00:00,16.3,97.9,27.7
34,2021-10-06 06:00:00,16.4,99.4,27.2
35,2021-10-06 07:00:00,17.6,99.8,27.3
36,2021-10-06 08:00:00,15.2,98.7,27.6
37,2021-10-06 09:00:00,21.8,93.9,29.0
38,2021-10-06 10:00:00,22.9,87.6,30.2
39,2021-10-06 11:00:00,25.7,83.0,31.2
40,2021-10-06 12:00:00,26.4,76.7,32.4
41,2021-10-06 13:00:00,19.6,69.5,33.4
42,2021-10-06 14:00:00,19.0,64.0,34.1
43,2021-10-06 15:00:00,13.6,64.0,33.9
44,2021-10-06 16:00:00,18.1,64.8,33.6
45,2021-10-06 17:00:00,23.9,69.3,33.0
46,2021-10-06 18:00:00,32.3,74.7,31.9
47,2021-10-06 19:00:00,50.1,85.4,30.2
48,2021-10-06 20:00:00,34.5,88.3,29.4
49,2021-10-06 21:00:00,35.4,86.4,30.2
