,time,PM2.5,humidity,temperature
0,2021-10-07 20:00:00,25.2,79.3,31.6
1,2021-10-07 21:00:00,32.5,83.9,31.0
2,2021-10-07 22:00:00,36.2,84.1,30.9
3,2021-10-07 23:00:00,36.6,85.9,30.6
4,2021-10-08 00:00:00,36.1,87.8,30.3
5,2021-10-08 01:00:00,39.5,90.9,29.9
6,2021-10-08 02:00:00,39.9,90.4,29.8
7,2021-10-08 03:00:00,30.9,91.2,29.5
8,2021-10-08 04:00:00,26.2,93.8,28.9
9,2021-10-08 05:00:00,25.1,94.8,28.8
10,2021-10-08 06:00:00,23.6,95.2,28.4
11,2021-10-08 07:00:00,24.3,91.9,28.6
12,2021-10-08 08:00:00,27.4,87.6,29.3
13,2021-10-08 09:00:00,24.7,74.6,30.7
14,2021-10-08 10:00:00,18.4,63.9,31.8
15,2021-10-08 11:00:00,18.0,63.0,32.6
16,2021-10-08 12:00:00,18.5,63.7,33.0
17,2021-10-08 13:00:00,15.0,63.1,33.4
18,2021-10-08 14:00:00,13.3,61.6,33.9
19,2021-10-08 15:00:00,12.7,60.9,34.5
20,2021-10-08 16:00:00,12.8,62.9,33.9
21,2021-10-08 17:00:00,15.5,64.3,33.5
22,2021-10-08 18:00:00,23.4,67.3,32.6
23,2021-10-08 19:00:00,26.6,67.8,31.9
24,2021-10-08 20:00:00,26.9,67.7,31.7
25,2021-10-08 21:00:00,24.3,66.5,31.8
26,2021-10-08 22:00:00,17.9,66.9,31.6
27,2021-10-08 23:00:00,14.6,68.4,31.2
28,2021-10-09 00:00:00,10.4,66.9,31.1
29,2021-10-09 01:00:00,12.3,68.9,30.7
30,2021-10-09 02:00:00,14.5,69.3,30.5
31,2021-10-09 03:00:00,11.1,68.8,30.6
32,2021-10-09 04:00:00,23.7,75.3,30.2
33,2021-10-09 05:00:00,30.1,80.1,29.8
34,2021-10-09 06:00:00,28.5,86.8,29.2
35,2021-10-09 07:00:00,27.1,91.1,28.7
