,time,PM2.5,humidity,temperature
0,2021-10-08 20:00:00,30.1,53.1,31.6
1,2021-10-08 21:00:00,24.6,53.8,31.4
2,2021-10-08 22:00:00,33.0,57.3,31.2
3,2021-10-08 23:00:00,30.4,56.8,31.4
4,2021-10-09 00:00:00,20.9,57.3,30.8
5,2021-10-09 01:00:00,19.7,58.0,30.3
6,2021-10-09 02:00:00,22.6,55.6,30.2
7,2021-10-09 03:00:00,25.1,58.0,29.9
8,2021-10-09 04:00:00,18.1,57.8,29.9
9,2021-10-09 05:00:00,17.0,58.1,29.7
10,2021-10-09 06:00:00,15.1,58.5,29.5
11,2021-10-09 07:00:00,27.3,63.9,29.2
12,2021-10-09 08:00:00,43.1,66.5,29.5
13,2021-10-09 09:00:00,47.8,67.6,29.4
14,2021-10-09 10:00:00,30.6,61.0,30.0
15,2021-10-09 11:00:00,21.0,58.9,29.8
16,2021-10-09 12:00:00,15.3,68.6,28.0
17,2021-10-09 13:00:00,15.6,74.2,26.9
18,2021-10-09 14:00:00,14.1,75.4,26.9
19,2021-10-09 15:00:00,11.6,76.9,26.5
20,2021-10-09 16:00:00,11.3,78.6,26.1
21,2021-10-09 17:00:00,12.7,80.3,25.9
22,2021-10-09 18:00:00,11.6,80.4,25.7
23,2021-10-09 19:00:00,9.2,80.8,25.6
24,2021-10-09 20:00:00,7.4,80.7,25.7
25,2021-10-09 21:00:00,6.1,81.3,25.1
26,2021-10-09 22:00:00,4.5,81.9,24.8
27,2021-10-09 23:00:00,2.8,82.5,24.5
28,2021-10-10 00:00:00,2.2,81.6,24.7
29,2021-10-10 01:00:00,2.7,79.8,24.8
30,2021-10-10 02:00:00,6.6,81.5,24.7
31,2021-10-10 03:00:00,5.9,82.2,24.6
32,2021-10-10 04:00:00,5.0,83.2,24.3
33,2021-10-10 05:00:00,5.8,83.0,24.3
34,2021-10-10 06:00:00,8.1,83.2,24.4
35,2021-10-10 07:00:00,7.6,83.9,24.4
36,2021-10-10 08:00:00,5.4,84.6,24.3
37,2021-10-10 09:00:00,5.4,84.0,24.4
38,2021-10-10 10:00:00,5.6,83.8,24.6
39,2021-10-10 11:00:00,7.0,84.3,24.7
40,2021-10-10 12:00:00,6.5,83.7,25.0
41,2021-10-10 13:00:00,5.8,84.4,24.9
42,2021-10-10 14:00:00,4.4,85.1,24.6
43,2021-10-10 15:00:00,2.9,85.3,24.5
44,2021-10-10 16:00:00,2.2,85.3,24.4
45,2021-10-10 17:00:00,1.7,85.6,24.4
46,2021-10-10 18:00:00,1.3,85.6,24.3
47,2021-10-10 19:00:00,1.2,85.6,24.2
48,2021-10-10 20:00:00,2.1,85.8,24.2
49,2021-10-10 21:00:00,3.6,85.8,24.2
50,2021-10-10 22:00:00,4.1,85.8,24.3
51,2021-10-10 23:00:00,1.6,85.6,24.4
52,2021-10-11 00:00:00,1.7,85.4,24.4
53,2021-10-11 01:00:00,3.8,85.4,24.4
54,2021-10-11 02:00:00,3.2,85.1,24.6
55,2021-10-11 03:00:00,3.2,85.0,24.6
56,2021-10-11 04:00:00,4.3,85.0,24.6
57,2021-10-11 05:00:00,2.1,85.4,24.3
58,2021-10-11 06:00:00,3.3,85.5,24.0
59,2021-10-11 07:00:00,4.8,85.7,23.8
60,2021-10-11 08:00:00,4.1,86.0,23.7
61,2021-10-11 09:00:00,4.1,86.2,23.5
62,2021-10-11 10:00:00,1.5,86.0,23.7
63,2021-10-11 11:00:00,1.8,85.4,23.7
64,2021-10-11 12:00:00,5.3,85.1,23.8
65,2021-10-11 13:00:00,3.8,85.1,24.0
66,2021-10-11 14:00:00,2.1,84.5,23.8
67,2021-10-11 15:00:00,3.8,84.9,23.5
68,2021-10-11 16:00:00,3.9,85.1,23.6
69,2021-10-11 17:00:00,3.9,85.3,23.5
70,2021-10-11 18:00:00,4.3,85.1,23.4
71,2021-10-11 19:00:00,3.4,84.5,23.6
72,2021-10-11 20:00:00,4.8,84.0,23.6
73,2021-10-11 21:00:00,5.0,83.0,23.6
74,2021-10-11 22:00:00,7.2,81.2,23.6
75,2021-10-11 23:00:00,7.1,80.0,23.6
76,2021-10-12 00:00:00,8.5,79.0,23.4
77,2021-10-12 01:00:00,11.7,77.4,23.1
78,2021-10-12 02:00:00,6.0,75.5,23.2
79,2021-10-12 03:00:00,4.8,74.5,23.2
80,2021-10-12 04:00:00,5.3,73.8,23.0
81,2021-10-12 05:00:00,9.4,76.8,22.7
82,2021-10-12 06:00:00,15.5,77.1,22.5
83,2021-10-12 07:00:00,8.1,74.6,22.9
84,2021-10-12 08:00:00,11.1,70.0,24.3
85,2021-10-12 09:00:00,9.7,63.3,25.7
86,2021-10-12 10:00:00,6.8,61.4,25.6
87,2021-10-12 11:00:00,6.3,62.3,26.1
88,2021-10-12 12:00:00,3.9,55.8,27.8
89,2021-10-12 13:00:00,4.4,55.0,28.3
90,2021-10-12 14:00:00,4.0,52.3,29.1
91,2021-10-12 15:00:00,5.7,52.0,29.4
92,2021-10-12 16:00:00,5.3,53.3,28.9
93,2021-10-12 17:00:00,5.0,55.9,27.8
94,2021-10-12 18:00:00,5.1,58.7,26.6
95,2021-10-12 19:00:00,6.9,60.7,25.9
96,2021-10-12 20:00:00,8.0,62.0,25.3
97,2021-10-12 21:00:00,6.8,61.5,25.0
98,2021-10-12 22:00:00,5.2,61.0,24.7
99,2021-10-12 23:00:00,5.0,61.3,24.6
100,2021-10-13 00:00:00,21.5,61.4,24.5
101,2021-10-13 01:00:00,28.3,62.7,24.4
102,2021-10-13 02:00:00,19.8,64.1,24.3
103,2021-10-13 03:00:00,16.8,66.3,24.0
104,2021-10-13 04:00:00,16.6,67.2,23.8
105,2021-10-13 05:00:00,21.7,67.7,24.0
106,2021-10-13 06:00:00,20.7,66.8,24.2
107,2021-10-13 07:00:00,17.6,66.2,24.3
108,2021-10-13 08:00:00,8.1,65.5,24.6
109,2021-10-13 09:00:00,5.2,63.2,25.5
110,2021-10-13 10:00:00,4.8,63.1,25.8
111,2021-10-13 11:00:00,5.0,63.9,25.8
112,2021-10-13 12:00:00,5.3,64.2,25.7
113,2021-10-13 13:00:00,3.7,72.4,24.5
114,2021-10-13 14:00:00,5.8,74.5,24.4
115,2021-10-13 15:00:00,7.2,75.4,24.8
116,2021-10-13 16:00:00,7.8,78.5,24.4
117,2021-10-13 17:00:00,3.9,79.8,23.8
118,2021-10-13 18:00:00,4.2,79.7,23.7
119,2021-10-13 19:00:00,6.3,81.2,23.7
120,2021-10-13 20:00:00,5.7,81.6,23.6
121,2021-10-13 21:00:00,5.2,80.9,23.6
122,2021-10-13 22:00:00,4.6,77.8,23.9
123,2021-10-13 23:00:00,4.5,76.3,24.0
124,2021-10-14 00:00:00,3.8,73.1,24.3
125,2021-10-14 01:00:00,2.2,73.7,23.9
126,2021-10-14 02:00:00,3.2,79.1,23.0
127,2021-10-14 03:00:00,2.5,79.8,22.9
128,2021-10-14 04:00:00,3.1,79.1,23.0
129,2021-10-14 05:00:00,3.3,81.9,22.8
130,2021-10-14 06:00:00,4.6,82.8,22.8
131,2021-10-14 07:00:00,3.5,79.5,22.9
132,2021-10-14 08:00:00,2.9,75.6,23.3
133,2021-10-14 09:00:00,2.7,72.7,23.8
134,2021-10-14 10:00:00,5.6,72.0,23.9
135,2021-10-14 11:00:00,1.9,72.9,23.8
136,2021-10-14 12:00:00,1.3,74.6,23.5
137,2021-10-14 13:00:00,1.3,77.6,23.1
138,2021-10-14 14:00:00,1.6,78.4,23.0
139,2021-10-14 15:00:00,2.2,78.7,23.0
140,2021-10-14 16:00:00,2.8,79.0,22.7
141,2021-10-14 17:00:00,3.7,79.0,22.5
142,2021-10-14 18:00:00,4.3,81.7,22.1
143,2021-10-14 19:00:00,4.7,82.4,21.9
144,2021-10-14 20:00:00,5.5,82.5,21.8
145,2021-10-14 21:00:00,3.7,83.4,21.7
146,2021-10-14 22:00:00,2.3,83.5,21.7
147,2021-10-14 23:00:00,2.2,83.5,21.8
148,2021-10-15 00:00:00,2.0,83.5,21.8
149,2021-10-15 01:00:00,1.6,83.7,21.6
150,2021-10-15 02:00:00,8.2,84.5,21.5
151,2021-10-15 03:00:00,9.7,84.5,21.6
152,2021-10-15 04:00:00,14.7,85.0,21.4
153,2021-10-15 05:00:00,10.8,85.1,21.4
154,2021-10-15 06:00:00,4.3,85.1,21.4
155,2021-10-15 07:00:00,1.9,85.2,21.5
156,2021-10-15 08:00:00,1.3,85.0,21.6
157,2021-10-15 09:00:00,2.1,85.3,21.7
158,2021-10-15 10:00:00,2.8,85.4,21.8
159,2021-10-15 11:00:00,3.2,85.4,22.0
160,2021-10-15 12:00:00,4.5,85.4,22.2
161,2021-10-15 13:00:00,3.2,85.1,22.2
162,2021-10-15 14:00:00,3.9,85.1,22.1
163,2021-10-15 15:00:00,2.5,84.8,22.1
164,2021-10-15 16:00:00,2.1,84.7,22.1
165,2021-10-15 17:00:00,2.1,84.8,21.9
166,2021-10-15 18:00:00,3.1,85.0,21.8
167,2021-10-15 19:00:00,3.4,85.4,21.7
