,time,PM2.5,humidity,temperature
0,2021-09-24 20:00:00,5.9,100.0,26.3
1,2021-09-24 21:00:00,7.5,100.0,26.2
2,2021-09-24 22:00:00,3.9,100.0,25.9
3,2021-09-24 23:00:00,3.5,100.0,25.6
4,2021-09-25 00:00:00,7.3,100.0,25.4
5,2021-09-25 01:00:00,14.9,100.0,25.3
6,2021-09-25 02:00:00,7.9,100.0,25.3
7,2021-09-25 03:00:00,10.6,100.0,25.2
8,2021-09-25 04:00:00,11.2,100.0,25.3
9,2021-09-25 05:00:00,11.2,100.0,23.5
10,2021-09-25 06:00:00,11.2,100.0,23.6
11,2021-09-25 07:00:00,11.2,100.0,23.9
12,2021-09-25 08:00:00,2.1,100.0,24.4
13,2021-09-25 09:00:00,2.9,100.0,25.0
14,2021-09-25 10:00:00,2.9,100.0,26.2
15,2021-09-25 11:00:00,4.7,98.9,27.7
16,2021-09-25 12:00:00,4.1,93.2,29.0
17,2021-09-25 13:00:00,4.3,91.1,29.4
18,2021-09-25 14:00:00,5.1,89.4,29.8
19,2021-09-25 15:00:00,4.2,98.6,28.4
20,2021-09-25 16:00:00,4.8,100.0,26.4
21,2021-09-25 17:00:00,5.6,100.0,26.8
22,2021-09-25 18:00:00,6.8,100.0,26.8
23,2021-09-25 19:00:00,7.3,100.0,26.5
24,2021-09-25 20:00:00,6.7,100.0,26.3
25,2021-09-25 21:00:00,7.0,100.0,26.1
26,2021-09-25 22:00:00,8.6,100.0,26.1
27,2021-09-25 23:00:00,4.7,100.0,25.8
28,2021-09-26 00:00:00,4.0,100.0,25.7
29,2021-09-26 01:00:00,6.7,100.0,25.7
30,2021-09-26 02:00:00,11.6,100.0,25.5
31,2021-09-26 03:00:00,8.2,100.0,25.5
32,2021-09-26 04:00:00,8.9,100.0,25.3
33,2021-09-26 05:00:00,8.9,100.0,25.2
34,2021-09-26 06:00:00,11.0,100.0,25.2
35,2021-09-26 07:00:00,13.2,100.0,25.6
36,2021-09-26 08:00:00,11.2,100.0,26.1
37,2021-09-26 09:00:00,11.1,100.0,26.7
38,2021-09-26 10:00:00,11.1,100.0,27.6
39,2021-09-26 11:00:00,8.8,99.5,28.2
40,2021-09-26 12:00:00,8.5,94.5,29.2
41,2021-09-26 13:00:00,8.0,88.8,30.5
42,2021-09-26 14:00:00,5.1,90.5,29.3
43,2021-09-26 15:00:00,3.3,100.0,25.8
44,2021-09-26 16:00:00,2.4,100.0,24.8
45,2021-09-26 17:00:00,4.7,100.0,25.8
46,2021-09-26 18:00:00,10.4,100.0,26.1
47,2021-09-26 19:00:00,9.0,100.0,26.0
48,2021-09-26 20:00:00,6.1,100.0,25.9
49,2021-09-26 21:00:00,6.2,100.0,25.8
50,2021-09-26 22:00:00,5.2,100.0,25.6
51,2021-09-26 23:00:00,3.4,100.0,25.2
52,2021-09-27 00:00:00,3.9,100.0,25.0
53,2021-09-27 01:00:00,4.1,100.0,25.1
54,2021-09-27 02:00:00,3.2,100.0,24.9
