,time,PM2.5,humidity,temperature
0,2021-10-12 20:00:00,26.5,62.4,25.6
1,2021-10-12 21:00:00,17.8,62.8,25.1
2,2021-10-12 22:00:00,11.7,63.1,24.7
3,2021-10-12 23:00:00,11.9,63.7,24.6
4,2021-10-13 00:00:00,11.7,64.6,24.5
5,2021-10-13 01:00:00,7.9,65.1,24.4
6,2021-10-13 02:00:00,6.3,63.9,24.6
7,2021-10-13 03:00:00,9.7,69.0,24.2
8,2021-10-13 04:00:00,12.3,72.3,24.1
9,2021-10-13 05:00:00,11.2,72.4,24.1
10,2021-10-13 06:00:00,13.1,73.9,24.0
11,2021-10-13 07:00:00,11.2,70.2,24.3
12,2021-10-13 08:00:00,9.2,66.4,25.0
13,2021-10-13 09:00:00,14.6,68.5,25.1
14,2021-10-13 10:00:00,17.3,66.8,25.4
15,2021-10-13 11:00:00,10.8,66.2,25.4
16,2021-10-13 12:00:00,14.6,74.5,24.5
17,2021-10-13 13:00:00,8.7,78.8,24.2
18,2021-10-13 14:00:00,9.0,82.2,23.3
19,2021-10-13 15:00:00,12.6,82.7,23.6
20,2021-10-13 16:00:00,17.6,83.6,23.6
21,2021-10-13 17:00:00,19.0,83.7,23.6
22,2021-10-13 18:00:00,13.1,84.3,23.2
23,2021-10-13 19:00:00,7.4,84.1,23.1
24,2021-10-13 20:00:00,7.3,84.2,23.1
25,2021-10-13 21:00:00,10.5,84.3,23.2
26,2021-10-13 22:00:00,8.1,84.1,23.2
27,2021-10-13 23:00:00,9.2,83.9,23.3
28,2021-10-14 00:00:00,8.3,83.3,23.3
29,2021-10-14 01:00:00,7.7,84.5,22.9
30,2021-10-14 02:00:00,7.3,84.9,22.7
31,2021-10-14 03:00:00,8.0,85.3,22.5
32,2021-10-14 04:00:00,7.9,85.1,22.5
33,2021-10-14 05:00:00,7.7,85.3,22.4
34,2021-10-14 06:00:00,7.5,85.2,22.3
35,2021-10-14 07:00:00,9.4,85.3,22.3
36,2021-10-14 08:00:00,8.9,85.1,22.5
37,2021-10-14 09:00:00,7.3,83.5,22.7
38,2021-10-14 10:00:00,4.5,79.7,22.9
39,2021-10-14 11:00:00,4.5,82.4,22.4
40,2021-10-14 12:00:00,5.4,83.8,22.1
41,2021-10-14 13:00:00,4.5,84.2,21.8
42,2021-10-14 14:00:00,3.2,83.8,21.9
43,2021-10-14 15:00:00,6.4,84.3,21.9
44,2021-10-14 16:00:00,7.6,83.9,21.9
45,2021-10-14 17:00:00,7.9,84.2,21.7
46,2021-10-14 18:00:00,8.2,85.0,21.3
47,2021-10-14 19:00:00,6.2,85.8,21.1
48,2021-10-14 20:00:00,6.4,85.5,21.1
49,2021-10-14 21:00:00,6.1,85.9,21.0
50,2021-10-14 22:00:00,8.0,86.2,20.9
51,2021-10-14 23:00:00,9.0,85.9,21.1
52,2021-10-15 00:00:00,7.9,85.8,21.2
53,2021-10-15 01:00:00,10.6,85.7,21.2
54,2021-10-15 02:00:00,8.8,85.8,21.1
55,2021-10-15 03:00:00,7.5,86.1,21.0
56,2021-10-15 04:00:00,5.8,86.2,21.0
57,2021-10-15 05:00:00,6.4,86.0,21.1
58,2021-10-15 06:00:00,7.6,86.2,21.1
59,2021-10-15 07:00:00,5.4,86.2,21.1
60,2021-10-15 08:00:00,4.9,86.1,21.1
61,2021-10-15 09:00:00,6.0,86.0,21.3
62,2021-10-15 10:00:00,7.0,86.0,21.5
63,2021-10-15 11:00:00,7.8,86.0,21.6
64,2021-10-15 12:00:00,9.5,86.0,21.6
65,2021-10-15 13:00:00,5.8,85.9,21.7
66,2021-10-15 14:00:00,6.6,85.8,21.8
67,2021-10-15 15:00:00,7.7,85.9,21.7
68,2021-10-15 16:00:00,9.8,85.9,21.7
69,2021-10-15 17:00:00,10.9,86.0,21.7
70,2021-10-15 18:00:00,7.4,86.1,21.6
71,2021-10-15 19:00:00,6.7,86.2,21.5
72,2021-10-15 20:00:00,4.0,86.1,21.4
73,2021-10-15 21:00:00,3.7,86.1,21.4
74,2021-10-15 22:00:00,2.4,86.1,21.3
75,2021-10-15 23:00:00,1.8,86.2,21.2
76,2021-10-16 00:00:00,1.9,86.3,21.1
77,2021-10-16 01:00:00,2.1,86.3,21.1
78,2021-10-16 02:00:00,2.5,86.2,21.1
79,2021-10-16 03:00:00,3.5,86.0,21.2
80,2021-10-16 04:00:00,4.3,86.0,21.2
81,2021-10-16 05:00:00,5.2,85.7,21.2
82,2021-10-16 06:00:00,7.2,85.9,21.1
83,2021-10-16 07:00:00,6.8,85.8,21.1
84,2021-10-16 08:00:00,7.9,85.9,21.2
85,2021-10-16 09:00:00,8.1,85.9,21.5
86,2021-10-16 10:00:00,10.3,84.8,21.5
87,2021-10-16 11:00:00,12.3,83.3,22.2
88,2021-10-16 12:00:00,12.1,82.6,22.6
89,2021-10-16 13:00:00,6.8,80.9,22.4
90,2021-10-16 14:00:00,2.1,77.6,22.1
91,2021-10-16 15:00:00,3.7,82.1,21.1
92,2021-10-16 16:00:00,4.8,85.1,20.4
93,2021-10-16 17:00:00,4.6,85.2,20.1
94,2021-10-16 18:00:00,2.6,85.1,20.2
95,2021-10-16 19:00:00,2.9,85.2,20.2
96,2021-10-16 20:00:00,2.4,85.2,20.1
97,2021-10-16 21:00:00,1.8,85.0,19.6
98,2021-10-16 22:00:00,1.7,84.2,19.7
99,2021-10-16 23:00:00,1.7,83.5,19.9
100,2021-10-17 00:00:00,1.7,84.0,19.7
101,2021-10-17 01:00:00,1.7,85.3,19.4
102,2021-10-17 02:00:00,2.8,85.8,19.4
103,2021-10-17 03:00:00,3.3,85.5,19.5
104,2021-10-17 04:00:00,2.4,85.0,19.6
105,2021-10-17 05:00:00,1.3,79.2,19.9
106,2021-10-17 06:00:00,2.6,76.9,20.0
107,2021-10-17 07:00:00,3.8,75.3,19.9
108,2021-10-17 08:00:00,4.6,73.7,20.3
109,2021-10-17 09:00:00,3.2,71.9,20.5
110,2021-10-17 10:00:00,5.0,70.3,20.9
111,2021-10-17 11:00:00,6.4,68.0,21.6
112,2021-10-17 12:00:00,6.2,67.8,21.7
113,2021-10-17 13:00:00,4.9,68.8,21.9
114,2021-10-17 14:00:00,3.6,70.1,22.3
115,2021-10-17 15:00:00,8.5,69.9,22.3
116,2021-10-17 16:00:00,13.8,70.4,21.9
117,2021-10-17 17:00:00,15.9,71.5,21.8
118,2021-10-17 18:00:00,7.9,72.4,21.6
119,2021-10-17 19:00:00,6.8,72.5,21.4
120,2021-10-17 20:00:00,6.6,77.0,20.5
121,2021-10-17 21:00:00,8.6,81.2,20.0
122,2021-10-17 22:00:00,10.5,81.1,19.9
123,2021-10-17 23:00:00,9.9,81.9,19.8
124,2021-10-18 00:00:00,10.4,82.3,19.5
125,2021-10-18 01:00:00,9.7,83.3,19.4
126,2021-10-18 02:00:00,8.4,85.1,19.1
127,2021-10-18 03:00:00,6.5,85.1,19.1
128,2021-10-18 04:00:00,5.9,85.4,19.0
129,2021-10-18 05:00:00,6.5,86.0,18.4
130,2021-10-18 06:00:00,6.5,85.9,18.2
