,time,PM2.5,humidity,temperature
0,2021-10-13 20:00:00,2.9,100.0,24.0
1,2021-10-13 21:00:00,2.5,99.6,24.2
2,2021-10-13 22:00:00,2.0,98.4,24.4
3,2021-10-13 23:00:00,3.6,96.9,24.6
4,2021-10-14 00:00:00,4.4,96.9,24.7
5,2021-10-14 01:00:00,4.2,97.7,24.6
6,2021-10-14 02:00:00,1.6,99.4,24.0
7,2021-10-14 03:00:00,1.1,99.3,23.7
8,2021-10-14 04:00:00,1.0,99.7,23.7
9,2021-10-14 05:00:00,2.7,100.0,23.4
10,2021-10-14 06:00:00,2.6,100.0,23.4
11,2021-10-14 07:00:00,1.6,99.0,23.5
12,2021-10-14 08:00:00,1.7,93.1,24.1
13,2021-10-14 09:00:00,1.2,87.9,24.8
14,2021-10-14 10:00:00,1.2,86.5,24.9
15,2021-10-14 11:00:00,1.2,89.6,24.7
16,2021-10-14 12:00:00,1.2,93.3,24.3
17,2021-10-14 13:00:00,1.2,96.9,23.8
18,2021-10-14 14:00:00,1.2,97.5,23.6
19,2021-10-14 15:00:00,1.2,97.0,23.7
20,2021-10-14 16:00:00,1.2,98.0,23.2
21,2021-10-14 17:00:00,1.2,98.3,23.1
22,2021-10-14 18:00:00,1.0,100.0,22.6
23,2021-10-14 19:00:00,1.3,100.0,22.5
24,2021-10-14 20:00:00,1.7,100.0,22.4
25,2021-10-14 21:00:00,1.3,100.0,22.3
26,2021-10-14 22:00:00,2.6,100.0,22.3
27,2021-10-14 23:00:00,2.2,100.0,22.3
28,2021-10-15 00:00:00,1.4,100.0,22.4
29,2021-10-15 01:00:00,1.2,100.0,22.4
30,2021-10-15 02:00:00,1.2,100.0,22.1
31,2021-10-15 03:00:00,1.2,100.0,22.2
32,2021-10-15 04:00:00,1.2,100.0,21.9
33,2021-10-15 05:00:00,1.2,100.0,21.9
34,2021-10-15 06:00:00,1.2,100.0,22.0
35,2021-10-15 07:00:00,1.2,100.0,21.9
36,2021-10-15 08:00:00,1.2,100.0,22.1
37,2021-10-15 09:00:00,1.4,100.0,22.5
38,2021-10-15 10:00:00,1.5,100.0,22.5
39,2021-10-15 11:00:00,1.1,100.0,22.6
