,time,PM2.5,humidity,temperature
0,2021-10-19 20:00:00,30.3,86.5,24.1
1,2021-10-19 21:00:00,33.4,86.8,24.1
2,2021-10-19 22:00:00,35.4,87.2,24.0
3,2021-10-19 23:00:00,34.2,88.6,23.9
4,2021-10-20 00:00:00,37.2,90.5,23.6
5,2021-10-20 01:00:00,37.1,90.3,23.6
6,2021-10-20 02:00:00,36.9,89.6,23.7
7,2021-10-20 03:00:00,32.5,89.5,23.9
8,2021-10-20 04:00:00,33.3,90.0,23.8
9,2021-10-20 05:00:00,39.3,90.9,23.5
10,2021-10-20 06:00:00,36.7,91.5,23.3
11,2021-10-20 07:00:00,38.2,90.8,23.7
12,2021-10-20 08:00:00,46.2,86.2,25.0
13,2021-10-20 09:00:00,43.6,82.9,26.2
14,2021-10-20 10:00:00,34.6,80.1,27.2
15,2021-10-20 11:00:00,25.6,74.2,28.9
16,2021-10-20 12:00:00,19.9,65.2,31.5
17,2021-10-20 13:00:00,22.0,58.4,33.8
18,2021-10-20 14:00:00,9.9,54.3,34.8
19,2021-10-20 15:00:00,9.1,55.3,34.7
20,2021-10-20 16:00:00,11.3,60.0,33.3
21,2021-10-20 17:00:00,10.0,66.4,31.3
22,2021-10-20 18:00:00,12.3,72.0,30.0
23,2021-10-20 19:00:00,12.8,74.9,29.1
24,2021-10-20 20:00:00,15.0,78.2,28.2
25,2021-10-20 21:00:00,12.7,81.0,27.5
26,2021-10-20 22:00:00,17.0,84.3,27.0
27,2021-10-20 23:00:00,21.9,86.9,26.6
28,2021-10-21 00:00:00,24.6,87.7,26.6
29,2021-10-21 01:00:00,25.8,88.0,26.5
30,2021-10-21 02:00:00,26.9,88.3,26.5
31,2021-10-21 03:00:00,30.0,88.8,26.4
32,2021-10-21 04:00:00,29.1,89.8,26.2
33,2021-10-21 05:00:00,26.5,89.2,26.3
34,2021-10-21 06:00:00,23.2,89.4,26.2
35,2021-10-21 07:00:00,22.7,89.1,26.3
36,2021-10-21 08:00:00,22.6,85.9,27.2
37,2021-10-21 09:00:00,20.2,83.3,27.7
38,2021-10-21 10:00:00,2.5,77.9,22.8
39,2021-10-21 11:00:00,1.7,80.1,22.1
40,2021-10-21 12:00:00,1.7,73.1,23.2
41,2021-10-21 13:00:00,1.7,70.8,23.2
42,2021-10-21 14:00:00,1.7,67.2,23.5
43,2021-10-21 15:00:00,1.7,65.7,23.6
44,2021-10-21 16:00:00,1.6,68.4,23.2
45,2021-10-21 17:00:00,2.2,71.1,22.8
46,2021-10-21 18:00:00,3.7,70.4,22.7
47,2021-10-21 19:00:00,6.6,71.0,22.6
48,2021-10-21 20:00:00,4.8,71.0,22.7
49,2021-10-21 21:00:00,6.3,76.8,22.3
50,2021-10-21 22:00:00,6.8,79.4,22.2
51,2021-10-21 23:00:00,2.7,73.2,22.1
52,2021-10-22 00:00:00,7.7,71.7,22.0
53,2021-10-22 01:00:00,10.1,70.9,21.9
54,2021-10-22 02:00:00,5.9,70.5,21.8
55,2021-10-22 03:00:00,11.5,71.5,21.7
56,2021-10-22 04:00:00,10.5,71.7,21.7
57,2021-10-22 05:00:00,6.3,70.6,21.6
58,2021-10-22 06:00:00,3.9,69.7,21.4
59,2021-10-22 07:00:00,2.2,71.7,21.3
60,2021-10-22 08:00:00,6.9,72.1,21.2
61,2021-10-22 09:00:00,3.8,70.1,21.1
62,2021-10-22 10:00:00,3.0,66.3,21.3
63,2021-10-22 11:00:00,2.7,64.6,21.7
64,2021-10-22 12:00:00,1.2,61.0,22.2
65,2021-10-22 13:00:00,1.2,56.5,22.8
66,2021-10-22 14:00:00,1.0,55.5,23.4
67,2021-10-22 15:00:00,1.5,56.8,22.7
68,2021-10-22 16:00:00,2.9,58.5,22.3
69,2021-10-22 17:00:00,4.6,60.8,21.6
70,2021-10-22 18:00:00,9.0,62.7,21.2
71,2021-10-22 19:00:00,8.8,62.1,21.1
72,2021-10-22 20:00:00,9.6,62.3,21.0
73,2021-10-22 21:00:00,9.0,63.1,20.8
74,2021-10-22 22:00:00,6.6,63.9,20.8
75,2021-10-22 23:00:00,6.8,63.2,20.9
76,2021-10-23 00:00:00,7.1,61.1,20.9
77,2021-10-23 01:00:00,5.9,61.9,20.7
78,2021-10-23 02:00:00,5.7,63.3,20.5
79,2021-10-23 03:00:00,7.2,64.7,20.3
80,2021-10-23 04:00:00,5.5,64.0,20.3
81,2021-10-23 05:00:00,7.2,64.4,20.2
82,2021-10-23 06:00:00,15.9,64.2,20.3
83,2021-10-23 07:00:00,18.2,63.4,20.2
84,2021-10-23 08:00:00,30.3,62.3,20.6
85,2021-10-23 09:00:00,16.2,57.9,21.7
86,2021-10-23 10:00:00,18.1,53.0,23.3
87,2021-10-23 11:00:00,12.7,49.8,24.5
88,2021-10-23 12:00:00,9.6,45.2,26.3
89,2021-10-23 13:00:00,9.0,40.6,28.8
90,2021-10-23 14:00:00,9.1,40.3,29.6
91,2021-10-23 15:00:00,11.0,42.3,29.4
92,2021-10-23 16:00:00,13.5,47.3,27.8
93,2021-10-23 17:00:00,22.4,53.8,25.7
94,2021-10-23 18:00:00,30.7,58.0,24.7
95,2021-10-23 19:00:00,30.1,59.9,24.1
96,2021-10-23 20:00:00,37.4,63.2,23.7
97,2021-10-23 21:00:00,47.0,66.7,23.2
98,2021-10-23 22:00:00,53.0,69.3,22.8
99,2021-10-23 23:00:00,53.9,67.9,23.0
100,2021-10-24 00:00:00,22.7,63.9,22.6
101,2021-10-24 01:00:00,24.0,63.9,22.4
102,2021-10-24 02:00:00,55.7,66.4,22.0
103,2021-10-24 03:00:00,32.3,67.9,21.8
104,2021-10-24 04:00:00,21.1,67.4,21.6
105,2021-10-24 05:00:00,16.3,67.4,21.2
106,2021-10-24 06:00:00,17.3,67.7,21.2
107,2021-10-24 07:00:00,14.2,66.1,21.2
108,2021-10-24 08:00:00,18.8,63.6,21.7
109,2021-10-24 09:00:00,16.7,59.4,22.7
110,2021-10-24 10:00:00,13.8,54.2,23.9
111,2021-10-24 11:00:00,15.0,52.1,25.2
112,2021-10-24 12:00:00,13.5,47.3,26.8
113,2021-10-24 13:00:00,11.7,39.7,30.0
114,2021-10-24 14:00:00,19.9,40.8,30.8
115,2021-10-24 15:00:00,22.3,47.4,28.8
116,2021-10-24 16:00:00,20.9,50.1,27.7
117,2021-10-24 17:00:00,20.6,55.4,25.9
118,2021-10-24 18:00:00,21.6,58.4,25.0
119,2021-10-24 19:00:00,25.9,62.8,24.5
120,2021-10-24 20:00:00,29.7,67.3,24.1
121,2021-10-24 21:00:00,33.4,69.7,23.7
122,2021-10-24 22:00:00,31.9,71.5,23.5
123,2021-10-24 23:00:00,32.1,73.1,23.2
124,2021-10-25 00:00:00,34.3,77.1,22.6
125,2021-10-25 01:00:00,41.5,79.3,22.2
126,2021-10-25 02:00:00,51.8,79.3,22.1
127,2021-10-25 03:00:00,34.6,80.2,21.9
128,2021-10-25 04:00:00,31.9,80.4,21.7
129,2021-10-25 05:00:00,33.9,82.9,21.4
130,2021-10-25 06:00:00,33.6,83.8,21.1
131,2021-10-25 07:00:00,35.0,82.4,21.4
132,2021-10-25 08:00:00,33.8,72.8,23.4
133,2021-10-25 09:00:00,31.6,66.1,24.2
134,2021-10-25 10:00:00,36.4,57.4,25.5
135,2021-10-25 11:00:00,29.2,49.5,26.9
136,2021-10-25 12:00:00,26.8,44.4,28.6
137,2021-10-25 13:00:00,24.6,38.3,31.6
138,2021-10-25 14:00:00,23.7,36.7,32.3
139,2021-10-25 15:00:00,22.0,36.6,31.9
140,2021-10-25 16:00:00,21.6,39.5,30.4
141,2021-10-25 17:00:00,22.8,44.6,28.2
142,2021-10-25 18:00:00,30.1,49.7,27.0
143,2021-10-25 19:00:00,32.1,54.0,26.1
144,2021-10-25 20:00:00,43.2,57.4,25.7
145,2021-10-25 21:00:00,60.5,61.7,25.0
146,2021-10-25 22:00:00,58.5,65.8,24.4
147,2021-10-25 23:00:00,70.6,67.5,24.1
148,2021-10-26 00:00:00,59.5,70.6,23.8
149,2021-10-26 01:00:00,48.6,72.5,23.5
150,2021-10-26 02:00:00,43.8,72.8,23.3
151,2021-10-26 03:00:00,46.6,75.1,22.9
152,2021-10-26 04:00:00,49.6,77.6,22.6
153,2021-10-26 05:00:00,48.3,78.7,22.3
154,2021-10-26 06:00:00,53.5,78.9,22.4
155,2021-10-26 07:00:00,86.7,79.2,22.5
156,2021-10-26 08:00:00,107.2,74.9,23.9
157,2021-10-26 09:00:00,96.8,70.4,24.9
158,2021-10-26 10:00:00,91.4,64.2,26.3
159,2021-10-26 11:00:00,86.0,58.4,27.6
160,2021-10-26 12:00:00,84.9,53.9,28.7
161,2021-10-26 13:00:00,67.6,46.2,30.8
162,2021-10-26 14:00:00,60.2,44.1,31.5
163,2021-10-26 15:00:00,58.5,45.7,31.0
164,2021-10-26 16:00:00,62.2,48.5,29.7
165,2021-10-26 17:00:00,58.1,51.8,28.6
166,2021-10-26 18:00:00,57.6,56.0,27.4
167,2021-10-26 19:00:00,66.4,59.8,26.7
