,time,PM2.5,humidity,temperature
0,2021-09-25 20:00:00,6.8,100.0,26.9
1,2021-09-25 21:00:00,6.5,100.0,26.7
2,2021-09-25 22:00:00,6.6,100.0,26.6
3,2021-09-25 23:00:00,4.8,100.0,26.4
4,2021-09-26 00:00:00,4.9,100.0,26.4
5,2021-09-26 01:00:00,5.8,100.0,26.3
6,2021-09-26 02:00:00,5.6,100.0,25.9
7,2021-09-26 03:00:00,7.6,100.0,26.0
8,2021-09-26 04:00:00,8.2,100.0,25.7
9,2021-09-26 05:00:00,5.8,100.0,25.7
10,2021-09-26 06:00:00,4.7,100.0,25.5
11,2021-09-26 07:00:00,6.0,100.0,25.4
12,2021-09-26 08:00:00,4.5,100.0,25.9
13,2021-09-26 09:00:00,3.3,99.7,27.2
14,2021-09-26 10:00:00,4.8,99.8,27.6
15,2021-09-26 11:00:00,7.1,95.3,28.8
16,2021-09-26 12:00:00,7.2,92.1,29.5
17,2021-09-26 13:00:00,9.2,84.6,30.6
18,2021-09-26 14:00:00,7.2,83.6,30.6
19,2021-09-26 15:00:00,4.6,99.7,27.6
20,2021-09-26 16:00:00,4.3,100.0,26.2
21,2021-09-26 17:00:00,4.2,100.0,26.5
22,2021-09-26 18:00:00,5.4,100.0,26.7
23,2021-09-26 19:00:00,4.9,100.0,26.7
24,2021-09-26 20:00:00,5.9,100.0,26.7
25,2021-09-26 21:00:00,5.9,100.0,26.3
26,2021-09-26 22:00:00,6.6,100.0,26.2
27,2021-09-26 23:00:00,3.7,100.0,25.9
28,2021-09-27 00:00:00,4.7,100.0,25.7
29,2021-09-27 01:00:00,5.0,100.0,25.6
30,2021-09-27 02:00:00,5.2,100.0,25.3
31,2021-09-27 03:00:00,4.2,100.0,25.4
32,2021-09-27 04:00:00,4.5,100.0,25.2
33,2021-09-27 05:00:00,5.6,100.0,25.1
34,2021-09-27 06:00:00,5.6,100.0,25.4
35,2021-09-27 07:00:00,6.4,100.0,25.6
36,2021-09-27 08:00:00,6.5,100.0,25.8
37,2021-09-27 09:00:00,7.8,100.0,26.0
38,2021-09-27 10:00:00,6.3,96.5,27.2
39,2021-09-27 11:00:00,6.6,88.5,29.0
40,2021-09-27 12:00:00,8.7,86.3,30.2
41,2021-09-27 13:00:00,7.0,82.8,30.6
42,2021-09-27 14:00:00,7.1,80.7,31.5
43,2021-09-27 15:00:00,6.8,85.2,30.7
44,2021-09-27 16:00:00,6.6,85.0,31.0
45,2021-09-27 17:00:00,6.7,86.7,30.9
46,2021-09-27 18:00:00,6.6,91.5,30.3
