,time,PM2.5,humidity,temperature
0,2021-09-25 20:00:00,11.1,100.0,26.6
1,2021-09-25 21:00:00,15.4,100.0,26.6
2,2021-09-25 22:00:00,15.4,100.0,26.2
3,2021-09-25 23:00:00,12.2,100.0,26.0
4,2021-09-26 00:00:00,8.1,100.0,26.0
5,2021-09-26 01:00:00,10.2,100.0,25.5
6,2021-09-26 02:00:00,17.2,100.0,25.1
7,2021-09-26 03:00:00,86.3,100.0,25.2
8,2021-09-26 04:00:00,83.68,100.0,24.8
9,2021-09-26 05:00:00,17.1,100.0,24.8
10,2021-09-26 06:00:00,14.1,100.0,24.7
11,2021-09-26 07:00:00,11.9,100.0,24.4
12,2021-09-26 08:00:00,12.5,100.0,25.3
13,2021-09-26 09:00:00,12.5,98.1,27.5
14,2021-09-26 10:00:00,15.5,97.5,27.8
15,2021-09-26 11:00:00,55.77,92.5,29.1
16,2021-09-26 12:00:00,45.14,86.3,30.4
17,2021-09-26 13:00:00,18.5,79.3,31.8
18,2021-09-26 14:00:00,15.6,78.9,32.1
19,2021-09-26 15:00:00,7.7,91.2,27.9
20,2021-09-26 16:00:00,5.0,100.0,26.0
21,2021-09-26 17:00:00,9.9,100.0,26.8
22,2021-09-26 18:00:00,10.2,99.6,26.8
23,2021-09-26 19:00:00,12.0,100.0,26.0
24,2021-09-26 20:00:00,10.7,100.0,26.0
25,2021-09-26 21:00:00,11.5,100.0,25.7
26,2021-09-26 22:00:00,13.9,100.0,25.4
27,2021-09-26 23:00:00,6.8,99.8,25.5
28,2021-09-27 00:00:00,5.7,99.9,25.4
29,2021-09-27 01:00:00,7.5,100.0,25.2
30,2021-09-27 02:00:00,7.3,100.0,24.7
31,2021-09-27 03:00:00,8.3,100.0,24.6
32,2021-09-27 04:00:00,9.3,100.0,24.4
33,2021-09-27 05:00:00,11.3,100.0,24.2
34,2021-09-27 06:00:00,10.1,100.0,24.7
35,2021-09-27 07:00:00,11.4,100.0,24.7
36,2021-09-27 08:00:00,15.0,100.0,24.9
37,2021-09-27 09:00:00,14.4,100.0,25.4
38,2021-09-27 10:00:00,18.6,94.1,27.5
39,2021-09-27 11:00:00,18.8,86.8,29.1
