,time,PM2.5,humidity,temperature
0,2021-11-13 20:00:00,31.4,87.4,20.8
1,2021-11-13 21:00:00,28.6,90.8,20.3
2,2021-11-13 22:00:00,25.6,92.9,20.0
3,2021-11-13 23:00:00,24.2,95.2,19.9
4,2021-11-14 00:00:00,22.0,99.3,19.5
5,2021-11-14 01:00:00,22.6,100.0,19.2
6,2021-11-14 02:00:00,27.1,100.0,18.9
7,2021-11-14 03:00:00,27.6,100.0,19.1
8,2021-11-14 04:00:00,21.3,99.0,19.2
9,2021-11-14 05:00:00,17.8,95.7,19.4
10,2021-11-14 06:00:00,18.9,91.8,19.7
11,2021-11-14 07:00:00,18.8,93.4,19.6
12,2021-11-14 08:00:00,24.3,97.8,19.8
13,2021-11-14 09:00:00,29.5,84.1,22.1
14,2021-11-14 10:00:00,26.0,67.5,24.4
15,2021-11-14 11:00:00,23.4,63.0,25.1
16,2021-11-14 12:00:00,34.9,59.7,26.3
17,2021-11-14 13:00:00,28.5,57.6,27.2
18,2021-11-14 14:00:00,22.6,55.9,28.3
19,2021-11-14 15:00:00,23.9,54.3,28.7
20,2021-11-14 16:00:00,23.6,55.2,28.4
21,2021-11-14 17:00:00,25.9,60.7,26.5
22,2021-11-14 18:00:00,31.2,66.7,24.8
23,2021-11-14 19:00:00,38.2,69.8,24.1
24,2021-11-14 20:00:00,46.1,75.4,23.7
25,2021-11-14 21:00:00,40.8,80.3,23.3
26,2021-11-14 22:00:00,46.6,81.5,23.0
27,2021-11-14 23:00:00,46.5,86.1,22.6
28,2021-11-15 00:00:00,42.2,96.0,21.9
29,2021-11-15 01:00:00,36.7,99.0,21.6
30,2021-11-15 02:00:00,39.7,96.8,21.9
31,2021-11-15 03:00:00,37.8,99.6,21.8
32,2021-11-15 04:00:00,37.2,97.3,21.8
33,2021-11-15 05:00:00,36.8,100.0,20.7
34,2021-11-15 06:00:00,38.0,100.0,20.1
35,2021-11-15 07:00:00,44.0,100.0,20.3
36,2021-11-15 08:00:00,44.3,99.6,21.5
37,2021-11-15 09:00:00,44.8,94.9,22.4
38,2021-11-15 10:00:00,48.6,88.3,23.4
39,2021-11-15 11:00:00,45.5,77.9,25.1
40,2021-11-15 12:00:00,41.8,71.2,27.4
41,2021-11-15 13:00:00,48.2,70.1,28.2
42,2021-11-15 14:00:00,50.2,73.5,27.4
43,2021-11-15 15:00:00,47.1,77.3,26.4
44,2021-11-15 16:00:00,37.9,80.0,25.9
45,2021-11-15 17:00:00,23.8,85.4,24.8
46,2021-11-15 18:00:00,25.3,92.4,23.8
47,2021-11-15 19:00:00,21.8,91.5,23.5
48,2021-11-15 20:00:00,21.0,89.1,23.6
49,2021-11-15 21:00:00,22.1,87.1,23.7
50,2021-11-15 22:00:00,25.2,85.8,23.8
51,2021-11-15 23:00:00,29.6,89.6,23.4
52,2021-11-16 00:00:00,28.5,99.7,22.5
53,2021-11-16 01:00:00,31.6,100.0,22.3
54,2021-11-16 02:00:00,28.6,99.9,22.3
55,2021-11-16 03:00:00,24.9,96.7,22.4
