,time,PM2.5,humidity,temperature
0,2021-12-02 20:00:00,95.3,40.6,20.4
1,2021-12-02 21:00:00,132.7,46.9,19.5
2,2021-12-02 22:00:00,107.2,51.3,18.8
3,2021-12-02 23:00:00,90.0,52.2,18.4
4,2021-12-03 00:00:00,111.6,56.7,18.0
5,2021-12-03 01:00:00,145.6,59.2,17.8
6,2021-12-03 02:00:00,150.9,61.9,17.5
7,2021-12-03 03:00:00,130.5,66.0,16.9
8,2021-12-03 04:00:00,112.8,70.2,16.3
9,2021-12-03 05:00:00,103.8,79.5,15.5
10,2021-12-03 06:00:00,79.8,79.5,15.0
11,2021-12-03 07:00:00,65.9,79.3,14.9
12,2021-12-03 08:00:00,71.1,78.9,15.5
13,2021-12-03 09:00:00,72.3,76.4,16.7
14,2021-12-03 10:00:00,76.4,66.6,18.6
15,2021-12-03 11:00:00,78.7,57.9,20.1
16,2021-12-03 12:00:00,61.8,47.0,21.4
17,2021-12-03 13:00:00,47.8,41.1,22.6
18,2021-12-03 14:00:00,35.8,38.6,22.5
19,2021-12-03 15:00:00,33.5,37.0,23.0
20,2021-12-03 16:00:00,37.2,36.6,23.9
21,2021-12-03 17:00:00,40.2,38.9,23.0
22,2021-12-03 18:00:00,57.4,43.1,21.7
23,2021-12-03 19:00:00,110.9,46.6,21.1
24,2021-12-03 20:00:00,155.9,51.3,20.3
25,2021-12-03 21:00:00,138.2,57.9,19.5
26,2021-12-03 22:00:00,157.9,65.4,18.7
27,2021-12-03 23:00:00,180.1,68.9,18.2
28,2021-12-04 00:00:00,140.6,71.7,17.8
29,2021-12-04 01:00:00,135.4,69.0,17.7
30,2021-12-04 02:00:00,101.4,72.6,16.8
31,2021-12-04 03:00:00,127.8,73.3,16.7
32,2021-12-04 04:00:00,166.4,80.5,16.0
33,2021-12-04 05:00:00,124.4,78.6,15.5
34,2021-12-04 06:00:00,85.7,83.7,15.2
35,2021-12-04 07:00:00,78.5,87.0,15.0
36,2021-12-04 08:00:00,70.5,84.5,15.4
37,2021-12-04 09:00:00,74.4,80.4,16.4
38,2021-12-04 10:00:00,74.7,72.0,18.3
39,2021-12-04 11:00:00,91.1,64.4,20.0
40,2021-12-04 12:00:00,80.3,51.4,21.6
41,2021-12-04 13:00:00,65.9,42.9,22.8
42,2021-12-04 14:00:00,49.6,39.0,22.8
43,2021-12-04 15:00:00,35.7,33.5,23.2
44,2021-12-04 16:00:00,26.3,28.7,24.3
45,2021-12-04 17:00:00,30.8,30.6,23.7
46,2021-12-04 18:00:00,71.9,36.7,22.0
47,2021-12-04 19:00:00,91.0,44.3,20.9
48,2021-12-04 20:00:00,118.6,51.7,20.2
49,2021-12-04 21:00:00,166.9,55.9,19.7
50,2021-12-04 22:00:00,162.6,61.1,18.9
51,2021-12-04 23:00:00,153.4,63.0,18.8
52,2021-12-05 00:00:00,135.2,67.0,18.3
53,2021-12-05 01:00:00,114.2,68.9,18.1
54,2021-12-05 02:00:00,95.3,69.8,18.0
55,2021-12-05 03:00:00,111.5,72.5,17.5
56,2021-12-05 04:00:00,137.1,77.2,16.8
57,2021-12-05 05:00:00,121.3,79.2,16.6
58,2021-12-05 06:00:00,148.3,82.0,16.2
59,2021-12-05 07:00:00,116.3,85.5,15.8
60,2021-12-05 08:00:00,98.1,84.0,16.1
61,2021-12-05 09:00:00,107.7,80.2,17.0
62,2021-12-05 10:00:00,117.1,73.8,18.7
63,2021-12-05 11:00:00,109.2,66.0,20.2
64,2021-12-05 12:00:00,87.1,50.9,21.8
65,2021-12-05 13:00:00,69.9,45.8,22.9
66,2021-12-05 14:00:00,58.9,43.8,23.1
67,2021-12-05 15:00:00,48.5,40.7,23.5
68,2021-12-05 16:00:00,49.0,40.5,24.0
69,2021-12-05 17:00:00,61.6,44.8,23.1
70,2021-12-05 18:00:00,77.7,49.0,22.0
71,2021-12-05 19:00:00,97.4,53.2,21.4
72,2021-12-05 20:00:00,119.2,53.9,21.0
73,2021-12-05 21:00:00,183.1,57.5,20.4
74,2021-12-05 22:00:00,170.2,62.0,19.8
75,2021-12-05 23:00:00,151.3,64.6,19.3
76,2021-12-06 00:00:00,161.7,67.3,18.9
77,2021-12-06 01:00:00,162.2,72.7,18.2
78,2021-12-06 02:00:00,162.2,72.9,18.1
79,2021-12-06 03:00:00,135.6,75.7,17.4
80,2021-12-06 04:00:00,149.5,76.2,17.2
81,2021-12-06 05:00:00,145.4,76.7,16.9
82,2021-12-06 06:00:00,137.7,81.7,16.5
83,2021-12-06 07:00:00,134.7,81.2,16.4
84,2021-12-06 08:00:00,105.8,70.2,17.4
85,2021-12-06 09:00:00,132.5,71.7,18.3
86,2021-12-06 10:00:00,153.1,69.0,19.4
87,2021-12-06 11:00:00,127.3,58.6,20.9
88,2021-12-06 12:00:00,94.7,48.8,22.1
89,2021-12-06 13:00:00,46.8,36.7,23.6
90,2021-12-06 14:00:00,37.7,32.9,23.5
91,2021-12-06 15:00:00,27.6,29.8,23.8
92,2021-12-06 16:00:00,28.6,29.8,24.8
93,2021-12-06 17:00:00,36.5,31.9,24.1
94,2021-12-06 18:00:00,55.8,38.0,22.5
95,2021-12-06 19:00:00,93.4,42.9,21.4
96,2021-12-06 20:00:00,118.1,48.7,20.7
97,2021-12-06 21:00:00,147.3,54.2,19.9
98,2021-12-06 22:00:00,129.4,58.2,19.2
99,2021-12-06 23:00:00,105.7,60.6,18.8
100,2021-12-07 00:00:00,93.0,61.1,18.5
101,2021-12-07 01:00:00,96.5,64.9,17.8
102,2021-12-07 02:00:00,109.7,67.2,17.3
103,2021-12-07 03:00:00,130.7,71.3,17.0
104,2021-12-07 04:00:00,165.7,70.5,17.1
105,2021-12-07 05:00:00,124.6,73.5,16.8
106,2021-12-07 06:00:00,144.8,79.7,16.0
107,2021-12-07 07:00:00,156.5,80.8,15.8
108,2021-12-07 08:00:00,139.3,75.7,16.1
109,2021-12-07 09:00:00,120.4,65.2,17.7
110,2021-12-07 10:00:00,145.8,63.5,19.2
111,2021-12-07 11:00:00,159.5,57.4,20.8
112,2021-12-07 12:00:00,114.1,45.7,22.7
113,2021-12-07 13:00:00,63.0,36.5,24.2
114,2021-12-07 14:00:00,67.3,36.2,23.5
115,2021-12-07 15:00:00,78.7,37.2,23.8
116,2021-12-07 16:00:00,63.9,35.8,24.3
117,2021-12-07 17:00:00,106.4,38.2,23.3
118,2021-12-07 18:00:00,114.9,42.9,22.1
119,2021-12-07 19:00:00,158.6,48.9,21.2
