,time,PM2.5,humidity,temperature
0,2021-12-03 20:00:00,29.9,80.6,20.5
1,2021-12-03 21:00:00,33.1,78.6,20.2
2,2021-12-03 22:00:00,29.6,87.3,19.7
3,2021-12-03 23:00:00,25.0,96.5,19.1
4,2021-12-04 00:00:00,45.6,90.4,18.2
5,2021-12-04 01:00:00,49.3,89.2,17.9
6,2021-12-04 02:00:00,42.0,94.3,17.6
7,2021-12-04 03:00:00,49.8,99.0,16.5
8,2021-12-04 04:00:00,30.6,99.0,16.1
9,2021-12-04 05:00:00,19.7,98.8,16.0
10,2021-12-04 06:00:00,22.8,99.0,15.9
11,2021-12-04 07:00:00,29.6,99.0,15.8
12,2021-12-04 08:00:00,27.4,98.5,19.1
13,2021-12-04 09:00:00,33.3,90.8,21.7
14,2021-12-04 10:00:00,38.7,83.2,23.2
15,2021-12-04 11:00:00,41.5,77.0,24.0
16,2021-12-04 12:00:00,39.9,70.6,24.2
17,2021-12-04 13:00:00,26.8,60.2,24.5
18,2021-12-04 14:00:00,22.8,55.6,24.6
19,2021-12-04 15:00:00,16.8,49.6,24.3
20,2021-12-04 16:00:00,19.5,52.3,23.7
21,2021-12-04 17:00:00,20.2,52.0,23.2
22,2021-12-04 18:00:00,27.8,56.3,22.3
23,2021-12-04 19:00:00,29.2,62.3,21.4
24,2021-12-04 20:00:00,34.9,68.7,20.8
25,2021-12-04 21:00:00,39.6,76.3,20.2
26,2021-12-04 22:00:00,29.0,82.1,19.8
27,2021-12-04 23:00:00,22.7,87.7,19.3
28,2021-12-05 00:00:00,23.1,92.6,18.9
29,2021-12-05 01:00:00,28.3,96.1,18.5
30,2021-12-05 02:00:00,24.9,98.3,18.1
31,2021-12-05 03:00:00,30.6,99.0,17.3
32,2021-12-05 04:00:00,44.8,99.0,16.8
33,2021-12-05 05:00:00,41.3,99.0,16.5
34,2021-12-05 06:00:00,35.3,99.0,16.1
35,2021-12-05 07:00:00,28.4,99.0,15.9
36,2021-12-05 08:00:00,29.3,98.5,18.9
37,2021-12-05 09:00:00,45.2,92.7,21.7
38,2021-12-05 10:00:00,48.3,82.5,23.4
39,2021-12-05 11:00:00,44.0,75.6,24.1
40,2021-12-05 12:00:00,40.0,70.3,24.5
41,2021-12-05 13:00:00,24.8,60.7,24.6
42,2021-12-05 14:00:00,25.9,59.7,24.4
43,2021-12-05 15:00:00,22.3,60.1,24.5
44,2021-12-05 16:00:00,22.4,65.1,23.8
45,2021-12-05 17:00:00,24.0,69.8,23.0
46,2021-12-05 18:00:00,28.7,76.5,22.0
47,2021-12-05 19:00:00,33.1,79.3,21.5
48,2021-12-05 20:00:00,37.2,83.5,20.9
49,2021-12-05 21:00:00,37.3,86.3,20.6
50,2021-12-05 22:00:00,37.7,88.5,20.3
51,2021-12-05 23:00:00,41.7,92.2,19.7
52,2021-12-06 00:00:00,39.8,98.8,19.1
53,2021-12-06 01:00:00,39.3,99.2,19.0
54,2021-12-06 02:00:00,40.7,99.0,18.4
55,2021-12-06 03:00:00,46.6,99.0,17.5
56,2021-12-06 04:00:00,43.6,99.0,17.1
57,2021-12-06 05:00:00,37.3,99.0,16.6
58,2021-12-06 06:00:00,36.8,99.0,16.2
59,2021-12-06 07:00:00,32.2,99.0,16.2
60,2021-12-06 08:00:00,38.6,98.7,18.9
61,2021-12-06 09:00:00,43.5,91.2,21.4
62,2021-12-06 10:00:00,49.6,82.8,23.4
63,2021-12-06 11:00:00,41.9,74.2,24.4
64,2021-12-06 12:00:00,36.4,64.8,24.8
65,2021-12-06 13:00:00,31.1,55.7,24.9
66,2021-12-06 14:00:00,23.0,52.0,24.9
67,2021-12-06 15:00:00,19.8,50.8,24.8
68,2021-12-06 16:00:00,19.4,52.8,24.2
69,2021-12-06 17:00:00,21.5,55.3,23.8
70,2021-12-06 18:00:00,27.2,59.5,23.0
71,2021-12-06 19:00:00,30.6,64.7,22.0
72,2021-12-06 20:00:00,31.6,70.7,21.2
73,2021-12-06 21:00:00,31.6,79.9,20.2
74,2021-12-06 22:00:00,30.3,80.8,19.7
75,2021-12-06 23:00:00,31.5,85.6,19.2
76,2021-12-07 00:00:00,26.2,83.8,18.9
77,2021-12-07 01:00:00,27.3,87.5,18.6
78,2021-12-07 02:00:00,24.5,90.6,18.0
79,2021-12-07 03:00:00,25.2,97.2,17.4
80,2021-12-07 04:00:00,56.3,99.1,16.7
81,2021-12-07 05:00:00,44.9,99.0,16.1
82,2021-12-07 06:00:00,39.7,99.0,15.8
83,2021-12-07 07:00:00,34.2,99.0,15.7
84,2021-12-07 08:00:00,39.9,91.4,18.6
85,2021-12-07 09:00:00,41.5,82.6,21.1
86,2021-12-07 10:00:00,45.6,78.5,22.4
87,2021-12-07 11:00:00,44.9,71.5,24.5
88,2021-12-07 12:00:00,43.8,62.6,25.1
89,2021-12-07 13:00:00,45.0,58.4,24.9
90,2021-12-07 14:00:00,42.2,56.4,24.9
91,2021-12-07 15:00:00,35.9,54.6,24.7
92,2021-12-07 16:00:00,33.0,53.3,24.1
93,2021-12-07 17:00:00,32.3,55.7,23.6
94,2021-12-07 18:00:00,34.6,58.6,22.9
95,2021-12-07 19:00:00,40.8,64.7,22.2
96,2021-12-07 20:00:00,30.4,84.4,20.7
97,2021-12-07 21:00:00,24.6,91.3,19.8
98,2021-12-07 22:00:00,20.8,90.4,19.7
99,2021-12-07 23:00:00,21.5,95.3,19.3
100,2021-12-08 00:00:00,21.1,95.3,19.1
101,2021-12-08 01:00:00,20.0,96.3,18.8
102,2021-12-08 02:00:00,19.0,98.4,18.3
103,2021-12-08 03:00:00,24.1,99.0,17.7
104,2021-12-08 04:00:00,34.4,99.0,17.3
105,2021-12-08 05:00:00,65.0,99.0,16.9
106,2021-12-08 06:00:00,47.0,99.0,16.4
107,2021-12-08 07:00:00,36.4,99.0,16.1
108,2021-12-08 08:00:00,33.5,99.0,17.3
109,2021-12-08 09:00:00,39.5,88.6,22.0
110,2021-12-08 10:00:00,56.9,82.3,23.7
111,2021-12-08 11:00:00,47.6,75.6,23.8
112,2021-12-08 12:00:00,48.2,73.6,24.0
113,2021-12-08 13:00:00,47.2,71.5,24.4
114,2021-12-08 14:00:00,35.5,70.9,24.6
115,2021-12-08 15:00:00,31.8,71.5,24.7
116,2021-12-08 16:00:00,,,
117,2021-12-08 17:00:00,127.6,49.8,23.1
118,2021-12-08 18:00:00,136.8,49.8,22.8
119,2021-12-08 19:00:00,160.8,55.4,22.6
120,2021-12-08 20:00:00,250.7,57.5,22.4
