,time,PM2.5,humidity,temperature
0,2021-12-07 20:00:00,59.6,66.0,21.4
1,2021-12-07 21:00:00,32.9,71.0,20.8
2,2021-12-07 22:00:00,27.9,69.8,20.5
3,2021-12-07 23:00:00,29.6,71.2,20.3
4,2021-12-08 00:00:00,28.9,73.0,20.0
5,2021-12-08 01:00:00,25.8,74.3,19.6
6,2021-12-08 02:00:00,23.5,77.2,19.0
7,2021-12-08 03:00:00,68.4,83.0,18.7
8,2021-12-08 04:00:00,103.2,84.4,18.4
9,2021-12-08 05:00:00,68.5,79.2,18.4
10,2021-12-08 06:00:00,62.1,82.8,18.1
11,2021-12-08 07:00:00,60.1,86.8,17.4
12,2021-12-08 08:00:00,58.7,88.5,18.1
13,2021-12-08 09:00:00,77.2,78.5,21.0
14,2021-12-08 10:00:00,81.8,69.0,23.3
15,2021-12-08 11:00:00,69.2,67.8,22.5
16,2021-12-08 12:00:00,61.8,63.1,23.1
17,2021-12-08 13:00:00,68.4,62.7,23.6
18,2021-12-08 14:00:00,57.3,63.4,23.8
19,2021-12-08 15:00:00,43.2,63.0,23.6
20,2021-12-08 16:00:00,36.2,60.7,23.7
21,2021-12-08 17:00:00,36.9,60.1,24.1
22,2021-12-08 18:00:00,38.9,62.0,23.7
23,2021-12-08 19:00:00,58.3,69.2,22.9
24,2021-12-08 20:00:00,75.3,71.7,22.6
25,2021-12-08 21:00:00,66.7,73.5,22.4
26,2021-12-08 22:00:00,,,
27,2021-12-08 23:00:00,,,
28,2021-12-09 00:00:00,73.5,79.2,22.1
29,2021-12-09 01:00:00,,,
30,2021-12-09 02:00:00,89.3,83.6,21.4
31,2021-12-09 03:00:00,45.8,85.8,21.0
32,2021-12-09 04:00:00,25.8,92.0,20.3
33,2021-12-09 05:00:00,24.7,94.6,20.2
34,2021-12-09 06:00:00,23.0,97.5,20.0
35,2021-12-09 07:00:00,27.9,98.0,19.9
36,2021-12-09 08:00:00,32.3,97.9,20.0
37,2021-12-09 09:00:00,37.6,96.1,20.5
38,2021-12-09 10:00:00,45.9,92.9,21.0
39,2021-12-09 11:00:00,56.6,87.4,21.6
40,2021-12-09 12:00:00,47.4,85.2,21.6
41,2021-12-09 13:00:00,48.3,82.2,22.1
42,2021-12-09 14:00:00,50.4,80.3,22.7
43,2021-12-09 15:00:00,49.2,82.2,22.4
44,2021-12-09 16:00:00,54.2,80.8,22.6
45,2021-12-09 17:00:00,56.2,81.4,22.3
46,2021-12-09 18:00:00,59.4,85.2,21.7
47,2021-12-09 19:00:00,62.4,86.7,21.4
48,2021-12-09 20:00:00,62.6,87.1,21.2
49,2021-12-09 21:00:00,66.8,89.4,21.0
50,2021-12-09 22:00:00,63.2,91.5,20.8
51,2021-12-09 23:00:00,67.0,93.7,20.6
52,2021-12-10 00:00:00,62.4,95.3,20.4
53,2021-12-10 01:00:00,62.4,95.7,20.4
54,2021-12-10 02:00:00,63.6,95.1,20.6
55,2021-12-10 03:00:00,61.3,95.5,20.6
56,2021-12-10 04:00:00,41.9,94.6,20.5
57,2021-12-10 05:00:00,37.1,95.8,20.4
58,2021-12-10 06:00:00,42.0,98.0,20.2
59,2021-12-10 07:00:00,34.7,97.0,20.2
60,2021-12-10 08:00:00,37.3,95.5,20.5
61,2021-12-10 09:00:00,46.4,93.9,21.3
62,2021-12-10 10:00:00,66.4,90.8,22.1
63,2021-12-10 11:00:00,67.9,83.2,23.8
64,2021-12-10 12:00:00,64.8,79.1,24.4
65,2021-12-10 13:00:00,74.8,75.6,25.2
66,2021-12-10 14:00:00,49.0,72.2,25.5
67,2021-12-10 15:00:00,47.9,73.2,25.5
68,2021-12-10 16:00:00,57.4,74.5,25.1
69,2021-12-10 17:00:00,56.1,78.5,24.5
70,2021-12-10 18:00:00,30.4,85.0,23.8
71,2021-12-10 19:00:00,23.2,89.9,23.1
72,2021-12-10 20:00:00,23.9,92.5,22.7
73,2021-12-10 21:00:00,23.2,95.6,22.4
