,time,PM2.5,humidity,temperature
0,2021-12-13 20:00:00,59.1,61.6,20.4
1,2021-12-13 21:00:00,61.9,61.8,20.3
2,2021-12-13 22:00:00,53.0,64.1,20.0
3,2021-12-13 23:00:00,63.8,66.2,19.8
4,2021-12-14 00:00:00,57.8,67.4,19.8
5,2021-12-14 01:00:00,57.5,68.7,19.6
6,2021-12-14 02:00:00,52.5,70.5,18.8
7,2021-12-14 03:00:00,71.7,73.7,18.3
8,2021-12-14 04:00:00,55.5,74.3,17.9
9,2021-12-14 05:00:00,42.3,73.8,17.7
10,2021-12-14 06:00:00,46.1,73.6,17.7
11,2021-12-14 07:00:00,47.0,73.9,18.2
12,2021-12-14 08:00:00,45.6,72.6,18.3
13,2021-12-14 09:00:00,55.9,69.7,19.2
14,2021-12-14 10:00:00,66.4,68.7,19.8
15,2021-12-14 11:00:00,76.2,64.6,21.3
16,2021-12-14 12:00:00,86.0,61.1,21.9
17,2021-12-14 13:00:00,85.4,58.3,22.9
18,2021-12-14 14:00:00,91.8,57.8,23.0
19,2021-12-14 15:00:00,92.5,57.5,23.3
20,2021-12-14 16:00:00,93.2,56.6,23.6
21,2021-12-14 17:00:00,91.1,59.0,23.1
22,2021-12-14 18:00:00,113.4,59.9,22.8
23,2021-12-14 19:00:00,106.0,60.4,22.7
24,2021-12-14 20:00:00,117.1,63.6,22.4
25,2021-12-14 21:00:00,131.5,68.6,21.6
26,2021-12-14 22:00:00,108.0,73.5,21.0
27,2021-12-14 23:00:00,94.6,76.6,20.7
28,2021-12-15 00:00:00,92.9,77.8,20.6
29,2021-12-15 01:00:00,95.9,79.6,20.3
30,2021-12-15 02:00:00,93.0,81.1,20.2
31,2021-12-15 03:00:00,104.6,81.5,20.2
32,2021-12-15 04:00:00,114.2,81.5,20.2
33,2021-12-15 05:00:00,119.8,82.3,20.0
34,2021-12-15 06:00:00,140.3,83.4,19.9
35,2021-12-15 07:00:00,142.7,82.4,20.2
36,2021-12-15 08:00:00,152.4,82.0,20.4
37,2021-12-15 09:00:00,153.6,82.2,20.3
38,2021-12-15 10:00:00,156.1,80.6,20.7
39,2021-12-15 11:00:00,176.7,80.4,20.8
40,2021-12-15 12:00:00,192.5,77.3,21.7
41,2021-12-15 13:00:00,202.1,78.1,21.4
42,2021-12-15 14:00:00,191.1,77.6,21.2
43,2021-12-15 15:00:00,194.7,76.6,21.5
44,2021-12-15 16:00:00,188.4,75.0,21.8
45,2021-12-15 17:00:00,173.1,74.5,21.9
46,2021-12-15 18:00:00,179.5,75.7,21.8
47,2021-12-15 19:00:00,194.6,76.6,21.6
48,2021-12-15 20:00:00,206.9,77.6,21.7
49,2021-12-15 21:00:00,209.8,76.7,21.8
50,2021-12-15 22:00:00,199.7,75.8,21.9
51,2021-12-15 23:00:00,196.8,75.4,21.9
52,2021-12-16 00:00:00,163.4,79.9,21.6
53,2021-12-16 01:00:00,115.8,83.0,21.3
54,2021-12-16 02:00:00,81.5,82.7,21.4
55,2021-12-16 03:00:00,70.7,83.5,21.4
56,2021-12-16 04:00:00,69.8,84.5,21.2
57,2021-12-16 05:00:00,74.0,84.6,21.2
58,2021-12-16 06:00:00,113.0,87.7,20.1
59,2021-12-16 07:00:00,142.8,88.0,20.0
60,2021-12-16 08:00:00,125.1,87.2,20.1
61,2021-12-16 09:00:00,120.1,84.5,20.5
62,2021-12-16 10:00:00,100.5,80.2,21.4
63,2021-12-16 11:00:00,175.9,79.5,22.0
64,2021-12-16 12:00:00,166.1,76.4,22.7
65,2021-12-16 13:00:00,174.5,72.9,23.3
66,2021-12-16 14:00:00,160.5,68.9,24.1
67,2021-12-16 15:00:00,151.2,65.7,25.0
68,2021-12-16 16:00:00,152.0,64.2,25.6
69,2021-12-16 17:00:00,123.7,64.6,24.9
70,2021-12-16 18:00:00,112.3,66.4,24.4
71,2021-12-16 19:00:00,121.6,70.0,23.8
72,2021-12-16 20:00:00,146.0,72.0,23.5
73,2021-12-16 21:00:00,165.2,72.9,23.0
74,2021-12-16 22:00:00,150.7,75.2,23.0
75,2021-12-16 23:00:00,143.8,77.2,23.1
76,2021-12-17 00:00:00,110.2,80.9,22.7
77,2021-12-17 01:00:00,97.9,82.5,22.6
78,2021-12-17 02:00:00,154.2,81.2,22.4
79,2021-12-17 03:00:00,145.2,81.7,22.2
80,2021-12-17 04:00:00,131.2,82.8,21.3
81,2021-12-17 05:00:00,126.0,84.3,20.8
82,2021-12-17 06:00:00,110.5,86.1,20.5
83,2021-12-17 07:00:00,99.4,86.4,20.3
84,2021-12-17 08:00:00,93.9,84.5,20.5
85,2021-12-17 09:00:00,96.7,81.4,21.2
86,2021-12-17 10:00:00,97.0,74.7,22.8
87,2021-12-17 11:00:00,65.3,67.1,23.7
88,2021-12-17 12:00:00,71.6,63.9,24.5
89,2021-12-17 13:00:00,67.5,60.1,25.0
90,2021-12-17 14:00:00,62.2,56.5,25.4
91,2021-12-17 15:00:00,62.3,57.9,25.4
92,2021-12-17 16:00:00,60.6,57.1,25.3
93,2021-12-17 17:00:00,56.0,57.4,24.4
94,2021-12-17 18:00:00,62.1,59.1,23.8
