,time,PM2.5,humidity,temperature
0,2021-10-01 20:00:00,7.0,100.0,30.5
1,2021-10-01 21:00:00,7.0,100.0,30.2
2,2021-10-01 22:00:00,9.5,100.0,29.8
3,2021-10-01 23:00:00,11.7,100.0,29.6
4,2021-10-02 00:00:00,12.9,100.0,29.5
5,2021-10-02 01:00:00,14.4,100.0,29.1
6,2021-10-02 02:00:00,14.6,100.0,28.9
7,2021-10-02 03:00:00,13.7,100.0,28.7
8,2021-10-02 04:00:00,12.8,100.0,28.6
9,2021-10-02 05:00:00,14.9,100.0,28.3
10,2021-10-02 06:00:00,9.7,100.0,28.3
11,2021-10-02 07:00:00,10.2,100.0,28.5
12,2021-10-02 08:00:00,12.8,100.0,29.5
13,2021-10-02 09:00:00,5.5,100.0,30.3
14,2021-10-02 10:00:00,4.3,100.0,30.8
15,2021-10-02 11:00:00,8.0,97.9,32.5
16,2021-10-02 12:00:00,9.1,92.5,33.1
17,2021-10-02 13:00:00,8.0,92.8,33.3
18,2021-10-02 14:00:00,5.4,99.7,30.0
19,2021-10-02 15:00:00,7.4,100.0,27.9
20,2021-10-02 16:00:00,6.8,100.0,27.7
21,2021-10-02 17:00:00,5.7,100.0,28.1
22,2021-10-02 18:00:00,5.4,100.0,28.9
23,2021-10-02 19:00:00,5.8,100.0,28.7
24,2021-10-02 20:00:00,7.5,100.0,28.7
25,2021-10-02 21:00:00,9.0,100.0,28.5
26,2021-10-02 22:00:00,8.4,100.0,28.4
27,2021-10-02 23:00:00,7.1,100.0,28.3
28,2021-10-03 00:00:00,7.4,100.0,28.2
29,2021-10-03 01:00:00,7.5,100.0,28.1
30,2021-10-03 02:00:00,7.3,100.0,28.1
31,2021-10-03 03:00:00,9.6,100.0,27.8
32,2021-10-03 04:00:00,25.1,100.0,27.5
33,2021-10-03 05:00:00,21.2,100.0,27.5
34,2021-10-03 06:00:00,24.2,100.0,27.6
35,2021-10-03 07:00:00,29.1,100.0,27.5
36,2021-10-03 08:00:00,27.4,100.0,28.3
37,2021-10-03 09:00:00,28.2,100.0,29.5
38,2021-10-03 10:00:00,23.3,100.0,30.4
39,2021-10-03 11:00:00,21.0,100.0,31.3
40,2021-10-03 12:00:00,15.6,97.6,34.1
41,2021-10-03 13:00:00,15.7,95.2,34.3
42,2021-10-03 14:00:00,14.3,95.8,33.7
43,2021-10-03 15:00:00,16.9,92.6,34.1
44,2021-10-03 16:00:00,14.8,95.0,33.0
