,time,PM2.5,humidity,temperature
0,2021-06-25 16:00:00,13.3,76.8,33.7
1,2021-06-25 17:00:00,13.0,76.2,34.0
2,2021-06-25 18:00:00,15.0,79.9,33.8
3,2021-06-25 19:00:00,14.3,86.7,32.9
4,2021-06-25 20:00:00,8.7,87.0,31.6
5,2021-06-25 21:00:00,8.7,98.5,27.7
6,2021-06-25 22:00:00,8.7,100.0,27.5
7,2021-06-25 23:00:00,8.7,100.0,27.3
8,2021-06-26 00:00:00,8.7,100.0,27.2
9,2021-06-26 01:00:00,8.7,100.0,27.1
10,2021-06-26 02:00:00,1.0,100.0,27.4
11,2021-06-26 03:00:00,1.5,100.0,27.4
12,2021-06-26 04:00:00,1.9,100.0,27.3
13,2021-06-26 05:00:00,3.2,100.0,27.2
14,2021-06-26 06:00:00,4.1,100.0,27.5
15,2021-06-26 07:00:00,4.7,99.6,28.1
16,2021-06-26 08:00:00,3.8,93.8,29.4
17,2021-06-26 09:00:00,2.6,82.3,31.7
18,2021-06-26 10:00:00,5.4,74.0,34.4
19,2021-06-26 11:00:00,6.9,75.6,34.5
20,2021-06-26 12:00:00,5.2,69.9,36.4
21,2021-06-26 13:00:00,4.2,69.3,37.0
22,2021-06-26 14:00:00,3.0,68.5,36.9
23,2021-06-26 15:00:00,3.1,69.6,36.8
24,2021-06-26 16:00:00,2.2,70.1,36.2
25,2021-06-26 17:00:00,2.1,70.2,35.8
26,2021-06-26 18:00:00,2.6,72.5,35.6
27,2021-06-26 19:00:00,1.5,83.7,31.6
28,2021-06-26 20:00:00,1.5,99.4,28.0
29,2021-06-26 21:00:00,1.5,99.3,28.7
30,2021-06-26 22:00:00,1.1,95.2,29.4
31,2021-06-26 23:00:00,1.0,93.6,29.8
32,2021-06-27 00:00:00,1.7,98.2,29.3
33,2021-06-27 01:00:00,1.7,97.2,29.6
34,2021-06-27 02:00:00,2.4,96.2,29.6
35,2021-06-27 03:00:00,3.2,96.2,29.6
36,2021-06-27 04:00:00,3.0,97.5,29.6
37,2021-06-27 05:00:00,2.5,95.7,29.6
38,2021-06-27 06:00:00,2.2,91.6,29.6
39,2021-06-27 07:00:00,2.2,89.9,29.8
40,2021-06-27 08:00:00,2.7,85.4,30.9
41,2021-06-27 09:00:00,2.9,76.7,33.6
42,2021-06-27 10:00:00,2.7,67.0,36.8
43,2021-06-27 11:00:00,1.3,59.8,38.6
44,2021-06-27 12:00:00,1.1,60.6,38.1
45,2021-06-27 13:00:00,1.1,59.2,38.7
46,2021-06-27 14:00:00,1.1,58.9,38.6
47,2021-06-27 15:00:00,1.0,58.2,38.7
48,2021-06-27 16:00:00,1.3,58.9,38.6
49,2021-06-27 17:00:00,2.1,63.1,37.9
50,2021-06-27 18:00:00,3.2,68.7,36.9
51,2021-06-27 19:00:00,3.6,72.0,35.9
52,2021-06-27 20:00:00,3.8,73.7,35.3
53,2021-06-27 21:00:00,4.2,75.0,34.8
54,2021-06-27 22:00:00,4.6,77.0,34.4
55,2021-06-27 23:00:00,5.1,78.8,33.9
56,2021-06-28 00:00:00,5.2,79.5,33.6
57,2021-06-28 01:00:00,4.7,81.0,33.2
58,2021-06-28 02:00:00,4.3,80.8,32.9
59,2021-06-28 03:00:00,4.2,79.0,32.8
60,2021-06-28 04:00:00,3.6,78.7,32.6
61,2021-06-28 05:00:00,3.2,79.0,32.3
62,2021-06-28 06:00:00,3.8,79.2,32.1
63,2021-06-28 07:00:00,3.7,79.5,32.2
64,2021-06-28 08:00:00,4.4,78.3,33.1
65,2021-06-28 09:00:00,4.5,69.0,36.2
66,2021-06-28 10:00:00,2.9,60.3,38.6
67,2021-06-28 11:00:00,1.9,58.3,39.3
68,2021-06-28 12:00:00,1.7,59.1,39.1
69,2021-06-28 13:00:00,1.2,57.3,39.6
70,2021-06-28 14:00:00,1.2,57.8,39.2
71,2021-06-28 15:00:00,1.0,60.4,38.2
72,2021-06-28 16:00:00,1.7,59.8,38.2
73,2021-06-28 17:00:00,2.5,60.1,37.9
74,2021-06-28 18:00:00,4.0,62.2,37.6
75,2021-06-28 19:00:00,4.7,64.8,36.7
76,2021-06-28 20:00:00,9.3,69.4,35.7
77,2021-06-28 21:00:00,7.6,68.6,35.4
78,2021-06-28 22:00:00,3.3,66.6,35.1
79,2021-06-28 23:00:00,2.3,67.1,34.8
80,2021-06-29 00:00:00,3.5,70.3,34.1
81,2021-06-29 01:00:00,2.5,72.3,33.6
82,2021-06-29 02:00:00,2.8,74.2,33.2
83,2021-06-29 03:00:00,2.4,75.9,33.1
84,2021-06-29 04:00:00,1.8,75.1,33.2
85,2021-06-29 05:00:00,1.3,76.1,33.0
86,2021-06-29 06:00:00,1.8,75.9,32.8
87,2021-06-29 07:00:00,2.6,76.7,32.8
88,2021-06-29 08:00:00,3.8,76.6,33.2
89,2021-06-29 09:00:00,5.1,74.6,33.9
90,2021-06-29 10:00:00,5.4,71.4,35.0
91,2021-06-29 11:00:00,7.4,68.9,36.1
92,2021-06-29 12:00:00,4.5,62.9,37.3
93,2021-06-29 13:00:00,3.0,60.3,38.2
94,2021-06-29 14:00:00,5.1,62.5,37.5
95,2021-06-29 15:00:00,7.2,66.9,36.4
96,2021-06-29 16:00:00,8.3,66.8,36.4
97,2021-06-29 17:00:00,8.0,67.7,36.5
98,2021-06-29 18:00:00,6.1,69.6,36.2
99,2021-06-29 19:00:00,6.2,72.6,35.7
100,2021-06-29 20:00:00,6.7,80.1,34.6
101,2021-06-29 21:00:00,3.5,78.8,33.7
102,2021-06-29 22:00:00,3.2,78.6,33.2
103,2021-06-29 23:00:00,3.0,79.1,33.0
104,2021-06-30 00:00:00,2.5,80.4,32.7
105,2021-06-30 01:00:00,2.5,83.9,32.3
106,2021-06-30 02:00:00,2.1,84.6,32.1
107,2021-06-30 03:00:00,2.2,84.7,32.0
108,2021-06-30 04:00:00,1.8,83.4,32.0
109,2021-06-30 05:00:00,1.9,81.9,32.1
110,2021-06-30 06:00:00,4.3,83.5,31.9
111,2021-06-30 07:00:00,3.6,84.6,32.0
112,2021-06-30 08:00:00,4.1,82.3,32.5
