,time,PM2.5,humidity,temperature
0,2021-07-01 16:00:00,3.2,48.9,36.4
1,2021-07-01 17:00:00,6.9,49.5,36.1
2,2021-07-01 18:00:00,10.2,52.8,35.5
3,2021-07-01 19:00:00,19.5,59.9,34.4
4,2021-07-01 20:00:00,19.6,65.0,33.4
5,2021-07-01 21:00:00,14.7,66.3,32.6
6,2021-07-01 22:00:00,11.4,66.3,32.4
7,2021-07-01 23:00:00,10.7,66.8,32.1
8,2021-07-02 00:00:00,11.3,67.7,31.9
9,2021-07-02 01:00:00,10.9,67.9,32.0
10,2021-07-02 02:00:00,9.4,66.0,32.1
11,2021-07-02 03:00:00,5.9,62.8,32.1
12,2021-07-02 04:00:00,4.1,61.9,32.2
13,2021-07-02 05:00:00,6.2,64.6,31.4
14,2021-07-02 06:00:00,4.8,66.9,30.4
15,2021-07-02 07:00:00,5.4,65.0,30.8
16,2021-07-02 08:00:00,6.1,63.1,31.8
17,2021-07-02 09:00:00,5.9,57.8,33.4
18,2021-07-02 10:00:00,4.4,53.0,34.7
19,2021-07-02 11:00:00,4.3,49.9,35.8
20,2021-07-02 12:00:00,2.7,48.0,36.5
21,2021-07-02 13:00:00,2.1,46.4,37.4
22,2021-07-02 14:00:00,1.7,44.3,38.5
23,2021-07-02 15:00:00,1.6,43.1,38.8
24,2021-07-02 16:00:00,2.8,43.1,38.8
25,2021-07-02 17:00:00,7.0,45.1,38.0
26,2021-07-02 18:00:00,16.3,49.0,37.0
27,2021-07-02 19:00:00,40.37,53.5,35.8
28,2021-07-02 20:00:00,102.25,57.3,35.1
29,2021-07-02 21:00:00,46.93,62.1,34.2
30,2021-07-02 22:00:00,17.0,61.3,34.7
31,2021-07-02 23:00:00,15.9,63.8,33.6
32,2021-07-03 00:00:00,13.8,66.0,33.2
33,2021-07-03 01:00:00,12.9,69.6,32.3
34,2021-07-03 02:00:00,12.8,70.9,32.3
35,2021-07-03 03:00:00,14.1,70.4,32.7
36,2021-07-03 04:00:00,13.6,66.4,33.6
37,2021-07-03 05:00:00,10.5,66.2,33.1
38,2021-07-03 06:00:00,10.5,70.3,31.5
39,2021-07-03 07:00:00,12.0,68.9,31.8
40,2021-07-03 08:00:00,12.9,61.7,33.1
41,2021-07-03 09:00:00,6.8,53.2,34.6
42,2021-07-03 10:00:00,5.2,49.6,35.8
43,2021-07-03 11:00:00,6.6,46.4,37.1
44,2021-07-03 12:00:00,6.1,44.6,38.0
45,2021-07-03 13:00:00,5.3,43.4,38.5
46,2021-07-03 14:00:00,4.2,42.8,38.8
47,2021-07-03 15:00:00,7.8,46.4,37.6
48,2021-07-03 16:00:00,7.3,46.2,37.5
49,2021-07-03 17:00:00,7.5,47.2,37.5
50,2021-07-03 18:00:00,7.8,48.3,36.9
51,2021-07-03 19:00:00,13.3,51.6,36.1
52,2021-07-03 20:00:00,50.03,60.4,35.1
53,2021-07-03 21:00:00,36.15,61.6,33.7
54,2021-07-03 22:00:00,6.1,59.4,32.5
55,2021-07-03 23:00:00,7.1,58.2,33.4
56,2021-07-04 00:00:00,5.1,63.8,32.4
57,2021-07-04 01:00:00,3.7,64.6,32.5
58,2021-07-04 02:00:00,3.7,70.3,31.8
59,2021-07-04 03:00:00,5.1,73.3,31.5
60,2021-07-04 04:00:00,19.5,75.8,31.1
61,2021-07-04 05:00:00,15.9,78.3,30.6
62,2021-07-04 06:00:00,19.5,79.6,30.4
63,2021-07-04 07:00:00,10.4,78.6,31.1
64,2021-07-04 08:00:00,8.2,76.6,31.7
65,2021-07-04 09:00:00,14.4,72.0,32.9
66,2021-07-04 10:00:00,13.5,65.0,34.3
67,2021-07-04 11:00:00,13.2,55.7,35.9
68,2021-07-04 12:00:00,11.3,51.8,36.9
69,2021-07-04 13:00:00,8.3,48.9,37.6
70,2021-07-04 14:00:00,7.9,47.5,38.1
71,2021-07-04 15:00:00,9.8,51.5,36.9
72,2021-07-04 16:00:00,6.3,47.9,38.0
73,2021-07-04 17:00:00,6.8,55.4,36.7
74,2021-07-04 18:00:00,8.3,62.8,34.7
75,2021-07-04 19:00:00,12.6,64.8,33.6
76,2021-07-04 20:00:00,14.0,66.5,32.6
