,time,PM2.5,humidity,temperature
0,2021-07-02 16:00:00,1.8,42.5,38.7
1,2021-07-02 17:00:00,2.3,42.4,38.9
2,2021-07-02 18:00:00,3.1,44.9,37.5
3,2021-07-02 19:00:00,6.2,47.7,36.6
4,2021-07-02 20:00:00,8.5,54.2,35.8
5,2021-07-02 21:00:00,14.7,58.0,35.2
6,2021-07-02 22:00:00,13.6,59.4,35.0
7,2021-07-02 23:00:00,18.6,63.1,34.8
8,2021-07-03 00:00:00,19.8,64.8,34.5
9,2021-07-03 01:00:00,17.3,66.1,34.0
10,2021-07-03 02:00:00,13.5,65.1,33.8
11,2021-07-03 03:00:00,12.0,66.1,33.4
12,2021-07-03 04:00:00,10.5,65.2,33.1
13,2021-07-03 05:00:00,7.5,62.3,33.1
14,2021-07-03 06:00:00,3.4,56.3,33.0
15,2021-07-03 07:00:00,3.7,55.9,33.0
16,2021-07-03 08:00:00,2.8,54.8,33.3
17,2021-07-03 09:00:00,5.7,54.5,33.4
18,2021-07-03 10:00:00,9.0,53.7,34.2
19,2021-07-03 11:00:00,9.1,52.8,34.7
20,2021-07-03 12:00:00,8.7,50.4,35.3
21,2021-07-03 13:00:00,10.9,49.9,36.1
22,2021-07-03 14:00:00,8.7,47.7,37.0
23,2021-07-03 15:00:00,6.1,46.0,37.7
24,2021-07-03 16:00:00,5.7,45.8,38.2
25,2021-07-03 17:00:00,6.4,45.6,38.1
26,2021-07-03 18:00:00,8.7,46.7,37.4
27,2021-07-03 19:00:00,31.33,57.9,35.5
28,2021-07-03 20:00:00,70.81,65.8,34.8
29,2021-07-03 21:00:00,66.24,62.7,34.7
30,2021-07-03 22:00:00,53.91,62.4,34.6
31,2021-07-03 23:00:00,10.0,58.4,34.4
32,2021-07-04 00:00:00,8.7,60.4,34.0
33,2021-07-04 01:00:00,7.0,63.5,33.6
34,2021-07-04 02:00:00,6.1,68.3,33.1
35,2021-07-04 03:00:00,5.7,71.8,32.8
36,2021-07-04 04:00:00,5.8,73.8,32.6
37,2021-07-04 05:00:00,7.0,75.5,32.2
38,2021-07-04 06:00:00,7.6,76.1,32.2
39,2021-07-04 07:00:00,8.3,75.9,32.4
40,2021-07-04 08:00:00,10.8,73.6,33.0
41,2021-07-04 09:00:00,13.7,67.3,33.8
42,2021-07-04 10:00:00,15.4,64.4,34.9
43,2021-07-04 11:00:00,15.2,58.0,35.5
44,2021-07-04 12:00:00,14.4,51.7,37.0
45,2021-07-04 13:00:00,15.7,51.2,37.4
46,2021-07-04 14:00:00,19.6,49.3,38.4
47,2021-07-04 15:00:00,7.1,43.5,38.9
48,2021-07-04 16:00:00,7.1,41.5,40.5
49,2021-07-04 17:00:00,9.5,42.7,40.2
50,2021-07-04 18:00:00,9.3,57.4,37.1
51,2021-07-04 19:00:00,10.7,61.9,35.2
52,2021-07-04 20:00:00,12.1,62.6,34.5
53,2021-07-04 21:00:00,12.8,64.6,33.8
54,2021-07-04 22:00:00,10.6,64.7,33.6
55,2021-07-04 23:00:00,10.7,68.4,33.2
56,2021-07-05 00:00:00,12.5,70.8,32.8
57,2021-07-05 01:00:00,9.7,71.8,32.6
58,2021-07-05 02:00:00,7.2,72.7,32.5
59,2021-07-05 03:00:00,5.8,74.7,32.4
60,2021-07-05 04:00:00,5.8,76.2,32.2
61,2021-07-05 05:00:00,5.8,76.3,32.2
62,2021-07-05 06:00:00,5.7,76.2,32.2
63,2021-07-05 07:00:00,5.1,75.8,32.3
64,2021-07-05 08:00:00,5.9,73.7,32.7
65,2021-07-05 09:00:00,7.9,68.5,33.6
66,2021-07-05 10:00:00,7.5,70.9,32.8
67,2021-07-05 11:00:00,5.1,75.5,31.1
68,2021-07-05 12:00:00,2.4,73.8,29.2
69,2021-07-05 13:00:00,2.8,70.7,29.7
70,2021-07-05 14:00:00,2.4,63.1,31.8
71,2021-07-05 15:00:00,2.4,59.0,33.7
72,2021-07-05 16:00:00,3.3,53.9,35.2
73,2021-07-05 17:00:00,3.9,50.3,37.1
74,2021-07-05 18:00:00,5.6,50.9,37.3
75,2021-07-05 19:00:00,6.8,58.8,34.2
76,2021-07-05 20:00:00,6.1,65.4,32.2
77,2021-07-05 21:00:00,7.1,67.4,31.9
78,2021-07-05 22:00:00,7.2,67.9,31.6
79,2021-07-05 23:00:00,7.4,69.6,31.4
80,2021-07-06 00:00:00,8.1,69.5,31.6
81,2021-07-06 01:00:00,9.3,72.0,31.2
82,2021-07-06 02:00:00,11.9,73.4,31.2
83,2021-07-06 03:00:00,11.8,75.4,31.1
84,2021-07-06 04:00:00,9.2,76.4,31.1
85,2021-07-06 05:00:00,9.3,77.2,30.9
86,2021-07-06 06:00:00,11.8,77.5,30.9
87,2021-07-06 07:00:00,15.6,76.3,31.3
88,2021-07-06 08:00:00,49.03,75.9,31.5
89,2021-07-06 09:00:00,33.47,69.9,31.5
90,2021-07-06 10:00:00,8.1,63.8,32.6
91,2021-07-06 11:00:00,4.5,63.3,33.2
92,2021-07-06 12:00:00,5.4,59.6,34.4
93,2021-07-06 13:00:00,7.2,54.1,35.4
94,2021-07-06 14:00:00,2.5,49.9,36.8
95,2021-07-06 15:00:00,4.1,51.5,36.9
96,2021-07-06 16:00:00,3.0,48.4,38.2
97,2021-07-06 17:00:00,4.0,44.2,40.0
98,2021-07-06 18:00:00,2.7,43.7,40.0
99,2021-07-06 19:00:00,3.5,53.5,36.1
100,2021-07-06 20:00:00,4.0,59.5,34.2
101,2021-07-06 21:00:00,3.9,61.8,33.4
102,2021-07-06 22:00:00,6.0,64.3,33.1
103,2021-07-06 23:00:00,5.7,64.7,32.8
104,2021-07-07 00:00:00,5.8,65.6,32.6
105,2021-07-07 01:00:00,5.1,65.9,32.4
106,2021-07-07 02:00:00,5.5,64.5,32.4
107,2021-07-07 03:00:00,5.1,64.8,32.4
108,2021-07-07 04:00:00,4.2,66.0,32.2
109,2021-07-07 05:00:00,6.0,70.0,31.8
110,2021-07-07 06:00:00,15.3,73.0,31.4
111,2021-07-07 07:00:00,56.75,74.2,31.5
112,2021-07-07 08:00:00,39.28,72.7,32.0
113,2021-07-07 09:00:00,36.84,69.5,32.2
114,2021-07-07 10:00:00,14.5,65.3,32.8
115,2021-07-07 11:00:00,10.2,59.2,33.9
116,2021-07-07 12:00:00,11.8,59.6,34.0
117,2021-07-07 13:00:00,15.5,60.7,33.8
118,2021-07-07 14:00:00,17.6,56.7,35.2
119,2021-07-07 15:00:00,12.4,57.7,34.0
120,2021-07-07 16:00:00,4.2,78.6,29.2
121,2021-07-07 17:00:00,5.5,80.5,29.1
122,2021-07-07 18:00:00,7.1,83.0,29.1
123,2021-07-07 19:00:00,6.5,82.0,29.1
124,2021-07-07 20:00:00,9.5,82.3,28.9
125,2021-07-07 21:00:00,12.1,81.3,29.0
126,2021-07-07 22:00:00,10.5,79.1,29.2
127,2021-07-07 23:00:00,14.1,79.3,29.5
128,2021-07-08 00:00:00,12.5,79.2,29.6
129,2021-07-08 01:00:00,12.5,79.4,29.6
130,2021-07-08 02:00:00,12.5,83.9,27.2
131,2021-07-08 03:00:00,12.5,85.5,26.4
132,2021-07-08 04:00:00,12.5,86.6,25.9
133,2021-07-08 05:00:00,12.5,89.2,25.7
134,2021-07-08 06:00:00,12.5,85.7,26.5
135,2021-07-08 07:00:00,12.5,85.1,26.8
136,2021-07-08 08:00:00,3.5,82.5,28.1
137,2021-07-08 09:00:00,3.8,82.6,28.5
138,2021-07-08 10:00:00,8.6,80.1,29.4
139,2021-07-08 11:00:00,6.9,78.1,29.7
140,2021-07-08 12:00:00,7.3,79.2,29.6
141,2021-07-08 13:00:00,7.7,77.3,29.7
142,2021-07-08 14:00:00,5.4,78.6,29.5
143,2021-07-08 15:00:00,3.8,74.2,30.6
144,2021-07-08 16:00:00,2.8,69.1,31.8
145,2021-07-08 17:00:00,3.1,65.9,32.9
146,2021-07-08 18:00:00,5.5,71.1,31.8
147,2021-07-08 19:00:00,5.9,75.0,30.7
148,2021-07-08 20:00:00,6.6,73.8,30.5
149,2021-07-08 21:00:00,5.9,74.6,30.2
150,2021-07-08 22:00:00,8.3,75.6,30.3
151,2021-07-08 23:00:00,10.8,77.3,30.0
152,2021-07-09 00:00:00,7.3,77.8,29.9
153,2021-07-09 01:00:00,9.4,78.7,29.8
154,2021-07-09 02:00:00,5.0,79.7,29.1
155,2021-07-09 03:00:00,12.2,79.0,29.0
156,2021-07-09 04:00:00,43.5,81.5,29.1
157,2021-07-09 05:00:00,46.86,81.8,28.9
158,2021-07-09 06:00:00,13.4,84.2,28.5
159,2021-07-09 07:00:00,9.8,83.8,28.5
160,2021-07-09 08:00:00,1.9,81.0,27.9
161,2021-07-09 09:00:00,2.7,77.8,29.4
162,2021-07-09 10:00:00,5.9,75.4,30.5
163,2021-07-09 11:00:00,6.9,71.8,31.1
164,2021-07-09 12:00:00,4.8,68.4,31.5
165,2021-07-09 13:00:00,5.5,67.6,31.9
166,2021-07-09 14:00:00,2.8,62.8,32.9
167,2021-07-09 15:00:00,4.9,62.2,33.4
