,time,PM2.5,humidity,temperature
0,2021-07-02 16:00:00,4.1,51.1,41.1
1,2021-07-02 17:00:00,3.5,53.4,39.9
2,2021-07-02 18:00:00,4.9,56.3,38.4
3,2021-07-02 19:00:00,8.5,66.7,36.6
4,2021-07-02 20:00:00,13.8,74.7,35.4
5,2021-07-02 21:00:00,12.7,75.3,35.1
6,2021-07-02 22:00:00,17.2,77.7,34.9
7,2021-07-02 23:00:00,12.2,82.0,34.4
8,2021-07-03 00:00:00,10.6,84.0,34.1
9,2021-07-03 01:00:00,10.2,85.6,33.8
10,2021-07-03 02:00:00,9.5,86.0,33.5
11,2021-07-03 03:00:00,8.8,84.9,33.0
12,2021-07-03 04:00:00,7.3,83.6,32.9
13,2021-07-03 05:00:00,5.7,80.8,32.6
14,2021-07-03 06:00:00,6.4,78.9,32.6
15,2021-07-03 07:00:00,4.8,73.8,33.0
16,2021-07-03 08:00:00,3.5,69.1,33.6
17,2021-07-03 09:00:00,4.2,67.4,34.3
18,2021-07-03 10:00:00,5.6,65.3,35.0
19,2021-07-03 11:00:00,7.6,63.0,36.3
20,2021-07-03 12:00:00,8.8,60.7,37.0
21,2021-07-03 13:00:00,7.3,58.1,38.2
22,2021-07-03 14:00:00,6.6,55.9,39.3
23,2021-07-03 15:00:00,5.0,54.2,39.7
24,2021-07-03 16:00:00,5.6,53.8,40.2
25,2021-07-03 17:00:00,8.1,54.6,40.2
26,2021-07-03 18:00:00,10.8,59.6,38.1
27,2021-07-03 19:00:00,11.6,61.3,36.9
28,2021-07-03 20:00:00,38.07,70.0,36.0
29,2021-07-03 21:00:00,32.69,74.8,35.0
30,2021-07-03 22:00:00,9.2,72.9,34.4
31,2021-07-03 23:00:00,7.7,76.4,33.7
32,2021-07-04 00:00:00,6.8,76.8,33.8
33,2021-07-04 01:00:00,6.5,80.2,33.5
34,2021-07-04 02:00:00,6.3,84.3,33.1
35,2021-07-04 03:00:00,6.9,88.3,32.8
36,2021-07-04 04:00:00,6.3,91.4,32.6
37,2021-07-04 05:00:00,6.1,92.8,32.4
38,2021-07-04 06:00:00,6.8,94.9,32.1
39,2021-07-04 07:00:00,8.9,93.8,32.5
40,2021-07-04 08:00:00,10.4,92.1,33.0
41,2021-07-04 09:00:00,12.1,81.9,34.6
42,2021-07-04 10:00:00,13.6,72.9,36.1
43,2021-07-04 11:00:00,14.6,68.8,37.3
44,2021-07-04 12:00:00,8.6,60.7,37.7
45,2021-07-04 13:00:00,9.4,57.5,39.0
46,2021-07-04 14:00:00,11.2,51.3,42.0
47,2021-07-04 15:00:00,8.3,51.2,41.6
48,2021-07-04 16:00:00,11.0,52.1,42.1
49,2021-07-04 17:00:00,13.0,55.6,40.7
50,2021-07-04 18:00:00,13.8,71.7,37.5
51,2021-07-04 19:00:00,14.2,77.5,35.4
52,2021-07-04 20:00:00,15.1,79.4,34.4
53,2021-07-04 21:00:00,11.7,80.7,33.9
54,2021-07-04 22:00:00,11.6,83.6,33.6
55,2021-07-04 23:00:00,11.8,86.2,33.3
56,2021-07-05 00:00:00,10.4,87.8,33.0
