,time,PM2.5,humidity,temperature
0,2021-07-24 16:00:00,12.8,79.2,29.7
1,2021-07-24 17:00:00,15.5,78.7,29.8
2,2021-07-24 18:00:00,9.9,79.6,29.8
3,2021-07-24 19:00:00,6.1,83.0,29.2
4,2021-07-24 20:00:00,8.0,83.8,29.1
5,2021-07-24 21:00:00,6.8,84.4,29.2
6,2021-07-24 22:00:00,5.9,84.2,29.2
7,2021-07-24 23:00:00,6.6,82.9,29.7
8,2021-07-25 00:00:00,6.6,84.2,29.4
9,2021-07-25 01:00:00,6.3,85.7,29.0
10,2021-07-25 02:00:00,7.0,85.9,28.8
11,2021-07-25 03:00:00,8.0,85.6,28.6
12,2021-07-25 04:00:00,9.7,86.1,28.4
13,2021-07-25 05:00:00,12.1,86.4,28.2
14,2021-07-25 06:00:00,15.0,86.2,27.9
15,2021-07-25 07:00:00,16.8,85.9,28.2
16,2021-07-25 08:00:00,19.5,83.2,29.2
17,2021-07-25 09:00:00,16.2,79.0,30.4
18,2021-07-25 10:00:00,35.78,75.3,31.9
19,2021-07-25 11:00:00,37.96,70.4,33.0
20,2021-07-25 12:00:00,33.65,65.9,34.0
21,2021-07-25 13:00:00,17.9,62.2,34.5
22,2021-07-25 14:00:00,16.0,62.0,34.6
23,2021-07-25 15:00:00,23.76,60.5,35.5
24,2021-07-25 16:00:00,30.56,56.6,36.6
25,2021-07-25 17:00:00,30.65,59.9,35.7
26,2021-07-25 18:00:00,17.4,67.6,33.1
27,2021-07-25 19:00:00,15.9,76.4,29.9
28,2021-07-25 20:00:00,9.5,77.8,29.4
29,2021-07-25 21:00:00,8.8,78.4,29.8
30,2021-07-25 22:00:00,12.9,77.4,30.1
31,2021-07-25 23:00:00,15.2,75.8,30.1
32,2021-07-26 00:00:00,15.7,77.6,29.7
33,2021-07-26 01:00:00,13.0,82.6,29.1
34,2021-07-26 02:00:00,17.0,80.8,29.3
35,2021-07-26 03:00:00,17.5,77.3,29.5
36,2021-07-26 04:00:00,11.9,76.9,29.2
37,2021-07-26 05:00:00,9.9,77.8,29.0
38,2021-07-26 06:00:00,14.2,80.0,28.6
39,2021-07-26 07:00:00,11.6,80.7,28.9
40,2021-07-26 08:00:00,11.0,78.1,29.2
41,2021-07-26 09:00:00,11.4,74.9,29.6
42,2021-07-26 10:00:00,15.0,73.6,30.2
43,2021-07-26 11:00:00,12.9,73.2,30.5
44,2021-07-26 12:00:00,14.4,66.9,32.0
45,2021-07-26 13:00:00,15.9,61.6,33.9
46,2021-07-26 14:00:00,11.7,57.6,35.3
47,2021-07-26 15:00:00,18.6,55.2,35.8
48,2021-07-26 16:00:00,17.2,59.6,34.6
49,2021-07-26 17:00:00,22.81,58.1,34.7
50,2021-07-26 18:00:00,15.3,60.4,34.1
51,2021-07-26 19:00:00,32.92,72.4,32.0
52,2021-07-26 20:00:00,13.2,79.6,29.6
53,2021-07-26 21:00:00,8.1,82.2,28.5
54,2021-07-26 22:00:00,3.0,81.4,28.2
55,2021-07-26 23:00:00,4.1,81.3,28.4
56,2021-07-27 00:00:00,5.8,81.0,28.9
57,2021-07-27 01:00:00,7.0,79.9,29.5
58,2021-07-27 02:00:00,7.3,80.4,29.4
59,2021-07-27 03:00:00,7.3,80.2,29.2
60,2021-07-27 04:00:00,7.9,80.6,29.1
61,2021-07-27 05:00:00,8.6,81.5,29.2
62,2021-07-27 06:00:00,11.5,81.7,29.0
63,2021-07-27 07:00:00,10.7,81.7,29.3
64,2021-07-27 08:00:00,13.4,78.7,30.3
65,2021-07-27 09:00:00,19.3,77.4,30.7
66,2021-07-27 10:00:00,19.9,72.6,31.6
67,2021-07-27 11:00:00,15.5,69.2,32.4
68,2021-07-27 12:00:00,11.1,62.8,34.0
69,2021-07-27 13:00:00,14.3,59.0,35.5
