,time,PM2.5,humidity,temperature
0,2021-07-25 16:00:00,14.2,82.2,34.4
1,2021-07-25 17:00:00,11.9,80.0,34.1
2,2021-07-25 18:00:00,13.1,82.5,32.8
3,2021-07-25 19:00:00,15.2,86.3,32.0
4,2021-07-25 20:00:00,14.7,92.0,31.7
5,2021-07-25 21:00:00,16.1,96.3,30.7
6,2021-07-25 22:00:00,16.1,99.7,30.3
7,2021-07-25 23:00:00,15.6,99.9,30.2
8,2021-07-26 00:00:00,6.7,96.9,29.4
9,2021-07-26 01:00:00,6.7,92.6,29.6
10,2021-07-26 02:00:00,10.7,91.8,29.7
11,2021-07-26 03:00:00,7.5,97.6,29.3
12,2021-07-26 04:00:00,7.5,100.0,28.9
13,2021-07-26 05:00:00,5.9,100.0,28.8
14,2021-07-26 06:00:00,5.7,100.0,28.5
15,2021-07-26 07:00:00,6.3,100.0,28.7
16,2021-07-26 08:00:00,8.4,100.0,29.5
17,2021-07-26 09:00:00,12.4,97.1,30.9
18,2021-07-26 10:00:00,14.7,88.2,32.8
19,2021-07-26 11:00:00,16.6,84.4,33.9
20,2021-07-26 12:00:00,17.5,80.2,34.9
21,2021-07-26 13:00:00,16.9,72.9,36.7
22,2021-07-26 14:00:00,17.9,67.6,38.1
23,2021-07-26 15:00:00,17.8,64.5,38.3
24,2021-07-26 16:00:00,17.1,65.1,37.9
25,2021-07-26 17:00:00,18.7,70.5,36.7
26,2021-07-26 18:00:00,17.2,76.8,35.2
27,2021-07-26 19:00:00,16.8,80.9,33.9
28,2021-07-26 20:00:00,45.71,87.0,33.2
29,2021-07-26 21:00:00,14.8,91.1,32.0
30,2021-07-26 22:00:00,8.5,95.1,31.3
31,2021-07-26 23:00:00,5.9,94.9,30.8
32,2021-07-27 00:00:00,5.3,94.3,30.9
33,2021-07-27 01:00:00,5.1,95.0,30.8
34,2021-07-27 02:00:00,5.8,97.7,30.6
35,2021-07-27 03:00:00,7.1,100.0,29.8
36,2021-07-27 04:00:00,6.9,100.0,29.8
37,2021-07-27 05:00:00,8.0,100.0,29.5
38,2021-07-27 06:00:00,8.7,100.0,29.3
39,2021-07-27 07:00:00,6.5,100.0,30.0
40,2021-07-27 08:00:00,6.6,97.6,31.2
41,2021-07-27 09:00:00,15.0,89.3,32.9
42,2021-07-27 10:00:00,9.3,77.5,35.8
43,2021-07-27 11:00:00,11.3,68.9,38.1
44,2021-07-27 12:00:00,10.5,65.4,38.7
45,2021-07-27 13:00:00,9.1,61.2,39.7
46,2021-07-27 14:00:00,12.9,61.1,40.3
47,2021-07-27 15:00:00,10.8,60.4,39.4
48,2021-07-27 16:00:00,10.1,64.0,38.3
49,2021-07-27 17:00:00,8.1,64.3,38.0
50,2021-07-27 18:00:00,7.2,64.2,37.9
51,2021-07-27 19:00:00,9.4,73.2,36.3
52,2021-07-27 20:00:00,8.9,85.0,34.1
53,2021-07-27 21:00:00,6.1,86.6,33.4
54,2021-07-27 22:00:00,4.7,85.5,33.3
55,2021-07-27 23:00:00,3.4,88.7,32.9
56,2021-07-28 00:00:00,3.7,93.2,32.5
57,2021-07-28 01:00:00,4.4,93.4,32.2
58,2021-07-28 02:00:00,8.4,98.8,31.4
59,2021-07-28 03:00:00,15.5,98.3,30.7
60,2021-07-28 04:00:00,10.4,100.0,30.3
61,2021-07-28 05:00:00,12.2,100.0,30.3
62,2021-07-28 06:00:00,11.0,100.0,30.5
63,2021-07-28 07:00:00,5.8,100.0,30.7
64,2021-07-28 08:00:00,7.8,97.8,31.4
65,2021-07-28 09:00:00,13.8,90.9,33.1
66,2021-07-28 10:00:00,14.4,78.7,35.8
67,2021-07-28 11:00:00,14.4,69.8,38.1
68,2021-07-28 12:00:00,10.5,63.8,39.5
69,2021-07-28 13:00:00,10.6,63.2,39.6
70,2021-07-28 14:00:00,13.3,63.6,39.4
71,2021-07-28 15:00:00,9.5,64.5,38.5
