,time,PM2.5,humidity,temperature
0,2021-07-29 16:00:00,10.1,78.2,34.0
1,2021-07-29 17:00:00,2.7,99.5,28.8
2,2021-07-29 18:00:00,2.0,99.7,29.1
3,2021-07-29 19:00:00,2.3,97.0,29.4
4,2021-07-29 20:00:00,3.1,95.8,29.4
5,2021-07-29 21:00:00,6.3,98.2,29.5
6,2021-07-29 22:00:00,6.7,99.9,29.4
7,2021-07-29 23:00:00,5.8,98.7,29.7
8,2021-07-30 00:00:00,6.2,97.0,29.9
9,2021-07-30 01:00:00,5.6,95.5,29.5
10,2021-07-30 02:00:00,4.9,95.1,29.2
11,2021-07-30 03:00:00,8.6,96.5,29.1
12,2021-07-30 04:00:00,12.2,97.1,29.3
13,2021-07-30 05:00:00,17.0,97.6,29.2
14,2021-07-30 06:00:00,74.57,99.7,29.4
15,2021-07-30 07:00:00,85.72,99.4,29.8
16,2021-07-30 08:00:00,75.68,97.9,30.2
17,2021-07-30 09:00:00,68.77,91.8,31.2
18,2021-07-30 10:00:00,59.44,86.4,32.3
19,2021-07-30 11:00:00,42.32,81.6,33.2
20,2021-07-30 12:00:00,37.66,76.9,34.6
21,2021-07-30 13:00:00,15.0,68.5,36.6
22,2021-07-30 14:00:00,11.8,63.9,38.2
23,2021-07-30 15:00:00,12.0,67.0,37.1
24,2021-07-30 16:00:00,12.5,68.5,36.3
25,2021-07-30 17:00:00,,,
26,2021-07-30 18:00:00,14.8,69.5,35.7
27,2021-07-30 19:00:00,,,
28,2021-07-30 20:00:00,5.8,78.8,32.1
29,2021-07-30 21:00:00,5.7,84.3,31.6
30,2021-07-30 22:00:00,4.8,86.4,31.3
31,2021-07-30 23:00:00,4.3,87.2,31.4
32,2021-07-31 00:00:00,3.7,89.1,31.2
33,2021-07-31 01:00:00,5.0,90.5,30.7
34,2021-07-31 02:00:00,2.5,89.5,30.9
35,2021-07-31 03:00:00,2.8,90.9,30.6
36,2021-07-31 04:00:00,4.3,91.9,30.2
37,2021-07-31 05:00:00,4.5,91.9,30.2
38,2021-07-31 06:00:00,9.2,92.2,30.2
39,2021-07-31 07:00:00,8.6,91.4,30.3
40,2021-07-31 08:00:00,14.3,90.5,30.7
41,2021-07-31 09:00:00,12.7,88.8,31.5
42,2021-07-31 10:00:00,11.4,83.4,32.6
43,2021-07-31 11:00:00,12.7,78.8,34.1
44,2021-07-31 12:00:00,13.0,73.5,35.6
45,2021-07-31 13:00:00,11.5,67.4,37.2
46,2021-07-31 14:00:00,7.5,61.1,39.3
47,2021-07-31 15:00:00,4.2,62.1,38.4
48,2021-07-31 16:00:00,5.4,68.8,36.9
49,2021-07-31 17:00:00,5.9,71.6,36.3
50,2021-07-31 18:00:00,10.3,75.1,35.5
51,2021-07-31 19:00:00,19.7,78.7,34.5
52,2021-07-31 20:00:00,19.1,78.4,34.1
53,2021-07-31 21:00:00,35.49,78.6,33.9
54,2021-07-31 22:00:00,19.4,83.6,33.8
55,2021-07-31 23:00:00,10.6,86.5,33.6
56,2021-08-01 00:00:00,5.7,88.3,33.3
57,2021-08-01 01:00:00,3.4,85.7,32.3
58,2021-08-01 02:00:00,3.4,98.5,27.6
59,2021-08-01 03:00:00,3.4,99.7,27.4
60,2021-08-01 04:00:00,3.4,100.0,27.3
61,2021-08-01 05:00:00,3.4,100.0,27.3
