,time,PM2.5,humidity,temperature
0,2021-08-05 16:00:00,7.3,45.7,38.9
1,2021-08-05 17:00:00,7.3,47.0,38.3
2,2021-08-05 18:00:00,7.7,50.6,37.8
3,2021-08-05 19:00:00,11.5,54.8,37.0
4,2021-08-05 20:00:00,15.1,56.6,36.4
5,2021-08-05 21:00:00,31.17,60.0,35.8
6,2021-08-05 22:00:00,49.93,64.1,35.3
7,2021-08-05 23:00:00,50.66,66.5,34.8
8,2021-08-06 00:00:00,45.16,67.0,34.7
9,2021-08-06 01:00:00,31.68,67.6,34.4
10,2021-08-06 02:00:00,12.8,64.7,34.2
11,2021-08-06 03:00:00,11.6,64.3,33.9
12,2021-08-06 04:00:00,45.13,72.4,33.4
13,2021-08-06 05:00:00,65.95,73.0,33.1
14,2021-08-06 06:00:00,56.13,71.9,32.8
15,2021-08-06 07:00:00,41.15,69.3,33.1
16,2021-08-06 08:00:00,48.23,66.3,33.9
17,2021-08-06 09:00:00,26.47,57.4,35.3
18,2021-08-06 10:00:00,19.8,53.9,36.5
19,2021-08-06 11:00:00,11.8,50.2,37.3
20,2021-08-06 12:00:00,9.8,48.5,38.4
21,2021-08-06 13:00:00,5.9,45.2,39.4
22,2021-08-06 14:00:00,5.3,43.4,40.0
23,2021-08-06 15:00:00,4.4,42.7,40.1
24,2021-08-06 16:00:00,3.3,42.1,39.8
25,2021-08-06 17:00:00,3.5,44.6,39.2
26,2021-08-06 18:00:00,5.0,47.3,38.8
27,2021-08-06 19:00:00,6.9,52.1,37.6
28,2021-08-06 20:00:00,9.3,56.1,36.9
29,2021-08-06 21:00:00,17.0,59.9,36.3
30,2021-08-06 22:00:00,25.39,63.4,35.8
31,2021-08-06 23:00:00,10.7,55.5,35.8
32,2021-08-07 00:00:00,5.9,53.6,35.2
33,2021-08-07 01:00:00,2.4,54.4,34.8
34,2021-08-07 02:00:00,1.5,54.7,34.5
35,2021-08-07 03:00:00,1.2,55.7,34.1
36,2021-08-07 04:00:00,2.1,56.8,33.9
37,2021-08-07 05:00:00,1.7,57.0,33.6
38,2021-08-07 06:00:00,2.0,57.8,33.4
39,2021-08-07 07:00:00,7.4,59.3,33.7
40,2021-08-07 08:00:00,9.9,55.7,34.9
41,2021-08-07 09:00:00,6.1,51.4,35.9
42,2021-08-07 10:00:00,5.9,49.7,36.7
43,2021-08-07 11:00:00,8.1,48.1,37.6
44,2021-08-07 12:00:00,6.6,45.8,38.7
45,2021-08-07 13:00:00,4.6,43.4,39.4
46,2021-08-07 14:00:00,3.4,41.4,40.4
47,2021-08-07 15:00:00,2.4,41.3,40.5
48,2021-08-07 16:00:00,2.3,41.5,40.4
49,2021-08-07 17:00:00,4.1,46.3,39.4
50,2021-08-07 18:00:00,6.0,46.7,38.8
51,2021-08-07 19:00:00,8.9,47.6,38.1
52,2021-08-07 20:00:00,11.9,48.9,37.6
53,2021-08-07 21:00:00,19.0,51.9,37.1
54,2021-08-07 22:00:00,18.1,54.1,36.5
55,2021-08-07 23:00:00,17.5,55.2,36.1
56,2021-08-08 00:00:00,14.2,57.4,35.6
57,2021-08-08 01:00:00,8.5,55.4,35.4
58,2021-08-08 02:00:00,5.4,54.4,35.4
59,2021-08-08 03:00:00,4.7,55.5,35.0
60,2021-08-08 04:00:00,7.1,58.5,34.8
61,2021-08-08 05:00:00,20.0,63.5,34.4
62,2021-08-08 06:00:00,30.55,67.3,33.8
63,2021-08-08 07:00:00,31.57,68.5,33.9
64,2021-08-08 08:00:00,32.8,68.5,34.3
65,2021-08-08 09:00:00,19.9,72.9,34.5
66,2021-08-08 10:00:00,31.65,71.0,35.2
67,2021-08-08 11:00:00,35.4,68.1,35.5
68,2021-08-08 12:00:00,48.92,65.5,35.8
69,2021-08-08 13:00:00,25.12,59.0,36.3
70,2021-08-08 14:00:00,27.73,60.4,35.6
71,2021-08-08 15:00:00,20.0,69.4,33.2
72,2021-08-08 16:00:00,17.1,70.0,32.8
73,2021-08-08 17:00:00,15.3,70.5,32.8
74,2021-08-08 18:00:00,16.5,68.8,32.7
75,2021-08-08 19:00:00,18.7,70.4,32.3
76,2021-08-08 20:00:00,14.5,69.6,32.0
77,2021-08-08 21:00:00,14.6,71.8,31.8
78,2021-08-08 22:00:00,14.1,71.2,31.9
79,2021-08-08 23:00:00,15.7,70.9,32.1
80,2021-08-09 00:00:00,17.7,73.3,31.4
81,2021-08-09 01:00:00,48.17,74.3,31.0
82,2021-08-09 02:00:00,92.94,74.6,31.3
83,2021-08-09 03:00:00,89.07,76.0,31.0
84,2021-08-09 04:00:00,69.26,78.7,30.1
85,2021-08-09 05:00:00,36.24,78.1,30.0
86,2021-08-09 06:00:00,51.86,78.6,30.2
87,2021-08-09 07:00:00,55.06,78.8,30.5
88,2021-08-09 08:00:00,50.12,77.5,31.0
89,2021-08-09 09:00:00,49.0,75.6,31.6
90,2021-08-09 10:00:00,43.5,76.8,31.5
91,2021-08-09 11:00:00,49.09,77.2,31.8
92,2021-08-09 12:00:00,45.58,74.5,32.7
93,2021-08-09 13:00:00,48.04,72.9,33.3
94,2021-08-09 14:00:00,66.24,73.3,33.1
95,2021-08-09 15:00:00,70.17,72.9,33.5
96,2021-08-09 16:00:00,69.85,72.4,33.6
97,2021-08-09 17:00:00,78.02,71.6,33.6
98,2021-08-09 18:00:00,81.38,72.6,33.3
99,2021-08-09 19:00:00,78.84,73.9,32.9
100,2021-08-09 20:00:00,70.41,74.7,32.7
101,2021-08-09 21:00:00,77.51,77.8,32.3
102,2021-08-09 22:00:00,77.26,78.2,32.0
103,2021-08-09 23:00:00,14.2,84.8,29.4
104,2021-08-10 00:00:00,8.8,80.2,29.6
105,2021-08-10 01:00:00,4.7,79.8,29.0
106,2021-08-10 02:00:00,2.8,81.1,28.4
107,2021-08-10 03:00:00,2.8,80.5,28.2
108,2021-08-10 04:00:00,2.8,80.1,28.2
109,2021-08-10 05:00:00,2.0,79.1,28.4
110,2021-08-10 06:00:00,1.5,79.6,28.4
111,2021-08-10 07:00:00,5.9,81.1,28.1
112,2021-08-10 08:00:00,8.7,83.5,27.9
113,2021-08-10 09:00:00,5.4,84.4,27.8
114,2021-08-10 10:00:00,4.3,81.5,28.5
115,2021-08-10 11:00:00,3.0,79.2,29.2
116,2021-08-10 12:00:00,6.2,77.2,29.9
117,2021-08-10 13:00:00,11.0,77.1,30.4
118,2021-08-10 14:00:00,8.6,76.2,30.9
119,2021-08-10 15:00:00,11.3,73.9,31.9
120,2021-08-10 16:00:00,39.73,77.5,31.4
