,time,PM2.5,humidity,temperature
0,2021-08-14 16:00:00,5.0,67.5,34.5
1,2021-08-14 17:00:00,16.7,75.0,32.9
2,2021-08-14 18:00:00,67.15,80.2,32.4
3,2021-08-14 19:00:00,43.25,85.7,32.0
4,2021-08-14 20:00:00,10.5,86.2,31.4
5,2021-08-14 21:00:00,3.6,90.6,29.8
6,2021-08-14 22:00:00,4.4,91.5,29.5
7,2021-08-14 23:00:00,3.2,92.6,29.0
8,2021-08-15 00:00:00,3.2,93.2,28.7
9,2021-08-15 01:00:00,5.4,94.8,28.5
10,2021-08-15 02:00:00,6.1,95.0,28.6
11,2021-08-15 03:00:00,7.6,95.6,28.5
12,2021-08-15 04:00:00,7.8,95.5,28.5
13,2021-08-15 05:00:00,8.1,96.4,28.4
14,2021-08-15 06:00:00,6.2,97.0,28.2
15,2021-08-15 07:00:00,6.5,95.8,28.5
16,2021-08-15 08:00:00,7.0,98.8,28.3
17,2021-08-15 09:00:00,6.6,100.0,28.2
18,2021-08-15 10:00:00,14.3,99.1,28.7
19,2021-08-15 11:00:00,73.33,96.6,29.2
20,2021-08-15 12:00:00,16.7,92.8,30.0
21,2021-08-15 13:00:00,12.7,89.6,30.7
22,2021-08-15 14:00:00,15.5,86.3,31.4
23,2021-08-15 15:00:00,11.5,83.3,31.9
24,2021-08-15 16:00:00,10.2,81.6,32.2
25,2021-08-15 17:00:00,15.4,85.5,31.9
26,2021-08-15 18:00:00,14.4,90.4,31.2
27,2021-08-15 19:00:00,13.2,92.3,30.8
28,2021-08-15 20:00:00,7.7,91.5,30.6
29,2021-08-15 21:00:00,6.0,92.1,30.4
30,2021-08-15 22:00:00,4.8,92.6,30.1
31,2021-08-15 23:00:00,3.4,92.9,29.7
32,2021-08-16 00:00:00,3.2,93.6,29.5
33,2021-08-16 01:00:00,2.5,94.4,29.4
34,2021-08-16 02:00:00,2.8,94.7,29.4
35,2021-08-16 03:00:00,5.9,95.9,29.3
36,2021-08-16 04:00:00,6.2,96.7,29.2
37,2021-08-16 05:00:00,7.8,97.7,29.2
38,2021-08-16 06:00:00,7.5,98.8,29.0
39,2021-08-16 07:00:00,7.4,98.6,29.1
40,2021-08-16 08:00:00,7.9,96.6,29.6
41,2021-08-16 09:00:00,10.4,95.2,30.1
42,2021-08-16 10:00:00,6.1,89.7,31.1
43,2021-08-16 11:00:00,5.7,81.2,32.1
44,2021-08-16 12:00:00,4.5,73.7,33.2
45,2021-08-16 13:00:00,4.4,71.5,33.6
46,2021-08-16 14:00:00,9.2,70.9,34.0
47,2021-08-16 15:00:00,3.8,73.3,33.8
48,2021-08-16 16:00:00,3.4,73.8,34.1
49,2021-08-16 17:00:00,5.4,67.1,36.6
50,2021-08-16 18:00:00,8.1,74.4,34.0
51,2021-08-16 19:00:00,6.5,82.1,32.2
52,2021-08-16 20:00:00,9.0,84.9,31.6
53,2021-08-16 21:00:00,7.1,85.1,31.2
54,2021-08-16 22:00:00,4.6,87.3,30.7
55,2021-08-16 23:00:00,4.2,88.7,30.3
56,2021-08-17 00:00:00,2.9,89.5,30.2
57,2021-08-17 01:00:00,2.0,88.8,29.9
58,2021-08-17 02:00:00,2.0,86.7,28.2
59,2021-08-17 03:00:00,2.0,88.9,27.8
60,2021-08-17 04:00:00,3.7,94.8,27.3
61,2021-08-17 05:00:00,134.76,99.4,26.8
62,2021-08-17 06:00:00,16.0,99.6,26.8
63,2021-08-17 07:00:00,11.5,99.1,27.2
64,2021-08-17 08:00:00,10.8,96.2,28.2
65,2021-08-17 09:00:00,14.5,93.1,29.6
66,2021-08-17 10:00:00,13.0,87.3,31.3
67,2021-08-17 11:00:00,9.1,74.7,33.0
68,2021-08-17 12:00:00,3.7,67.4,33.9
69,2021-08-17 13:00:00,3.6,70.7,33.7
70,2021-08-17 14:00:00,3.1,69.7,34.4
71,2021-08-17 15:00:00,3.9,69.7,34.9
72,2021-08-17 16:00:00,3.8,68.2,36.1
73,2021-08-17 17:00:00,4.2,58.1,38.8
74,2021-08-17 18:00:00,6.3,65.4,36.7
75,2021-08-17 19:00:00,6.5,79.1,33.1
76,2021-08-17 20:00:00,9.7,81.2,32.3
77,2021-08-17 21:00:00,11.2,84.4,31.8
78,2021-08-17 22:00:00,11.2,85.2,31.2
79,2021-08-17 23:00:00,10.5,88.5,30.8
80,2021-08-18 00:00:00,1.2,86.5,28.8
81,2021-08-18 01:00:00,1.2,94.0,26.8
82,2021-08-18 02:00:00,2.1,93.0,26.9
83,2021-08-18 03:00:00,3.2,92.7,27.1
84,2021-08-18 04:00:00,3.9,93.1,27.1
85,2021-08-18 05:00:00,5.6,92.8,27.2
86,2021-08-18 06:00:00,7.1,93.0,27.1
87,2021-08-18 07:00:00,6.1,92.5,27.4
88,2021-08-18 08:00:00,6.2,91.0,28.3
89,2021-08-18 09:00:00,6.8,87.8,29.8
90,2021-08-18 10:00:00,6.3,82.4,31.6
91,2021-08-18 11:00:00,8.8,78.8,32.9
92,2021-08-18 12:00:00,5.8,74.3,34.2
93,2021-08-18 13:00:00,4.0,69.4,34.7
94,2021-08-18 14:00:00,3.7,67.6,35.0
95,2021-08-18 15:00:00,4.4,65.1,35.7
96,2021-08-18 16:00:00,3.5,66.0,35.5
97,2021-08-18 17:00:00,12.5,72.4,35.0
98,2021-08-18 18:00:00,15.0,79.8,33.8
99,2021-08-18 19:00:00,2.4,84.6,30.5
100,2021-08-18 20:00:00,1.5,90.1,28.2
101,2021-08-18 21:00:00,1.5,95.8,26.2
102,2021-08-18 22:00:00,1.5,96.8,26.1
103,2021-08-18 23:00:00,1.5,96.3,26.3
104,2021-08-19 00:00:00,1.0,97.1,26.6
105,2021-08-19 01:00:00,1.2,97.2,26.8
106,2021-08-19 02:00:00,3.7,97.8,26.7
107,2021-08-19 03:00:00,3.5,97.4,26.6
108,2021-08-19 04:00:00,7.7,98.5,26.6
109,2021-08-19 05:00:00,8.2,97.6,26.7
110,2021-08-19 06:00:00,6.5,97.6,26.6
111,2021-08-19 07:00:00,6.3,97.2,26.9
112,2021-08-19 08:00:00,4.2,94.0,27.5
113,2021-08-19 09:00:00,4.7,88.5,28.9
114,2021-08-19 10:00:00,3.6,83.1,30.4
115,2021-08-19 11:00:00,4.0,75.0,32.0
116,2021-08-19 12:00:00,5.0,71.6,33.4
117,2021-08-19 13:00:00,4.5,72.0,34.0
118,2021-08-19 14:00:00,3.7,70.2,34.7
119,2021-08-19 15:00:00,2.7,69.8,35.0
120,2021-08-19 16:00:00,3.2,69.3,35.3
121,2021-08-19 17:00:00,3.4,62.5,38.0
122,2021-08-19 18:00:00,6.5,72.9,35.2
123,2021-08-19 19:00:00,8.8,82.1,32.4
124,2021-08-19 20:00:00,7.1,86.6,31.6
125,2021-08-19 21:00:00,6.4,88.0,31.1
126,2021-08-19 22:00:00,10.0,90.2,30.8
127,2021-08-19 23:00:00,10.3,90.7,30.6
128,2021-08-20 00:00:00,9.1,91.2,30.3
129,2021-08-20 01:00:00,8.9,91.6,30.1
130,2021-08-20 02:00:00,9.8,92.7,29.9
131,2021-08-20 03:00:00,9.1,93.1,29.6
132,2021-08-20 04:00:00,10.0,92.8,29.4
133,2021-08-20 05:00:00,6.3,93.4,29.1
134,2021-08-20 06:00:00,5.1,93.8,28.7
135,2021-08-20 07:00:00,7.0,91.5,28.5
136,2021-08-20 08:00:00,3.6,91.1,29.0
137,2021-08-20 09:00:00,5.1,89.7,30.0
138,2021-08-20 10:00:00,5.1,88.1,30.6
139,2021-08-20 11:00:00,6.7,85.8,31.4
140,2021-08-20 12:00:00,8.1,80.0,33.1
141,2021-08-20 13:00:00,8.1,78.2,33.4
142,2021-08-20 14:00:00,8.0,74.2,34.2
143,2021-08-20 15:00:00,6.7,68.6,34.8
144,2021-08-20 16:00:00,8.3,68.0,35.1
145,2021-08-20 17:00:00,12.2,72.5,34.5
146,2021-08-20 18:00:00,16.5,78.3,33.8
147,2021-08-20 19:00:00,10.1,84.2,32.4
148,2021-08-20 20:00:00,7.1,86.2,31.6
149,2021-08-20 21:00:00,8.2,88.2,31.1
150,2021-08-20 22:00:00,9.3,90.0,30.6
151,2021-08-20 23:00:00,7.8,91.7,30.3
152,2021-08-21 00:00:00,7.7,92.9,30.1
153,2021-08-21 01:00:00,7.8,94.1,30.0
154,2021-08-21 02:00:00,6.9,95.3,29.8
155,2021-08-21 03:00:00,6.5,96.0,29.7
156,2021-08-21 04:00:00,7.4,95.9,29.7
157,2021-08-21 05:00:00,6.8,96.7,29.5
158,2021-08-21 06:00:00,5.6,96.9,29.3
159,2021-08-21 07:00:00,7.6,97.0,29.5
160,2021-08-21 08:00:00,6.8,95.7,29.8
161,2021-08-21 09:00:00,7.9,90.3,31.2
162,2021-08-21 10:00:00,6.4,83.9,32.6
163,2021-08-21 11:00:00,8.4,79.2,33.8
164,2021-08-21 12:00:00,7.6,74.6,34.6
165,2021-08-21 13:00:00,5.8,69.4,35.5
166,2021-08-21 14:00:00,6.0,67.6,35.9
167,2021-08-21 15:00:00,7.7,65.9,36.0
