,time,PM2.5,humidity,temperature
0,2021-08-15 16:00:00,10.3,86.2,31.9
1,2021-08-15 17:00:00,15.0,92.8,31.5
2,2021-08-15 18:00:00,10.8,98.6,30.9
3,2021-08-15 19:00:00,11.9,100.0,30.6
4,2021-08-15 20:00:00,8.2,100.0,30.3
5,2021-08-15 21:00:00,4.8,100.0,30.0
6,2021-08-15 22:00:00,4.1,100.0,29.7
7,2021-08-15 23:00:00,3.1,100.0,29.3
8,2021-08-16 00:00:00,2.9,100.0,29.1
9,2021-08-16 01:00:00,2.5,100.0,29.0
10,2021-08-16 02:00:00,2.4,100.0,29.1
11,2021-08-16 03:00:00,5.0,100.0,28.9
12,2021-08-16 04:00:00,5.2,100.0,28.9
13,2021-08-16 05:00:00,7.0,100.0,28.9
14,2021-08-16 06:00:00,8.6,100.0,28.8
15,2021-08-16 07:00:00,9.0,100.0,28.8
16,2021-08-16 08:00:00,9.0,100.0,29.2
17,2021-08-16 09:00:00,9.3,100.0,29.7
18,2021-08-16 10:00:00,5.2,96.6,30.9
19,2021-08-16 11:00:00,6.5,85.0,32.2
20,2021-08-16 12:00:00,5.1,76.3,33.3
21,2021-08-16 13:00:00,4.2,73.3,34.0
22,2021-08-16 14:00:00,5.9,74.2,34.3
23,2021-08-16 15:00:00,4.1,77.0,34.0
24,2021-08-16 16:00:00,3.3,79.0,34.0
25,2021-08-16 17:00:00,3.7,80.5,33.5
26,2021-08-16 18:00:00,5.1,82.3,33.0
27,2021-08-16 19:00:00,7.1,89.0,31.9
28,2021-08-16 20:00:00,8.2,93.1,31.2
29,2021-08-16 21:00:00,6.6,93.4,30.7
30,2021-08-16 22:00:00,3.5,96.3,30.2
31,2021-08-16 23:00:00,3.3,97.6,29.9
32,2021-08-17 00:00:00,2.5,99.5,29.8
33,2021-08-17 01:00:00,1.3,96.4,29.7
34,2021-08-17 02:00:00,1.3,93.3,27.8
35,2021-08-17 03:00:00,1.3,97.8,27.2
36,2021-08-17 04:00:00,1.4,99.6,26.8
37,2021-08-17 05:00:00,85.93,100.0,26.6
38,2021-08-17 06:00:00,18.1,100.0,26.6
39,2021-08-17 07:00:00,11.3,100.0,27.2
40,2021-08-17 08:00:00,11.0,100.0,28.1
41,2021-08-17 09:00:00,13.3,99.5,29.5
42,2021-08-17 10:00:00,12.5,89.0,32.2
43,2021-08-17 11:00:00,8.2,70.7,34.5
44,2021-08-17 12:00:00,4.0,65.0,35.6
45,2021-08-17 13:00:00,4.1,66.2,35.7
46,2021-08-17 14:00:00,3.4,66.4,36.2
47,2021-08-17 15:00:00,4.7,68.9,36.0
48,2021-08-17 16:00:00,4.7,66.2,36.8
49,2021-08-17 17:00:00,4.8,67.0,36.4
50,2021-08-17 18:00:00,12.5,71.1,35.0
51,2021-08-17 19:00:00,13.1,74.5,34.1
