,time,PM2.5,humidity,temperature
0,2021-08-15 16:00:00,14.5,85.0,31.9
1,2021-08-15 17:00:00,19.4,87.7,31.5
2,2021-08-15 18:00:00,17.6,93.3,30.9
3,2021-08-15 19:00:00,13.1,98.9,30.3
4,2021-08-15 20:00:00,10.2,99.2,30.2
5,2021-08-15 21:00:00,5.5,99.0,30.1
6,2021-08-15 22:00:00,4.9,99.9,29.8
7,2021-08-15 23:00:00,4.5,100.0,29.5
8,2021-08-16 00:00:00,3.7,100.0,29.2
9,2021-08-16 01:00:00,2.9,100.0,29.2
10,2021-08-16 02:00:00,2.9,100.0,29.1
11,2021-08-16 03:00:00,3.0,100.0,28.8
12,2021-08-16 04:00:00,3.2,100.0,28.7
13,2021-08-16 05:00:00,4.3,100.0,28.7
14,2021-08-16 06:00:00,8.9,100.0,28.5
15,2021-08-16 07:00:00,7.2,100.0,28.7
16,2021-08-16 08:00:00,6.5,100.0,29.5
17,2021-08-16 09:00:00,7.8,99.7,30.0
18,2021-08-16 10:00:00,8.1,93.5,30.9
19,2021-08-16 11:00:00,9.3,85.6,32.0
20,2021-08-16 12:00:00,4.8,77.3,33.1
21,2021-08-16 13:00:00,4.4,74.4,33.6
22,2021-08-16 14:00:00,3.6,68.9,34.7
23,2021-08-16 15:00:00,4.5,68.7,35.0
24,2021-08-16 16:00:00,5.0,70.7,34.9
25,2021-08-16 17:00:00,5.5,75.1,33.5
26,2021-08-16 18:00:00,6.3,75.9,33.3
27,2021-08-16 19:00:00,10.5,83.1,32.1
28,2021-08-16 20:00:00,11.1,86.7,31.4
29,2021-08-16 21:00:00,7.6,87.1,31.0
30,2021-08-16 22:00:00,6.7,90.0,30.6
31,2021-08-16 23:00:00,4.7,92.8,30.1
32,2021-08-17 00:00:00,2.9,94.4,30.0
33,2021-08-17 01:00:00,2.4,93.4,29.4
34,2021-08-17 02:00:00,1.0,91.3,28.2
35,2021-08-17 03:00:00,1.0,94.1,28.1
36,2021-08-17 04:00:00,1.0,96.4,27.6
37,2021-08-17 05:00:00,2.5,98.5,27.7
38,2021-08-17 06:00:00,11.9,100.0,27.5
39,2021-08-17 07:00:00,11.8,99.0,28.3
40,2021-08-17 08:00:00,12.5,95.5,29.1
41,2021-08-17 09:00:00,14.4,94.6,30.1
42,2021-08-17 10:00:00,18.1,86.6,32.0
43,2021-08-17 11:00:00,10.9,72.2,33.9
44,2021-08-17 12:00:00,3.4,64.8,35.0
45,2021-08-17 13:00:00,2.8,61.9,36.3
46,2021-08-17 14:00:00,2.0,59.5,37.5
47,2021-08-17 15:00:00,3.1,58.0,38.3
48,2021-08-17 16:00:00,2.6,58.0,38.5
49,2021-08-17 17:00:00,2.4,64.9,35.9
50,2021-08-17 18:00:00,2.3,66.5,35.2
51,2021-08-17 19:00:00,4.4,70.7,34.2
52,2021-08-17 20:00:00,8.9,80.4,32.5
53,2021-08-17 21:00:00,10.5,80.7,32.4
54,2021-08-17 22:00:00,14.4,82.8,31.8
55,2021-08-17 23:00:00,13.0,86.7,31.2
56,2021-08-18 00:00:00,13.0,86.4,28.9
57,2021-08-18 01:00:00,13.0,96.7,27.4
58,2021-08-18 02:00:00,1.0,95.9,27.6
59,2021-08-18 03:00:00,2.2,95.0,27.6
60,2021-08-18 04:00:00,5.4,95.9,27.5
61,2021-08-18 05:00:00,7.1,97.0,27.5
62,2021-08-18 06:00:00,6.9,99.3,27.4
63,2021-08-18 07:00:00,5.4,98.5,27.6
64,2021-08-18 08:00:00,5.7,93.4,28.8
65,2021-08-18 09:00:00,6.4,85.6,30.6
66,2021-08-18 10:00:00,5.0,81.1,32.3
67,2021-08-18 11:00:00,4.2,77.6,33.7
68,2021-08-18 12:00:00,2.9,70.1,35.2
69,2021-08-18 13:00:00,2.8,66.8,35.7
