,time,PM2.5,humidity,temperature
0,2021-08-18 16:00:00,2.4,73.6,35.6
1,2021-08-18 17:00:00,3.3,75.6,35.1
2,2021-08-18 18:00:00,5.8,81.6,33.7
3,2021-08-18 19:00:00,3.8,98.3,29.6
4,2021-08-18 20:00:00,1.3,96.9,27.8
5,2021-08-18 21:00:00,1.3,98.7,25.8
6,2021-08-18 22:00:00,1.3,98.7,26.4
7,2021-08-18 23:00:00,1.3,98.7,26.3
8,2021-08-19 00:00:00,1.3,98.6,26.8
9,2021-08-19 01:00:00,1.3,98.7,26.6
10,2021-08-19 02:00:00,1.3,98.7,26.5
11,2021-08-19 03:00:00,2.0,98.7,26.5
12,2021-08-19 04:00:00,2.0,98.7,26.3
13,2021-08-19 05:00:00,2.8,98.7,26.3
14,2021-08-19 06:00:00,1.5,98.7,26.1
15,2021-08-19 07:00:00,2.5,96.9,28.0
16,2021-08-19 08:00:00,2.6,87.9,30.6
17,2021-08-19 09:00:00,3.4,83.8,31.8
18,2021-08-19 10:00:00,3.0,80.3,32.8
19,2021-08-19 11:00:00,2.4,78.0,33.2
20,2021-08-19 12:00:00,3.0,77.0,33.1
21,2021-08-19 13:00:00,2.6,77.5,33.5
22,2021-08-19 14:00:00,4.1,78.5,33.6
23,2021-08-19 15:00:00,3.2,81.1,33.2
24,2021-08-19 16:00:00,2.6,81.3,33.4
25,2021-08-19 17:00:00,2.7,82.6,33.2
26,2021-08-19 18:00:00,3.3,86.2,32.6
27,2021-08-19 19:00:00,3.6,92.1,31.4
28,2021-08-19 20:00:00,4.3,95.1,30.8
29,2021-08-19 21:00:00,4.3,98.2,30.3
30,2021-08-19 22:00:00,2.5,98.7,30.0
31,2021-08-19 23:00:00,2.3,98.7,29.7
32,2021-08-20 00:00:00,3.4,98.7,29.6
33,2021-08-20 01:00:00,3.2,98.7,29.4
34,2021-08-20 02:00:00,3.1,98.7,29.1
35,2021-08-20 03:00:00,4.3,98.7,28.9
36,2021-08-20 04:00:00,5.6,98.7,28.7
37,2021-08-20 05:00:00,5.8,98.7,28.2
38,2021-08-20 06:00:00,4.0,98.7,28.1
39,2021-08-20 07:00:00,4.8,98.7,28.4
40,2021-08-20 08:00:00,4.2,98.0,29.1
41,2021-08-20 09:00:00,5.7,92.9,31.4
42,2021-08-20 10:00:00,5.9,90.8,31.9
43,2021-08-20 11:00:00,7.0,89.0,32.1
44,2021-08-20 12:00:00,6.8,88.0,32.5
45,2021-08-20 13:00:00,7.0,86.1,33.0
46,2021-08-20 14:00:00,5.8,82.0,33.6
47,2021-08-20 15:00:00,4.7,77.5,33.8
48,2021-08-20 16:00:00,7.1,78.1,33.9
49,2021-08-20 17:00:00,6.4,81.3,33.7
50,2021-08-20 18:00:00,5.9,87.2,32.7
51,2021-08-20 19:00:00,5.2,94.1,31.4
52,2021-08-20 20:00:00,3.7,97.2,30.7
53,2021-08-20 21:00:00,2.5,98.7,30.2
54,2021-08-20 22:00:00,2.6,98.7,29.8
55,2021-08-20 23:00:00,3.0,98.7,29.7
56,2021-08-21 00:00:00,3.6,98.7,29.5
57,2021-08-21 01:00:00,4.0,98.7,29.2
58,2021-08-21 02:00:00,4.7,98.7,29.0
59,2021-08-21 03:00:00,6.0,98.7,28.8
60,2021-08-21 04:00:00,5.8,98.7,28.9
61,2021-08-21 05:00:00,6.0,98.7,28.7
62,2021-08-21 06:00:00,6.9,98.7,28.6
63,2021-08-21 07:00:00,6.1,98.7,29.1
64,2021-08-21 08:00:00,4.8,98.7,30.3
65,2021-08-21 09:00:00,3.8,93.4,32.3
66,2021-08-21 10:00:00,4.2,87.6,33.5
67,2021-08-21 11:00:00,4.2,85.0,33.9
68,2021-08-21 12:00:00,4.0,83.2,33.8
69,2021-08-21 13:00:00,4.1,80.2,34.9
70,2021-08-21 14:00:00,4.0,77.4,35.3
71,2021-08-21 15:00:00,3.1,75.8,35.5
72,2021-08-21 16:00:00,3.2,74.7,35.8
73,2021-08-21 17:00:00,4.4,77.3,35.1
74,2021-08-21 18:00:00,6.9,90.1,33.2
75,2021-08-21 19:00:00,6.9,95.0,31.9
