,time,PM2.5,humidity,temperature
0,2021-06-22 16:00:00,19.5,69.6,37.7
1,2021-06-22 17:00:00,19.4,68.7,38.0
2,2021-06-22 18:00:00,19.1,73.6,36.6
3,2021-06-22 19:00:00,18.1,77.7,35.7
4,2021-06-22 20:00:00,60.28,83.9,34.7
5,2021-06-22 21:00:00,56.97,93.4,32.9
6,2021-06-22 22:00:00,1.1,100.0,23.7
7,2021-06-22 23:00:00,1.1,100.0,25.3
8,2021-06-23 00:00:00,1.1,100.0,27.5
9,2021-06-23 01:00:00,1.6,100.0,27.1
10,2021-06-23 02:00:00,2.3,100.0,27.1
11,2021-06-23 03:00:00,1.9,100.0,27.5
12,2021-06-23 04:00:00,1.4,100.0,27.3
13,2021-06-23 05:00:00,1.5,100.0,26.9
14,2021-06-23 06:00:00,1.5,100.0,26.8
15,2021-06-23 07:00:00,3.5,100.0,27.6
16,2021-06-23 08:00:00,6.8,100.0,27.7
17,2021-06-23 09:00:00,11.6,94.7,30.5
18,2021-06-23 10:00:00,12.4,82.5,33.6
19,2021-06-23 11:00:00,14.7,81.1,33.7
20,2021-06-23 12:00:00,10.9,73.7,35.8
21,2021-06-23 13:00:00,6.2,71.7,36.1
22,2021-06-23 14:00:00,5.2,72.4,36.1
23,2021-06-23 15:00:00,5.1,74.5,35.3
24,2021-06-23 16:00:00,5.0,76.4,34.7
25,2021-06-23 17:00:00,5.1,80.1,34.2
26,2021-06-23 18:00:00,5.1,83.3,33.4
27,2021-06-23 19:00:00,6.7,89.6,32.7
28,2021-06-23 20:00:00,9.3,95.6,31.7
29,2021-06-23 21:00:00,8.6,100.0,31.0
30,2021-06-23 22:00:00,8.5,100.0,30.7
31,2021-06-23 23:00:00,7.2,100.0,30.5
32,2021-06-24 00:00:00,4.2,100.0,30.3
33,2021-06-24 01:00:00,4.6,100.0,29.8
34,2021-06-24 02:00:00,3.3,100.0,29.8
35,2021-06-24 03:00:00,4.2,100.0,29.8
36,2021-06-24 04:00:00,4.9,100.0,29.7
37,2021-06-24 05:00:00,3.6,100.0,29.6
38,2021-06-24 06:00:00,3.8,100.0,29.8
39,2021-06-24 07:00:00,5.9,100.0,30.5
40,2021-06-24 08:00:00,4.2,100.0,31.6
41,2021-06-24 09:00:00,4.6,97.5,33.0
42,2021-06-24 10:00:00,8.7,87.2,35.1
43,2021-06-24 11:00:00,9.9,91.3,32.8
44,2021-06-24 12:00:00,4.4,96.9,29.3
45,2021-06-24 13:00:00,3.6,97.4,28.4
46,2021-06-24 14:00:00,5.9,100.0,27.8
47,2021-06-24 15:00:00,4.5,100.0,27.3
48,2021-06-24 16:00:00,8.7,100.0,27.9
49,2021-06-24 17:00:00,7.9,100.0,28.0
50,2021-06-24 18:00:00,7.6,100.0,28.2
51,2021-06-24 19:00:00,6.9,100.0,28.1
52,2021-06-24 20:00:00,9.8,100.0,28.4
53,2021-06-24 21:00:00,11.4,100.0,28.7
54,2021-06-24 22:00:00,11.7,100.0,28.4
55,2021-06-24 23:00:00,14.7,100.0,28.2
56,2021-06-25 00:00:00,14.6,100.0,27.9
57,2021-06-25 01:00:00,9.9,100.0,27.8
58,2021-06-25 02:00:00,6.7,100.0,27.8
59,2021-06-25 03:00:00,6.7,100.0,27.7
60,2021-06-25 04:00:00,6.9,100.0,27.8
61,2021-06-25 05:00:00,9.1,100.0,27.6
62,2021-06-25 06:00:00,11.4,100.0,27.6
63,2021-06-25 07:00:00,10.1,100.0,28.1
64,2021-06-25 08:00:00,4.5,97.0,29.0
65,2021-06-25 09:00:00,6.1,95.7,29.3
66,2021-06-25 10:00:00,6.7,95.9,29.2
67,2021-06-25 11:00:00,7.0,94.3,29.8
68,2021-06-25 12:00:00,9.9,92.2,30.7
69,2021-06-25 13:00:00,11.0,90.9,31.2
70,2021-06-25 14:00:00,7.5,89.5,31.6
71,2021-06-25 15:00:00,8.8,89.8,32.2
72,2021-06-25 16:00:00,11.9,90.5,32.4
73,2021-06-25 17:00:00,12.9,90.9,32.8
74,2021-06-25 18:00:00,10.8,95.8,32.1
75,2021-06-25 19:00:00,8.3,99.3,31.7
76,2021-06-25 20:00:00,5.1,100.0,31.2
77,2021-06-25 21:00:00,1.2,98.8,27.0
78,2021-06-25 22:00:00,1.0,100.0,25.7
79,2021-06-25 23:00:00,1.0,100.0,26.0
80,2021-06-26 00:00:00,1.0,100.0,25.7
81,2021-06-26 01:00:00,1.0,100.0,26.0
82,2021-06-26 02:00:00,3.8,100.0,25.9
83,2021-06-26 03:00:00,11.4,100.0,25.7
84,2021-06-26 04:00:00,12.9,100.0,25.7
85,2021-06-26 05:00:00,12.9,100.0,25.8
86,2021-06-26 06:00:00,12.0,100.0,26.0
87,2021-06-26 07:00:00,9.1,100.0,26.7
88,2021-06-26 08:00:00,4.4,100.0,28.5
89,2021-06-26 09:00:00,2.3,97.9,30.2
90,2021-06-26 10:00:00,3.5,95.8,31.5
91,2021-06-26 11:00:00,5.0,92.2,32.7
92,2021-06-26 12:00:00,5.6,86.5,33.7
93,2021-06-26 13:00:00,5.3,83.3,34.3
94,2021-06-26 14:00:00,4.1,78.6,35.4
95,2021-06-26 15:00:00,2.9,78.8,35.1
96,2021-06-26 16:00:00,3.4,79.9,34.6
97,2021-06-26 17:00:00,2.9,76.6,34.9
98,2021-06-26 18:00:00,3.5,79.9,34.5
99,2021-06-26 19:00:00,2.2,84.8,31.9
100,2021-06-26 20:00:00,2.2,100.0,26.8
101,2021-06-26 21:00:00,2.2,100.0,27.1
102,2021-06-26 22:00:00,1.2,100.0,28.8
103,2021-06-26 23:00:00,1.6,100.0,28.9
104,2021-06-27 00:00:00,2.0,100.0,28.7
105,2021-06-27 01:00:00,3.1,100.0,28.1
106,2021-06-27 02:00:00,4.2,100.0,28.2
107,2021-06-27 03:00:00,4.5,100.0,28.4
108,2021-06-27 04:00:00,6.5,100.0,28.5
109,2021-06-27 05:00:00,5.0,100.0,28.5
110,2021-06-27 06:00:00,3.1,100.0,28.8
111,2021-06-27 07:00:00,2.8,98.7,29.8
112,2021-06-27 08:00:00,2.9,91.5,31.4
113,2021-06-27 09:00:00,3.1,85.2,33.0
114,2021-06-27 10:00:00,3.1,71.8,36.1
115,2021-06-27 11:00:00,3.0,67.4,37.5
116,2021-06-27 12:00:00,2.2,65.6,37.2
117,2021-06-27 13:00:00,1.9,63.9,37.9
118,2021-06-27 14:00:00,1.8,62.9,38.3
119,2021-06-27 15:00:00,2.1,61.9,38.4
120,2021-06-27 16:00:00,2.2,62.8,38.2
121,2021-06-27 17:00:00,2.0,69.3,36.9
122,2021-06-27 18:00:00,3.5,73.4,36.1
123,2021-06-27 19:00:00,3.7,76.9,35.3
124,2021-06-27 20:00:00,5.9,80.7,34.8
125,2021-06-27 21:00:00,5.3,83.5,34.1
126,2021-06-27 22:00:00,4.1,83.1,33.7
127,2021-06-27 23:00:00,4.5,85.0,33.3
128,2021-06-28 00:00:00,6.6,86.5,32.9
129,2021-06-28 01:00:00,5.0,85.8,32.8
130,2021-06-28 02:00:00,4.2,85.3,32.5
131,2021-06-28 03:00:00,3.6,84.7,32.2
132,2021-06-28 04:00:00,2.7,84.3,32.1
133,2021-06-28 05:00:00,5.0,87.3,31.5
134,2021-06-28 06:00:00,5.5,90.4,31.2
135,2021-06-28 07:00:00,6.3,84.0,32.8
136,2021-06-28 08:00:00,4.5,75.7,35.1
137,2021-06-28 09:00:00,5.2,66.3,37.8
138,2021-06-28 10:00:00,5.8,62.8,39.2
139,2021-06-28 11:00:00,5.5,62.2,39.3
140,2021-06-28 12:00:00,4.7,58.6,40.1
141,2021-06-28 13:00:00,3.3,59.4,39.9
142,2021-06-28 14:00:00,2.8,59.2,39.8
143,2021-06-28 15:00:00,4.4,59.7,39.6
144,2021-06-28 16:00:00,4.6,58.8,39.4
145,2021-06-28 17:00:00,3.1,60.0,38.9
146,2021-06-28 18:00:00,5.0,62.4,38.3
147,2021-06-28 19:00:00,6.8,68.3,37.5
148,2021-06-28 20:00:00,10.4,67.3,36.8
149,2021-06-28 21:00:00,11.7,69.2,35.7
150,2021-06-28 22:00:00,4.7,69.2,35.2
151,2021-06-28 23:00:00,4.3,71.5,34.7
152,2021-06-29 00:00:00,3.7,73.7,34.2
153,2021-06-29 01:00:00,3.1,75.4,33.8
154,2021-06-29 02:00:00,2.7,78.4,33.3
155,2021-06-29 03:00:00,2.4,79.5,33.0
156,2021-06-29 04:00:00,2.3,80.5,32.8
157,2021-06-29 05:00:00,2.3,81.4,32.4
158,2021-06-29 06:00:00,3.1,82.9,32.2
159,2021-06-29 07:00:00,3.6,83.5,32.4
160,2021-06-29 08:00:00,3.5,78.9,33.2
161,2021-06-29 09:00:00,4.9,72.2,35.4
162,2021-06-29 10:00:00,5.3,68.0,36.8
163,2021-06-29 11:00:00,6.5,67.1,37.4
164,2021-06-29 12:00:00,6.5,69.6,36.6
165,2021-06-29 13:00:00,6.9,69.2,36.6
166,2021-06-29 14:00:00,7.0,70.5,36.3
167,2021-06-29 15:00:00,5.6,70.5,36.4
