,time,PM2.5,humidity,temperature
0,2021-09-13 16:00:00,18.1,98.3,28.5
1,2021-09-13 17:00:00,14.5,100.0,27.7
2,2021-09-13 18:00:00,12.7,100.0,27.7
3,2021-09-13 19:00:00,7.0,100.0,27.5
4,2021-09-13 20:00:00,9.7,100.0,27.5
5,2021-09-13 21:00:00,8.7,100.0,27.3
6,2021-09-13 22:00:00,7.8,100.0,27.3
7,2021-09-13 23:00:00,8.6,100.0,26.9
8,2021-09-14 00:00:00,11.3,100.0,26.9
9,2021-09-14 01:00:00,10.9,100.0,26.9
10,2021-09-14 02:00:00,12.6,100.0,27.0
11,2021-09-14 03:00:00,16.2,100.0,27.0
12,2021-09-14 04:00:00,14.2,100.0,26.8
13,2021-09-14 05:00:00,13.2,100.0,27.0
14,2021-09-14 06:00:00,14.2,100.0,27.1
15,2021-09-14 07:00:00,14.9,100.0,27.6
16,2021-09-14 08:00:00,11.7,100.0,28.6
17,2021-09-14 09:00:00,8.3,100.0,28.2
18,2021-09-14 10:00:00,9.9,100.0,26.8
19,2021-09-14 11:00:00,8.5,100.0,26.6
20,2021-09-14 12:00:00,10.6,100.0,26.5
21,2021-09-14 13:00:00,6.2,100.0,26.2
22,2021-09-14 14:00:00,8.2,100.0,27.1
23,2021-09-14 15:00:00,10.5,100.0,27.6
24,2021-09-14 16:00:00,7.4,100.0,27.8
25,2021-09-14 17:00:00,4.4,100.0,27.8
26,2021-09-14 18:00:00,4.5,100.0,27.4
27,2021-09-14 19:00:00,6.2,100.0,26.8
28,2021-09-14 20:00:00,5.6,100.0,26.6
29,2021-09-14 21:00:00,5.3,100.0,26.5
30,2021-09-14 22:00:00,3.4,100.0,26.5
31,2021-09-14 23:00:00,4.3,100.0,26.7
32,2021-09-15 00:00:00,4.6,100.0,26.6
33,2021-09-15 01:00:00,6.3,100.0,26.7
34,2021-09-15 02:00:00,10.0,100.0,26.8
35,2021-09-15 03:00:00,13.9,100.0,26.9
36,2021-09-15 04:00:00,8.1,100.0,26.8
37,2021-09-15 05:00:00,6.2,100.0,26.5
