,time,PM2.5,humidity,temperature
0,2021-09-17 16:00:00,3.7,80.1,34.2
1,2021-09-17 17:00:00,4.3,81.2,34.4
2,2021-09-17 18:00:00,3.5,95.7,30.8
3,2021-09-17 19:00:00,2.3,97.5,29.5
4,2021-09-17 20:00:00,2.3,99.9,25.0
5,2021-09-17 21:00:00,2.3,100.0,25.4
6,2021-09-17 22:00:00,2.3,100.0,26.0
7,2021-09-17 23:00:00,1.1,100.0,26.0
8,2021-09-18 00:00:00,1.1,100.0,26.0
9,2021-09-18 01:00:00,1.1,100.0,26.1
10,2021-09-18 02:00:00,1.0,100.0,26.2
11,2021-09-18 03:00:00,1.3,100.0,26.2
12,2021-09-18 04:00:00,1.9,100.0,26.2
13,2021-09-18 05:00:00,2.4,100.0,26.3
14,2021-09-18 06:00:00,4.3,100.0,26.1
15,2021-09-18 07:00:00,6.6,100.0,26.5
16,2021-09-18 08:00:00,7.8,100.0,27.9
17,2021-09-18 09:00:00,7.8,99.2,29.3
18,2021-09-18 10:00:00,6.2,88.0,31.6
19,2021-09-18 11:00:00,5.3,84.6,32.8
20,2021-09-18 12:00:00,2.1,80.3,33.8
21,2021-09-18 13:00:00,2.3,76.0,34.5
22,2021-09-18 14:00:00,4.4,72.3,35.6
23,2021-09-18 15:00:00,2.8,70.9,36.0
24,2021-09-18 16:00:00,1.8,68.5,36.5
25,2021-09-18 17:00:00,2.1,70.0,35.6
26,2021-09-18 18:00:00,3.5,80.5,32.9
27,2021-09-18 19:00:00,4.1,88.2,31.6
28,2021-09-18 20:00:00,6.9,91.6,30.9
29,2021-09-18 21:00:00,8.8,96.7,30.3
30,2021-09-18 22:00:00,5.0,99.8,29.8
31,2021-09-18 23:00:00,4.1,100.0,29.5
32,2021-09-19 00:00:00,2.7,100.0,29.3
33,2021-09-19 01:00:00,2.5,100.0,28.9
34,2021-09-19 02:00:00,3.0,100.0,28.8
35,2021-09-19 03:00:00,3.3,100.0,28.6
36,2021-09-19 04:00:00,3.1,100.0,28.4
37,2021-09-19 05:00:00,2.2,100.0,28.2
38,2021-09-19 06:00:00,2.3,100.0,28.2
39,2021-09-19 07:00:00,2.7,100.0,28.9
40,2021-09-19 08:00:00,3.5,97.7,30.4
41,2021-09-19 09:00:00,2.8,92.4,31.0
42,2021-09-19 10:00:00,5.5,84.4,32.8
43,2021-09-19 11:00:00,5.2,80.1,33.9
44,2021-09-19 12:00:00,4.0,75.7,34.9
45,2021-09-19 13:00:00,3.3,68.8,35.7
46,2021-09-19 14:00:00,3.4,65.7,37.0
47,2021-09-19 15:00:00,3.5,62.8,37.8
48,2021-09-19 16:00:00,6.6,64.0,37.6
49,2021-09-19 17:00:00,6.2,63.1,37.2
50,2021-09-19 18:00:00,30.54,70.4,33.8
51,2021-09-19 19:00:00,12.2,77.3,32.3
52,2021-09-19 20:00:00,19.8,81.9,31.4
53,2021-09-19 21:00:00,16.2,85.5,30.7
54,2021-09-19 22:00:00,10.6,89.6,30.2
55,2021-09-19 23:00:00,6.6,92.2,29.9
56,2021-09-20 00:00:00,5.8,93.4,29.7
57,2021-09-20 01:00:00,6.1,93.7,29.5
58,2021-09-20 02:00:00,6.0,95.6,29.2
59,2021-09-20 03:00:00,5.8,96.6,29.1
60,2021-09-20 04:00:00,5.2,97.5,29.0
61,2021-09-20 05:00:00,15.5,100.0,28.5
62,2021-09-20 06:00:00,18.8,100.0,28.2
63,2021-09-20 07:00:00,15.5,100.0,28.3
64,2021-09-20 08:00:00,11.2,100.0,29.1
65,2021-09-20 09:00:00,11.7,97.8,30.2
66,2021-09-20 10:00:00,11.9,97.0,30.3
67,2021-09-20 11:00:00,15.3,98.0,29.8
68,2021-09-20 12:00:00,15.7,91.1,31.1
69,2021-09-20 13:00:00,13.7,83.4,32.4
70,2021-09-20 14:00:00,14.1,77.5,33.9
71,2021-09-20 15:00:00,11.9,77.8,34.0
72,2021-09-20 16:00:00,11.2,77.2,34.0
