,station,longitude,latitude
0,S0000099-Phu Vien,105.866414,21.037787
1,S0000144-Pham Tuan Tai,105.782624,21.043288
2,S0000169-Ngoc Thuy,105.8542,21.071805
3,S0000182-Truong THCS Trung Hoa,105.798926,21.014074
4,S0000229-Quan Hoa,105.805607,21.039073
5,S0000238-He thong lien cap Lomonoxop - Mam non,105.733799,21.006896
6,S0000262-Ly Thai To,105.855492,21.027889
7,S0000319-Bat Trang,105.91214,20.976621
8,S0000323-Ly Thuong Kiet,105.855528,21.021585
9,S0000328-Luong The Vinh,105.78408,20.99687
10,S0000331-Truong THCS Le Quy Don,105.765046,21.035681
11,S0000336-Truong THCS Nguyen Trai,105.826515,21.030971
12,S0000337-VNU-HUS_Thuong Dinh,105.8077276,20.996076
13,S0000343-Vinh Hung,105.877857,20.988818
14,S0000352-Dai hoc Mo Dia Chat,105.7738975,21.0723289
15,S0000367-To Hieu,105.77808,20.96717
16,S0000368-Dai La,105.849143,20.996147
17,S0000399-Truong Mam non Thuc hanh Hoa Sen,105.821805,21.026463
18,S0000403-Truong THCS PASCAL,105.784333,21.167872
19,S0000475-Chung cu A1 - KDT Ha Dinh,105.810171,20.991423
20,S0000497-Chuyen My,105.864031,20.741247
21,S0000499-Quang An,105.825751,21.064955
22,S0000509-Van Phu,105.770437,20.95893
23,S0000533-Hang Thiec,105.8480083,21.0327528
24,S0000553-Thu vien Truong Cao dang Su pham Trung uong,105.79231,21.045539
