,time,PM2.5,humidity,temperature
0,2021-10-11 20:00:00,3.0,96.0,23.4
1,2021-10-11 21:00:00,4.1,96.2,23.5
2,2021-10-11 22:00:00,3.6,96.6,24.0
3,2021-10-11 23:00:00,3.3,96.9,24.0
4,2021-10-12 00:00:00,3.1,98.0,23.9
5,2021-10-12 01:00:00,4.1,99.3,23.8
6,2021-10-12 02:00:00,4.3,99.4,23.7
7,2021-10-12 03:00:00,6.0,99.1,23.7
8,2021-10-12 04:00:00,11.5,96.9,23.2
9,2021-10-12 05:00:00,10.9,97.4,22.9
10,2021-10-12 06:00:00,7.9,99.5,22.9
11,2021-10-12 07:00:00,7.2,100.0,24.8
12,2021-10-12 08:00:00,6.9,94.9,27.8
13,2021-10-12 09:00:00,5.2,87.6,29.0
14,2021-10-12 10:00:00,3.7,91.0,27.7
15,2021-10-12 11:00:00,3.3,90.6,27.9
16,2021-10-12 12:00:00,3.4,88.1,28.4
17,2021-10-12 13:00:00,3.4,85.8,28.9
18,2021-10-12 14:00:00,3.1,83.4,29.3
19,2021-10-12 15:00:00,3.9,85.6,29.1
20,2021-10-12 16:00:00,3.4,87.1,28.6
21,2021-10-12 17:00:00,3.1,88.9,27.8
22,2021-10-12 18:00:00,3.2,92.1,26.7
23,2021-10-12 19:00:00,2.7,95.1,25.9
24,2021-10-12 20:00:00,3.3,95.4,25.4
25,2021-10-12 21:00:00,3.2,97.5,24.9
26,2021-10-12 22:00:00,2.5,96.3,24.9
27,2021-10-12 23:00:00,2.3,97.4,24.6
28,2021-10-13 00:00:00,2.5,98.5,24.4
29,2021-10-13 01:00:00,3.2,99.0,24.5
30,2021-10-13 02:00:00,5.5,99.3,24.5
31,2021-10-13 03:00:00,5.5,99.7,24.5
32,2021-10-13 04:00:00,3.9,100.0,24.2
33,2021-10-13 05:00:00,6.6,100.0,24.0
34,2021-10-13 06:00:00,8.4,100.0,24.0
35,2021-10-13 07:00:00,4.7,99.9,24.7
36,2021-10-13 08:00:00,2.2,98.8,25.4
37,2021-10-13 09:00:00,2.1,95.5,26.4
38,2021-10-13 10:00:00,1.7,93.6,26.8
39,2021-10-13 11:00:00,1.7,95.5,26.6
40,2021-10-13 12:00:00,1.8,96.0,26.5
41,2021-10-13 13:00:00,1.4,99.7,25.4
42,2021-10-13 14:00:00,2.0,99.9,25.4
43,2021-10-13 15:00:00,3.5,99.3,25.5
44,2021-10-13 16:00:00,7.1,94.5,24.6
45,2021-10-13 17:00:00,4.3,94.5,23.9
46,2021-10-13 18:00:00,4.3,94.5,23.8
47,2021-10-13 19:00:00,5.0,94.4,23.7
48,2021-10-13 20:00:00,4.3,94.6,23.5
49,2021-10-13 21:00:00,3.6,95.6,23.7
50,2021-10-13 22:00:00,2.7,97.1,24.0
51,2021-10-13 23:00:00,2.6,98.5,24.3
52,2021-10-14 00:00:00,3.2,98.8,24.5
53,2021-10-14 01:00:00,2.6,98.6,24.4
54,2021-10-14 02:00:00,1.3,96.7,23.1
55,2021-10-14 03:00:00,1.2,97.4,23.2
56,2021-10-14 04:00:00,1.5,96.5,23.3
57,2021-10-14 05:00:00,2.7,94.5,22.7
58,2021-10-14 06:00:00,3.0,95.2,22.8
59,2021-10-14 07:00:00,3.1,97.5,23.1
60,2021-10-14 08:00:00,1.6,100.0,23.9
61,2021-10-14 09:00:00,1.3,100.0,25.0
62,2021-10-14 10:00:00,1.3,100.0,24.8
63,2021-10-14 11:00:00,1.3,100.0,24.4
64,2021-10-14 12:00:00,1.3,100.0,23.9
65,2021-10-14 13:00:00,1.3,97.2,23.1
66,2021-10-14 14:00:00,1.3,97.2,23.1
67,2021-10-14 15:00:00,1.4,97.5,23.2
68,2021-10-14 16:00:00,1.9,96.4,22.5
69,2021-10-14 17:00:00,2.4,95.3,21.9
70,2021-10-14 18:00:00,2.2,94.8,21.5
71,2021-10-14 19:00:00,3.7,95.2,21.4
72,2021-10-14 20:00:00,2.9,95.6,21.3
73,2021-10-14 21:00:00,2.1,97.1,21.0
74,2021-10-14 22:00:00,1.9,96.2,21.3
75,2021-10-14 23:00:00,4.8,96.3,21.3
76,2021-10-15 00:00:00,5.0,95.2,21.7
77,2021-10-15 01:00:00,5.1,95.4,21.5
78,2021-10-15 02:00:00,2.9,96.1,21.2
79,2021-10-15 03:00:00,1.9,95.9,21.2
80,2021-10-15 04:00:00,1.8,97.7,21.1
81,2021-10-15 05:00:00,2.2,97.3,21.1
82,2021-10-15 06:00:00,2.1,97.9,21.0
83,2021-10-15 07:00:00,2.1,98.1,21.1
84,2021-10-15 08:00:00,1.3,96.6,21.4
85,2021-10-15 09:00:00,2.4,96.5,21.6
86,2021-10-15 10:00:00,2.5,96.0,21.9
87,2021-10-15 11:00:00,2.7,96.1,22.1
88,2021-10-15 12:00:00,3.7,96.3,22.1
89,2021-10-15 13:00:00,3.0,96.1,22.1
90,2021-10-15 14:00:00,1.7,95.5,22.2
91,2021-10-15 15:00:00,1.8,95.1,22.2
92,2021-10-15 16:00:00,2.7,95.4,22.1
93,2021-10-15 17:00:00,3.1,95.9,22.1
94,2021-10-15 18:00:00,2.2,96.4,21.8
95,2021-10-15 19:00:00,1.7,97.1,21.5
96,2021-10-15 20:00:00,1.6,98.1,21.2
97,2021-10-15 21:00:00,1.6,97.9,21.4
98,2021-10-15 22:00:00,1.5,97.4,21.5
99,2021-10-15 23:00:00,1.5,97.3,21.4
100,2021-10-16 00:00:00,1.3,99.6,21.1
101,2021-10-16 01:00:00,1.3,98.9,21.3
102,2021-10-16 02:00:00,1.3,98.3,21.5
103,2021-10-16 03:00:00,1.3,97.9,21.5
104,2021-10-16 04:00:00,1.4,98.3,21.1
105,2021-10-16 05:00:00,3.8,99.9,20.7
106,2021-10-16 06:00:00,3.5,98.7,21.0
107,2021-10-16 07:00:00,3.9,98.1,21.2
108,2021-10-16 08:00:00,3.9,96.8,21.8
109,2021-10-16 09:00:00,3.7,98.1,22.1
110,2021-10-16 10:00:00,3.1,99.6,22.7
111,2021-10-16 11:00:00,2.7,100.0,23.4
112,2021-10-16 12:00:00,2.3,100.0,23.7
113,2021-10-16 13:00:00,1.0,100.0,23.7
114,2021-10-16 14:00:00,1.0,99.7,22.5
115,2021-10-16 15:00:00,1.0,95.9,20.9
116,2021-10-16 16:00:00,1.4,96.4,20.3
117,2021-10-16 17:00:00,1.4,96.6,20.1
118,2021-10-16 18:00:00,1.4,96.4,20.7
119,2021-10-16 19:00:00,1.6,96.3,20.6
120,2021-10-16 20:00:00,1.3,96.4,20.3
121,2021-10-16 21:00:00,1.8,96.5,19.4
122,2021-10-16 22:00:00,1.2,96.4,19.7
123,2021-10-16 23:00:00,1.2,97.3,19.9
124,2021-10-17 00:00:00,1.2,99.0,20.2
125,2021-10-17 01:00:00,1.2,100.0,20.4
126,2021-10-17 02:00:00,1.2,100.0,20.6
127,2021-10-17 03:00:00,1.2,100.0,20.7
128,2021-10-17 04:00:00,1.2,100.0,20.6
129,2021-10-17 05:00:00,1.1,100.0,20.5
130,2021-10-17 06:00:00,2.5,100.0,20.5
131,2021-10-17 07:00:00,1.8,100.0,20.6
132,2021-10-17 08:00:00,1.1,100.0,21.3
133,2021-10-17 09:00:00,1.1,99.5,22.3
134,2021-10-17 10:00:00,1.0,100.0,21.7
135,2021-10-17 11:00:00,1.0,97.9,22.7
136,2021-10-17 12:00:00,1.0,98.0,22.8
137,2021-10-17 13:00:00,1.1,100.0,22.4
138,2021-10-17 14:00:00,1.1,99.8,23.3
139,2021-10-17 15:00:00,1.2,99.9,23.2
140,2021-10-17 16:00:00,1.5,100.0,22.9
141,2021-10-17 17:00:00,1.9,100.0,22.6
142,2021-10-17 18:00:00,2.6,100.0,22.4
143,2021-10-17 19:00:00,3.6,100.0,22.1
144,2021-10-17 20:00:00,2.8,100.0,21.7
145,2021-10-17 21:00:00,2.4,99.9,20.4
146,2021-10-17 22:00:00,2.0,100.0,20.7
147,2021-10-17 23:00:00,2.4,100.0,20.0
148,2021-10-18 00:00:00,2.7,100.0,20.2
149,2021-10-18 01:00:00,2.3,100.0,20.3
150,2021-10-18 02:00:00,2.6,98.5,19.9
151,2021-10-18 03:00:00,3.2,96.9,19.3
152,2021-10-18 04:00:00,2.6,99.4,19.5
153,2021-10-18 05:00:00,2.8,97.5,18.8
154,2021-10-18 06:00:00,3.2,96.5,17.9
155,2021-10-18 07:00:00,3.1,96.5,18.1
156,2021-10-18 08:00:00,3.5,96.2,18.5
157,2021-10-18 09:00:00,4.8,96.2,18.8
158,2021-10-18 10:00:00,5.8,96.1,19.3
159,2021-10-18 11:00:00,6.0,96.4,19.5
160,2021-10-18 12:00:00,,,
161,2021-10-18 13:00:00,3.1,96.3,19.6
162,2021-10-18 14:00:00,3.0,96.3,19.6
163,2021-10-18 15:00:00,3.1,96.5,19.5
164,2021-10-18 16:00:00,2.8,96.8,19.5
165,2021-10-18 17:00:00,2.4,97.0,19.5
166,2021-10-18 18:00:00,2.9,97.1,19.6
167,2021-10-18 19:00:00,3.7,96.8,19.9
