,time,PM2.5,humidity,temperature
0,2021-10-12 20:00:00,6.7,80.3,25.5
1,2021-10-12 21:00:00,6.5,82.0,25.0
2,2021-10-12 22:00:00,5.1,81.2,24.8
3,2021-10-12 23:00:00,5.0,82.0,24.6
4,2021-10-13 00:00:00,5.2,83.3,24.4
5,2021-10-13 01:00:00,6.3,85.8,24.3
6,2021-10-13 02:00:00,10.6,85.6,24.3
7,2021-10-13 03:00:00,11.1,85.7,24.4
8,2021-10-13 04:00:00,6.5,89.3,24.2
9,2021-10-13 05:00:00,9.9,91.2,24.0
10,2021-10-13 06:00:00,12.6,91.6,24.0
11,2021-10-13 07:00:00,8.8,86.8,24.5
12,2021-10-13 08:00:00,8.2,83.7,25.2
13,2021-10-13 09:00:00,7.0,81.1,26.1
14,2021-10-13 10:00:00,2.8,78.8,26.6
15,2021-10-13 11:00:00,3.2,80.7,26.4
16,2021-10-13 12:00:00,3.1,81.5,26.3
17,2021-10-13 13:00:00,2.3,91.1,25.3
18,2021-10-13 14:00:00,2.4,97.1,25.1
19,2021-10-13 15:00:00,3.7,98.7,25.2
20,2021-10-13 16:00:00,6.1,100.0,24.7
21,2021-10-13 17:00:00,3.8,100.0,24.0
22,2021-10-13 18:00:00,3.5,100.0,23.8
23,2021-10-13 19:00:00,3.8,100.0,23.8
24,2021-10-13 20:00:00,3.2,100.0,23.5
25,2021-10-13 21:00:00,3.0,100.0,23.6
26,2021-10-13 22:00:00,2.6,100.0,24.1
27,2021-10-13 23:00:00,2.6,100.0,24.2
28,2021-10-14 00:00:00,3.1,98.3,24.4
29,2021-10-14 01:00:00,2.3,97.5,24.5
30,2021-10-14 02:00:00,1.1,100.0,23.3
31,2021-10-14 03:00:00,1.3,100.0,23.1
32,2021-10-14 04:00:00,1.4,100.0,23.1
33,2021-10-14 05:00:00,2.1,100.0,22.8
34,2021-10-14 06:00:00,2.5,100.0,22.8
35,2021-10-14 07:00:00,3.1,100.0,22.8
36,2021-10-14 08:00:00,1.9,99.0,23.5
37,2021-10-14 09:00:00,1.8,93.8,24.6
38,2021-10-14 10:00:00,1.1,93.6,24.5
39,2021-10-14 11:00:00,1.1,96.4,24.2
40,2021-10-14 12:00:00,1.1,99.2,23.7
41,2021-10-14 13:00:00,1.1,100.0,22.9
42,2021-10-14 14:00:00,1.1,100.0,22.9
43,2021-10-14 15:00:00,1.2,100.0,23.0
44,2021-10-14 16:00:00,1.4,100.0,22.7
45,2021-10-14 17:00:00,1.9,100.0,22.4
46,2021-10-14 18:00:00,1.9,100.0,21.7
47,2021-10-14 19:00:00,3.9,100.0,21.6
48,2021-10-14 20:00:00,2.9,100.0,21.4
49,2021-10-14 21:00:00,2.4,100.0,21.4
50,2021-10-14 22:00:00,2.3,100.0,21.5
51,2021-10-14 23:00:00,4.8,100.0,21.5
52,2021-10-15 00:00:00,5.1,100.0,21.7
53,2021-10-15 01:00:00,5.7,100.0,21.5
54,2021-10-15 02:00:00,2.8,100.0,21.3
55,2021-10-15 03:00:00,1.9,100.0,21.3
56,2021-10-15 04:00:00,1.9,100.0,21.2
57,2021-10-15 05:00:00,2.4,100.0,21.2
58,2021-10-15 06:00:00,2.1,100.0,21.1
59,2021-10-15 07:00:00,2.1,100.0,21.2
60,2021-10-15 08:00:00,1.4,100.0,21.5
61,2021-10-15 09:00:00,2.6,100.0,21.7
62,2021-10-15 10:00:00,2.5,100.0,22.0
63,2021-10-15 11:00:00,2.6,100.0,22.0
64,2021-10-15 12:00:00,3.8,100.0,22.2
65,2021-10-15 13:00:00,3.1,100.0,22.1
66,2021-10-15 14:00:00,1.7,100.0,22.1
67,2021-10-15 15:00:00,1.6,100.0,22.3
68,2021-10-15 16:00:00,3.4,100.0,22.3
69,2021-10-15 17:00:00,3.4,100.0,22.1
70,2021-10-15 18:00:00,2.3,100.0,21.9
71,2021-10-15 19:00:00,1.8,100.0,21.6
72,2021-10-15 20:00:00,1.9,100.0,21.4
73,2021-10-15 21:00:00,1.8,100.0,21.4
74,2021-10-15 22:00:00,1.6,100.0,21.5
75,2021-10-15 23:00:00,1.5,100.0,21.5
76,2021-10-16 00:00:00,2.2,100.0,21.2
77,2021-10-16 01:00:00,2.3,100.0,21.3
78,2021-10-16 02:00:00,2.8,100.0,21.4
79,2021-10-16 03:00:00,3.1,100.0,21.5
80,2021-10-16 04:00:00,3.4,100.0,21.3
81,2021-10-16 05:00:00,3.8,100.0,21.1
82,2021-10-16 06:00:00,3.4,100.0,21.4
83,2021-10-16 07:00:00,3.8,100.0,21.5
84,2021-10-16 08:00:00,4.4,100.0,21.9
85,2021-10-16 09:00:00,4.3,100.0,22.2
86,2021-10-16 10:00:00,5.0,100.0,22.4
87,2021-10-16 11:00:00,3.8,99.2,23.0
88,2021-10-16 12:00:00,3.4,96.5,23.3
89,2021-10-16 13:00:00,1.7,91.9,23.2
90,2021-10-16 14:00:00,1.7,95.6,22.2
91,2021-10-16 15:00:00,1.7,100.0,20.7
92,2021-10-16 16:00:00,1.5,100.0,20.3
93,2021-10-16 17:00:00,1.5,100.0,20.1
94,2021-10-16 18:00:00,1.6,100.0,20.4
95,2021-10-16 19:00:00,1.6,100.0,20.6
96,2021-10-16 20:00:00,1.4,100.0,20.3
97,2021-10-16 21:00:00,1.9,100.0,19.5
98,2021-10-16 22:00:00,1.4,100.0,19.6
99,2021-10-16 23:00:00,1.4,100.0,19.6
100,2021-10-17 00:00:00,1.4,100.0,19.9
101,2021-10-17 01:00:00,1.4,100.0,20.1
102,2021-10-17 02:00:00,1.4,99.4,20.3
103,2021-10-17 03:00:00,1.4,97.9,20.4
104,2021-10-17 04:00:00,1.4,97.0,20.3
105,2021-10-17 05:00:00,1.6,96.4,20.3
106,2021-10-17 06:00:00,4.1,94.4,20.2
107,2021-10-17 07:00:00,3.1,92.5,20.3
108,2021-10-17 08:00:00,2.1,88.9,20.8
109,2021-10-17 09:00:00,1.9,84.7,21.6
110,2021-10-17 10:00:00,2.2,86.2,21.3
111,2021-10-17 11:00:00,1.3,84.0,22.1
