,time,PM2.5,humidity,temperature
0,2021-11-12 20:00:00,50.1,63.4,23.4
1,2021-11-12 21:00:00,64.2,66.0,23.1
2,2021-11-12 22:00:00,67.9,69.2,22.6
3,2021-11-12 23:00:00,24.6,58.3,22.4
4,2021-11-13 00:00:00,16.3,58.7,22.0
5,2021-11-13 01:00:00,16.5,58.7,21.4
6,2021-11-13 02:00:00,15.7,60.3,21.1
7,2021-11-13 03:00:00,14.3,62.4,21.0
8,2021-11-13 04:00:00,13.8,62.0,20.7
9,2021-11-13 05:00:00,16.2,62.0,20.5
10,2021-11-13 06:00:00,19.2,61.3,20.2
11,2021-11-13 07:00:00,21.0,60.6,20.1
12,2021-11-13 08:00:00,21.3,59.3,20.5
13,2021-11-13 09:00:00,21.7,55.9,21.1
14,2021-11-13 10:00:00,22.0,51.8,22.0
15,2021-11-13 11:00:00,25.4,47.8,23.7
16,2021-11-13 12:00:00,26.1,43.1,25.2
17,2021-11-13 13:00:00,26.7,40.7,26.5
18,2021-11-13 14:00:00,29.0,40.2,26.8
19,2021-11-13 15:00:00,32.6,43.2,26.7
20,2021-11-13 16:00:00,36.6,46.6,26.3
21,2021-11-13 17:00:00,41.1,49.6,25.5
22,2021-11-13 18:00:00,46.7,55.8,23.9
23,2021-11-13 19:00:00,56.2,59.9,23.0
24,2021-11-13 20:00:00,53.2,61.8,22.4
25,2021-11-13 21:00:00,50.8,63.8,21.8
26,2021-11-13 22:00:00,50.0,67.3,21.2
27,2021-11-13 23:00:00,47.1,68.0,21.1
28,2021-11-14 00:00:00,46.0,69.6,20.8
29,2021-11-14 01:00:00,48.9,71.8,20.5
30,2021-11-14 02:00:00,48.6,72.8,20.2
31,2021-11-14 03:00:00,52.5,74.0,19.8
32,2021-11-14 04:00:00,55.0,75.6,19.6
33,2021-11-14 05:00:00,56.9,76.6,19.7
34,2021-11-14 06:00:00,69.9,77.1,19.7
35,2021-11-14 07:00:00,64.6,76.7,19.8
36,2021-11-14 08:00:00,54.9,73.8,20.1
37,2021-11-14 09:00:00,58.8,68.5,21.3
38,2021-11-14 10:00:00,57.4,59.6,22.4
39,2021-11-14 11:00:00,54.3,51.5,24.3
40,2021-11-14 12:00:00,49.0,45.8,26.1
41,2021-11-14 13:00:00,40.1,42.2,27.2
42,2021-11-14 14:00:00,37.8,41.8,26.9
43,2021-11-14 15:00:00,36.3,40.7,27.3
44,2021-11-14 16:00:00,38.1,42.8,26.7
45,2021-11-14 17:00:00,36.7,46.2,26.1
46,2021-11-14 18:00:00,51.9,53.6,25.1
47,2021-11-14 19:00:00,51.5,58.2,24.6
48,2021-11-14 20:00:00,92.9,59.6,24.1
49,2021-11-14 21:00:00,81.2,67.5,22.8
50,2021-11-14 22:00:00,77.1,70.5,22.4
51,2021-11-14 23:00:00,65.4,69.2,22.3
52,2021-11-15 00:00:00,62.0,69.8,22.5
53,2021-11-15 01:00:00,52.1,71.7,22.0
54,2021-11-15 02:00:00,52.8,73.6,22.0
55,2021-11-15 03:00:00,54.3,74.7,21.7
56,2021-11-15 04:00:00,57.9,76.1,21.5
57,2021-11-15 05:00:00,60.8,78.0,21.0
58,2021-11-15 06:00:00,66.9,78.0,20.9
59,2021-11-15 07:00:00,70.4,77.8,20.8
60,2021-11-15 08:00:00,73.6,75.0,21.8
61,2021-11-15 09:00:00,86.7,72.0,22.8
62,2021-11-15 10:00:00,101.8,63.0,24.6
63,2021-11-15 11:00:00,109.5,60.1,25.4
64,2021-11-15 12:00:00,130.5,59.5,25.9
65,2021-11-15 13:00:00,128.6,58.9,25.9
66,2021-11-15 14:00:00,96.9,59.4,25.7
67,2021-11-15 15:00:00,71.2,59.9,25.5
68,2021-11-15 16:00:00,53.4,64.9,24.9
69,2021-11-15 17:00:00,62.4,67.8,24.1
70,2021-11-15 18:00:00,73.6,71.6,23.5
71,2021-11-15 19:00:00,64.5,74.2,22.7
72,2021-11-15 20:00:00,61.4,76.2,22.5
73,2021-11-15 21:00:00,58.2,77.0,22.4
74,2021-11-15 22:00:00,62.0,78.5,22.3
