,time,PM2.5,humidity,temperature
0,2021-12-20 20:00:00,26.7,78.5,20.0
1,2021-12-20 21:00:00,23.9,79.1,19.5
2,2021-12-20 22:00:00,20.0,80.5,19.2
3,2021-12-20 23:00:00,19.0,82.7,18.8
4,2021-12-21 00:00:00,23.3,85.1,18.5
5,2021-12-21 01:00:00,15.8,89.1,17.9
6,2021-12-21 02:00:00,13.7,89.2,17.8
7,2021-12-21 03:00:00,12.8,88.9,17.7
8,2021-12-21 04:00:00,11.6,88.1,17.9
9,2021-12-21 05:00:00,11.7,87.2,17.9
10,2021-12-21 06:00:00,15.6,87.2,18.0
11,2021-12-21 07:00:00,18.3,84.5,18.2
12,2021-12-21 08:00:00,15.1,82.0,18.5
13,2021-12-21 09:00:00,21.6,80.9,19.5
14,2021-12-21 10:00:00,26.8,81.9,20.0
15,2021-12-21 11:00:00,29.3,78.9,20.7
16,2021-12-21 12:00:00,35.1,73.1,22.3
17,2021-12-21 13:00:00,35.1,69.6,23.1
18,2021-12-21 14:00:00,33.7,69.0,23.1
19,2021-12-21 15:00:00,33.4,69.4,22.9
20,2021-12-21 16:00:00,34.2,69.5,22.7
21,2021-12-21 17:00:00,35.1,70.3,22.7
22,2021-12-21 18:00:00,36.6,72.7,22.2
23,2021-12-21 19:00:00,60.5,76.4,22.0
24,2021-12-21 20:00:00,65.6,78.2,21.6
25,2021-12-21 21:00:00,57.9,80.5,21.4
26,2021-12-21 22:00:00,52.4,81.6,21.2
27,2021-12-21 23:00:00,50.4,82.4,20.9
28,2021-12-22 00:00:00,55.8,85.2,20.7
29,2021-12-22 01:00:00,53.3,86.9,20.5
30,2021-12-22 02:00:00,50.9,90.9,20.1
31,2021-12-22 03:00:00,64.2,90.6,19.7
32,2021-12-22 04:00:00,72.6,92.1,19.2
33,2021-12-22 05:00:00,59.0,93.8,18.8
34,2021-12-22 06:00:00,51.1,95.0,18.5
35,2021-12-22 07:00:00,52.7,95.2,18.1
36,2021-12-22 08:00:00,44.6,98.2,18.3
37,2021-12-22 09:00:00,56.2,88.3,20.7
38,2021-12-22 10:00:00,55.5,86.3,21.4
39,2021-12-22 11:00:00,64.0,79.3,23.0
40,2021-12-22 12:00:00,66.4,70.0,25.3
41,2021-12-22 13:00:00,65.7,71.3,24.5
42,2021-12-22 14:00:00,59.1,69.6,24.4
43,2021-12-22 15:00:00,53.8,67.6,24.5
44,2021-12-22 16:00:00,42.1,65.6,24.5
45,2021-12-22 17:00:00,37.7,67.2,23.7
46,2021-12-22 18:00:00,40.6,73.4,22.7
47,2021-12-22 19:00:00,58.9,75.7,22.1
48,2021-12-22 20:00:00,63.3,74.9,22.1
49,2021-12-22 21:00:00,45.0,79.5,21.4
50,2021-12-22 22:00:00,28.9,81.9,20.7
51,2021-12-22 23:00:00,23.7,84.0,20.4
52,2021-12-23 00:00:00,20.6,86.1,20.1
53,2021-12-23 01:00:00,17.3,88.4,19.9
54,2021-12-23 02:00:00,17.1,89.6,19.9
55,2021-12-23 03:00:00,19.3,91.4,19.6
56,2021-12-23 04:00:00,18.5,92.4,19.6
57,2021-12-23 05:00:00,18.4,94.0,19.4
58,2021-12-23 06:00:00,25.8,97.5,19.1
59,2021-12-23 07:00:00,51.6,97.8,18.8
60,2021-12-23 08:00:00,,,
61,2021-12-23 09:00:00,,,
62,2021-12-23 10:00:00,,,
63,2021-12-23 11:00:00,,,
64,2021-12-23 12:00:00,,,
65,2021-12-23 13:00:00,,,
66,2021-12-23 14:00:00,,,
67,2021-12-23 15:00:00,,,
68,2021-12-23 16:00:00,,,
69,2021-12-23 17:00:00,,,
70,2021-12-23 18:00:00,48.2,75.0,22.9
71,2021-12-23 19:00:00,55.0,76.2,23.1
72,2021-12-23 20:00:00,52.5,78.9,22.7
73,2021-12-23 21:00:00,38.4,85.8,21.8
74,2021-12-23 22:00:00,34.7,92.3,21.2
75,2021-12-23 23:00:00,27.5,96.6,20.8
