,time,PM2.5,humidity,temperature
0,2021-10-01 20:00:00,17.6,71.8,30.9
1,2021-10-01 21:00:00,18.0,72.6,30.6
2,2021-10-01 22:00:00,22.9,74.6,30.3
3,2021-10-01 23:00:00,22.7,76.4,30.1
4,2021-10-02 00:00:00,23.3,77.6,29.9
5,2021-10-02 01:00:00,25.7,79.6,29.5
6,2021-10-02 02:00:00,24.5,80.9,29.2
7,2021-10-02 03:00:00,21.2,82.1,28.9
8,2021-10-02 04:00:00,17.6,82.5,28.8
9,2021-10-02 05:00:00,15.7,82.6,28.9
10,2021-10-02 06:00:00,14.6,83.0,28.7
11,2021-10-02 07:00:00,12.0,82.5,28.8
12,2021-10-02 08:00:00,12.3,79.8,29.7
13,2021-10-02 09:00:00,13.7,77.8,30.1
14,2021-10-02 10:00:00,15.3,73.4,30.8
15,2021-10-02 11:00:00,18.0,64.7,32.4
16,2021-10-02 12:00:00,21.3,59.2,33.8
17,2021-10-02 13:00:00,14.6,57.3,33.0
18,2021-10-02 14:00:00,10.6,70.6,30.6
19,2021-10-02 15:00:00,13.6,77.5,29.3
20,2021-10-02 16:00:00,13.5,80.4,28.8
21,2021-10-02 17:00:00,8.1,81.9,27.9
22,2021-10-02 18:00:00,6.7,81.8,27.8
23,2021-10-02 19:00:00,8.2,80.9,27.9
24,2021-10-02 20:00:00,10.2,82.1,27.7
25,2021-10-02 21:00:00,21.5,84.4,27.6
26,2021-10-02 22:00:00,18.8,83.3,27.7
27,2021-10-02 23:00:00,20.9,84.2,27.6
28,2021-10-03 00:00:00,18.9,83.4,27.7
29,2021-10-03 01:00:00,16.5,81.7,28.0
30,2021-10-03 02:00:00,18.4,81.6,28.0
31,2021-10-03 03:00:00,17.8,81.6,28.1
32,2021-10-03 04:00:00,16.2,82.6,28.0
33,2021-10-03 05:00:00,26.2,83.8,27.8
34,2021-10-03 06:00:00,39.6,83.8,27.7
35,2021-10-03 07:00:00,42.7,83.4,27.7
36,2021-10-03 08:00:00,41.5,82.1,28.4
37,2021-10-03 09:00:00,42.6,79.4,29.3
38,2021-10-03 10:00:00,41.3,76.1,30.2
39,2021-10-03 11:00:00,28.0,70.1,31.3
40,2021-10-03 12:00:00,25.1,61.3,33.8
41,2021-10-03 13:00:00,25.3,53.4,36.1
42,2021-10-03 14:00:00,25.8,53.6,35.6
43,2021-10-03 15:00:00,29.5,54.8,34.6
44,2021-10-03 16:00:00,29.5,54.2,34.5
45,2021-10-03 17:00:00,29.5,57.8,33.7
46,2021-10-03 18:00:00,22.0,65.4,31.9
47,2021-10-03 19:00:00,21.8,70.0,31.2
48,2021-10-03 20:00:00,28.6,71.7,30.7
49,2021-10-03 21:00:00,27.9,72.5,30.2
50,2021-10-03 22:00:00,17.4,72.9,29.9
51,2021-10-03 23:00:00,15.8,74.1,29.7
52,2021-10-04 00:00:00,14.2,75.1,29.6
53,2021-10-04 01:00:00,11.5,75.4,29.3
54,2021-10-04 02:00:00,10.7,76.4,29.1
55,2021-10-04 03:00:00,9.6,78.7,28.8
56,2021-10-04 04:00:00,12.8,80.4,28.6
57,2021-10-04 05:00:00,51.5,82.9,28.3
58,2021-10-04 06:00:00,28.9,80.8,27.8
59,2021-10-04 07:00:00,17.2,81.2,27.6
60,2021-10-04 08:00:00,34.2,82.1,28.1
61,2021-10-04 09:00:00,15.0,82.1,27.2
62,2021-10-04 10:00:00,18.4,82.9,27.7
63,2021-10-04 11:00:00,21.2,74.6,30.0
64,2021-10-04 12:00:00,24.7,71.1,31.1
65,2021-10-04 13:00:00,28.5,63.2,33.3
66,2021-10-04 14:00:00,29.1,63.9,33.2
67,2021-10-04 15:00:00,26.1,61.7,33.7
68,2021-10-04 16:00:00,22.8,60.9,33.9
69,2021-10-04 17:00:00,12.9,71.6,30.7
70,2021-10-04 18:00:00,7.4,84.0,27.7
71,2021-10-04 19:00:00,7.6,85.2,27.9
72,2021-10-04 20:00:00,11.2,85.0,28.0
73,2021-10-04 21:00:00,11.8,85.1,28.0
74,2021-10-04 22:00:00,12.2,85.7,27.9
75,2021-10-04 23:00:00,16.6,85.7,27.9
76,2021-10-05 00:00:00,16.8,86.5,27.7
77,2021-10-05 01:00:00,15.8,85.2,27.6
78,2021-10-05 02:00:00,16.0,83.7,27.4
79,2021-10-05 03:00:00,17.7,84.0,27.5
80,2021-10-05 04:00:00,22.5,83.5,27.5
81,2021-10-05 05:00:00,21.0,82.6,27.5
82,2021-10-05 06:00:00,22.7,83.5,27.6
83,2021-10-05 07:00:00,25.3,83.2,27.7
84,2021-10-05 08:00:00,31.4,76.9,29.4
85,2021-10-05 09:00:00,27.4,72.5,30.4
86,2021-10-05 10:00:00,23.3,68.1,31.4
87,2021-10-05 11:00:00,16.8,62.0,32.9
88,2021-10-05 12:00:00,13.5,51.8,35.5
89,2021-10-05 13:00:00,11.6,52.9,34.2
90,2021-10-05 14:00:00,12.1,49.8,35.5
91,2021-10-05 15:00:00,40.7,52.6,34.6
92,2021-10-05 16:00:00,18.4,56.8,33.6
93,2021-10-05 17:00:00,35.5,57.9,32.9
94,2021-10-05 18:00:00,18.9,62.9,32.1
95,2021-10-05 19:00:00,22.5,65.8,31.5
96,2021-10-05 20:00:00,17.6,73.2,30.5
97,2021-10-05 21:00:00,12.5,73.4,30.3
98,2021-10-05 22:00:00,11.1,73.9,30.1
99,2021-10-05 23:00:00,11.4,75.1,29.9
100,2021-10-06 00:00:00,11.0,76.5,29.8
101,2021-10-06 01:00:00,9.6,76.8,29.6
102,2021-10-06 02:00:00,11.7,77.4,29.3
103,2021-10-06 03:00:00,11.6,78.8,29.1
104,2021-10-06 04:00:00,12.8,79.0,28.8
105,2021-10-06 05:00:00,14.2,80.2,28.5
106,2021-10-06 06:00:00,19.9,82.5,28.4
107,2021-10-06 07:00:00,28.7,82.6,28.5
108,2021-10-06 08:00:00,34.1,79.9,29.2
109,2021-10-06 09:00:00,27.5,76.1,30.2
110,2021-10-06 10:00:00,29.9,71.6,31.3
111,2021-10-06 11:00:00,31.5,66.5,32.6
112,2021-10-06 12:00:00,27.5,58.4,34.1
113,2021-10-06 13:00:00,25.2,51.9,36.2
114,2021-10-06 14:00:00,20.7,50.3,36.2
115,2021-10-06 15:00:00,18.6,48.8,36.5
116,2021-10-06 16:00:00,19.4,50.4,35.7
117,2021-10-06 17:00:00,24.8,60.7,32.9
118,2021-10-06 18:00:00,31.5,68.1,31.3
119,2021-10-06 19:00:00,29.8,69.6,30.7
120,2021-10-06 20:00:00,31.6,70.9,30.4
121,2021-10-06 21:00:00,29.9,71.3,30.4
122,2021-10-06 22:00:00,29.8,70.3,30.3
123,2021-10-06 23:00:00,30.0,71.9,30.1
124,2021-10-07 00:00:00,28.7,72.2,29.9
125,2021-10-07 01:00:00,29.3,75.0,29.6
126,2021-10-07 02:00:00,31.1,77.1,29.4
127,2021-10-07 03:00:00,34.2,78.7,29.2
128,2021-10-07 04:00:00,43.9,79.7,29.0
129,2021-10-07 05:00:00,50.5,81.9,28.8
130,2021-10-07 06:00:00,47.2,81.4,28.6
131,2021-10-07 07:00:00,43.6,82.6,28.5
132,2021-10-07 08:00:00,47.1,79.6,29.2
133,2021-10-07 09:00:00,47.6,76.9,30.1
134,2021-10-07 10:00:00,52.7,71.5,31.8
135,2021-10-07 11:00:00,53.8,65.9,33.4
136,2021-10-07 12:00:00,44.3,57.3,35.8
137,2021-10-07 13:00:00,36.0,52.1,36.5
138,2021-10-07 14:00:00,18.4,45.3,36.6
139,2021-10-07 15:00:00,16.3,43.4,37.6
140,2021-10-07 16:00:00,16.2,46.7,36.2
141,2021-10-07 17:00:00,27.4,49.9,35.1
142,2021-10-07 18:00:00,24.9,53.5,33.9
143,2021-10-07 19:00:00,38.3,57.5,33.2
144,2021-10-07 20:00:00,36.1,62.3,32.5
145,2021-10-07 21:00:00,60.7,66.2,32.0
146,2021-10-07 22:00:00,66.1,68.6,31.5
147,2021-10-07 23:00:00,68.5,71.4,31.0
148,2021-10-08 00:00:00,62.9,72.6,30.7
149,2021-10-08 01:00:00,71.7,75.3,30.4
150,2021-10-08 02:00:00,72.3,75.5,30.2
151,2021-10-08 03:00:00,51.6,75.7,29.9
152,2021-10-08 04:00:00,46.2,77.6,29.3
153,2021-10-08 05:00:00,45.0,78.2,29.1
154,2021-10-08 06:00:00,41.2,78.8,28.7
155,2021-10-08 07:00:00,42.3,76.9,29.0
156,2021-10-08 08:00:00,45.1,73.7,29.7
157,2021-10-08 09:00:00,35.9,59.0,31.9
158,2021-10-08 10:00:00,23.6,48.6,33.1
159,2021-10-08 11:00:00,22.5,47.7,33.9
160,2021-10-08 12:00:00,22.7,47.9,34.5
161,2021-10-08 13:00:00,18.0,43.1,36.9
162,2021-10-08 14:00:00,15.8,40.2,38.4
163,2021-10-08 15:00:00,15.1,42.4,37.6
164,2021-10-08 16:00:00,16.6,47.7,35.4
165,2021-10-08 17:00:00,17.3,49.6,34.6
166,2021-10-08 18:00:00,29.6,52.6,33.6
167,2021-10-08 19:00:00,31.0,52.8,32.9
