,time,PM2.5,humidity,temperature
0,2021-07-02 16:00:00,2.8,43.1,38.8
1,2021-07-02 17:00:00,7.0,45.1,38.0
2,2021-07-02 18:00:00,16.3,49.0,37.0
3,2021-07-02 19:00:00,40.37,53.5,35.8
4,2021-07-02 20:00:00,102.25,57.3,35.1
5,2021-07-02 21:00:00,46.93,62.1,34.2
6,2021-07-02 22:00:00,17.0,61.3,34.7
7,2021-07-02 23:00:00,15.9,63.8,33.6
8,2021-07-03 00:00:00,13.8,66.0,33.2
9,2021-07-03 01:00:00,12.9,69.6,32.3
10,2021-07-03 02:00:00,12.8,70.9,32.3
11,2021-07-03 03:00:00,14.1,70.4,32.7
12,2021-07-03 04:00:00,13.6,66.4,33.6
13,2021-07-03 05:00:00,10.5,66.2,33.1
14,2021-07-03 06:00:00,10.5,70.3,31.5
15,2021-07-03 07:00:00,12.0,68.9,31.8
16,2021-07-03 08:00:00,12.9,61.7,33.1
17,2021-07-03 09:00:00,6.8,53.2,34.6
18,2021-07-03 10:00:00,5.2,49.6,35.8
19,2021-07-03 11:00:00,6.6,46.4,37.1
20,2021-07-03 12:00:00,6.1,44.6,38.0
21,2021-07-03 13:00:00,5.3,43.4,38.5
22,2021-07-03 14:00:00,4.2,42.8,38.8
23,2021-07-03 15:00:00,7.8,46.4,37.6
24,2021-07-03 16:00:00,7.3,46.2,37.5
25,2021-07-03 17:00:00,7.5,47.2,37.5
26,2021-07-03 18:00:00,7.8,48.3,36.9
27,2021-07-03 19:00:00,13.3,51.6,36.1
28,2021-07-03 20:00:00,50.03,60.4,35.1
29,2021-07-03 21:00:00,36.15,61.6,33.7
30,2021-07-03 22:00:00,6.1,59.4,32.5
31,2021-07-03 23:00:00,7.1,58.2,33.4
32,2021-07-04 00:00:00,5.1,63.8,32.4
33,2021-07-04 01:00:00,3.7,64.6,32.5
34,2021-07-04 02:00:00,3.7,70.3,31.8
35,2021-07-04 03:00:00,5.1,73.3,31.5
36,2021-07-04 04:00:00,19.5,75.8,31.1
37,2021-07-04 05:00:00,15.9,78.3,30.6
38,2021-07-04 06:00:00,19.5,79.6,30.4
39,2021-07-04 07:00:00,10.4,78.6,31.1
40,2021-07-04 08:00:00,8.2,76.6,31.7
41,2021-07-04 09:00:00,14.4,72.0,32.9
42,2021-07-04 10:00:00,13.5,65.0,34.3
43,2021-07-04 11:00:00,13.2,55.7,35.9
44,2021-07-04 12:00:00,11.3,51.8,36.9
45,2021-07-04 13:00:00,8.3,48.9,37.6
46,2021-07-04 14:00:00,7.9,47.5,38.1
47,2021-07-04 15:00:00,9.8,51.5,36.9
48,2021-07-04 16:00:00,6.3,47.9,38.0
49,2021-07-04 17:00:00,6.8,55.4,36.7
50,2021-07-04 18:00:00,8.3,62.8,34.7
51,2021-07-04 19:00:00,12.6,64.8,33.6
52,2021-07-04 20:00:00,14.0,66.5,32.6
53,2021-07-04 21:00:00,10.5,68.3,32.4
54,2021-07-04 22:00:00,8.4,70.5,31.9
55,2021-07-04 23:00:00,6.0,72.1,31.6
56,2021-07-05 00:00:00,7.1,73.9,31.4
57,2021-07-05 01:00:00,6.5,75.0,31.3
58,2021-07-05 02:00:00,8.2,78.6,30.8
59,2021-07-05 03:00:00,10.4,79.4,30.8
60,2021-07-05 04:00:00,7.3,80.0,30.7
61,2021-07-05 05:00:00,6.4,80.5,30.4
62,2021-07-05 06:00:00,6.8,81.5,30.2
63,2021-07-05 07:00:00,6.6,80.8,30.6
64,2021-07-05 08:00:00,5.3,77.2,31.3
65,2021-07-05 09:00:00,6.2,72.5,32.1
66,2021-07-05 10:00:00,6.1,65.6,33.5
67,2021-07-05 11:00:00,5.3,66.8,31.8
68,2021-07-05 12:00:00,2.6,81.1,25.7
69,2021-07-05 13:00:00,1.5,79.5,26.2
70,2021-07-05 14:00:00,1.5,73.3,28.3
71,2021-07-05 15:00:00,1.8,67.2,30.6
72,2021-07-05 16:00:00,2.3,62.3,31.9
73,2021-07-05 17:00:00,2.4,64.5,31.9
74,2021-07-05 18:00:00,4.5,68.9,30.9
75,2021-07-05 19:00:00,4.7,69.3,30.5
76,2021-07-05 20:00:00,7.6,72.7,30.2
77,2021-07-05 21:00:00,10.6,73.9,30.1
78,2021-07-05 22:00:00,8.9,73.0,30.5
79,2021-07-05 23:00:00,10.0,71.8,31.0
80,2021-07-06 00:00:00,9.8,73.2,30.5
81,2021-07-06 01:00:00,10.0,73.5,30.6
82,2021-07-06 02:00:00,12.1,74.5,30.5
83,2021-07-06 03:00:00,10.4,75.9,30.0
84,2021-07-06 04:00:00,15.5,77.8,29.7
85,2021-07-06 05:00:00,16.5,78.0,29.8
86,2021-07-06 06:00:00,18.7,79.8,29.4
87,2021-07-06 07:00:00,17.4,80.3,29.4
88,2021-07-06 08:00:00,6.7,76.2,29.0
89,2021-07-06 09:00:00,2.6,67.0,30.7
90,2021-07-06 10:00:00,3.4,63.5,32.6
91,2021-07-06 11:00:00,2.8,60.3,33.8
92,2021-07-06 12:00:00,3.4,55.9,34.8
93,2021-07-06 13:00:00,1.8,55.1,34.8
94,2021-07-06 14:00:00,1.9,57.1,35.1
95,2021-07-06 15:00:00,1.6,55.6,35.7
