,time,PM2.5,humidity,temperature
0,2021-07-08 16:00:00,4.8,74.8,30.4
1,2021-07-08 17:00:00,7.3,72.9,31.2
2,2021-07-08 18:00:00,7.1,82.2,29.1
3,2021-07-08 19:00:00,4.3,81.0,29.1
4,2021-07-08 20:00:00,2.1,83.4,28.3
5,2021-07-08 21:00:00,2.3,85.9,27.8
6,2021-07-08 22:00:00,2.9,86.6,27.9
7,2021-07-08 23:00:00,3.5,86.6,28.2
8,2021-07-09 00:00:00,3.0,86.3,28.1
9,2021-07-09 01:00:00,3.0,86.7,27.9
10,2021-07-09 02:00:00,2.8,86.9,27.7
11,2021-07-09 03:00:00,2.2,86.2,27.2
12,2021-07-09 04:00:00,2.2,86.0,26.5
13,2021-07-09 05:00:00,2.2,85.6,26.8
14,2021-07-09 06:00:00,1.1,86.2,26.8
15,2021-07-09 07:00:00,2.2,86.3,27.0
16,2021-07-09 08:00:00,5.7,84.4,27.8
17,2021-07-09 09:00:00,4.4,84.4,27.8
18,2021-07-09 10:00:00,8.0,83.2,28.4
19,2021-07-09 11:00:00,11.1,79.3,29.5
20,2021-07-09 12:00:00,5.4,73.7,30.4
21,2021-07-09 13:00:00,2.1,68.5,31.7
22,2021-07-09 14:00:00,2.3,66.4,32.2
23,2021-07-09 15:00:00,2.1,62.4,33.0
24,2021-07-09 16:00:00,2.2,63.4,32.5
25,2021-07-09 17:00:00,2.4,64.4,32.8
26,2021-07-09 18:00:00,2.4,68.4,31.8
27,2021-07-09 19:00:00,1.9,71.7,30.7
28,2021-07-09 20:00:00,1.9,74.8,30.1
29,2021-07-09 21:00:00,2.0,79.9,29.3
30,2021-07-09 22:00:00,2.4,81.0,29.2
31,2021-07-09 23:00:00,2.0,80.0,29.4
32,2021-07-10 00:00:00,1.4,80.3,29.1
33,2021-07-10 01:00:00,1.9,82.4,28.8
34,2021-07-10 02:00:00,2.2,83.3,28.5
35,2021-07-10 03:00:00,2.7,84.2,28.6
36,2021-07-10 04:00:00,1.6,84.5,28.6
37,2021-07-10 05:00:00,1.8,84.8,28.4
38,2021-07-10 06:00:00,2.9,86.0,28.1
39,2021-07-10 07:00:00,5.4,85.9,28.1
40,2021-07-10 08:00:00,11.0,80.6,29.6
41,2021-07-10 09:00:00,11.0,77.8,30.1
42,2021-07-10 10:00:00,15.4,72.6,31.4
43,2021-07-10 11:00:00,11.6,69.3,31.6
44,2021-07-10 12:00:00,12.0,72.1,31.1
45,2021-07-10 13:00:00,6.6,67.5,32.6
46,2021-07-10 14:00:00,5.7,73.9,30.9
47,2021-07-10 15:00:00,4.5,61.4,32.7
48,2021-07-10 16:00:00,4.0,61.0,33.0
49,2021-07-10 17:00:00,5.5,59.9,33.1
50,2021-07-10 18:00:00,4.7,60.8,32.7
51,2021-07-10 19:00:00,3.5,67.2,31.3
52,2021-07-10 20:00:00,3.5,71.3,30.4
53,2021-07-10 21:00:00,3.5,74.3,30.0
54,2021-07-10 22:00:00,3.7,76.3,29.5
55,2021-07-10 23:00:00,4.2,77.9,29.4
56,2021-07-11 00:00:00,4.5,79.8,28.9
57,2021-07-11 01:00:00,7.9,80.8,28.7
58,2021-07-11 02:00:00,3.6,80.4,28.5
59,2021-07-11 03:00:00,3.6,82.7,28.2
60,2021-07-11 04:00:00,3.3,82.5,28.3
61,2021-07-11 05:00:00,3.8,82.7,28.5
62,2021-07-11 06:00:00,6.4,83.0,28.4
63,2021-07-11 07:00:00,13.3,82.4,28.4
64,2021-07-11 08:00:00,4.1,76.4,29.1
65,2021-07-11 09:00:00,4.3,75.4,29.4
66,2021-07-11 10:00:00,4.9,73.4,30.0
67,2021-07-11 11:00:00,5.6,72.1,30.5
68,2021-07-11 12:00:00,7.4,67.5,31.5
69,2021-07-11 13:00:00,5.2,64.5,32.1
70,2021-07-11 14:00:00,5.8,62.2,32.9
71,2021-07-11 15:00:00,11.1,57.4,34.4
72,2021-07-11 16:00:00,15.9,55.2,35.4
73,2021-07-11 17:00:00,9.0,61.3,33.4
74,2021-07-11 18:00:00,7.5,65.0,32.6
75,2021-07-11 19:00:00,5.9,65.6,32.1
76,2021-07-11 20:00:00,4.1,69.0,31.0
77,2021-07-11 21:00:00,4.4,73.3,30.2
78,2021-07-11 22:00:00,6.4,76.5,29.8
79,2021-07-11 23:00:00,6.1,77.1,29.4
80,2021-07-12 00:00:00,6.7,77.6,29.5
81,2021-07-12 01:00:00,7.0,78.5,29.5
82,2021-07-12 02:00:00,8.3,78.8,29.6
83,2021-07-12 03:00:00,17.4,78.9,29.5
84,2021-07-12 04:00:00,9.3,79.3,29.4
85,2021-07-12 05:00:00,7.2,79.8,29.3
86,2021-07-12 06:00:00,10.6,81.6,28.9
87,2021-07-12 07:00:00,11.9,78.7,29.7
88,2021-07-12 08:00:00,7.3,76.8,29.9
89,2021-07-12 09:00:00,6.9,73.2,30.6
90,2021-07-12 10:00:00,8.2,69.1,31.6
91,2021-07-12 11:00:00,7.3,63.1,32.5
92,2021-07-12 12:00:00,9.2,60.9,33.2
93,2021-07-12 13:00:00,8.9,59.7,33.7
94,2021-07-12 14:00:00,6.7,57.7,34.3
