,time,PM2.5,humidity,temperature
0,2021-06-19 16:00:00,3.0,55.8,40.1
1,2021-06-19 17:00:00,3.1,55.7,39.9
2,2021-06-19 18:00:00,4.1,59.2,38.7
3,2021-06-19 19:00:00,5.1,62.7,37.8
4,2021-06-19 20:00:00,8.0,65.0,37.1
5,2021-06-19 21:00:00,9.2,64.1,36.7
6,2021-06-19 22:00:00,8.3,63.6,36.4
7,2021-06-19 23:00:00,6.1,64.8,36.1
8,2021-06-20 00:00:00,8.3,69.9,35.4
9,2021-06-20 01:00:00,12.4,78.8,34.6
10,2021-06-20 02:00:00,11.1,76.5,34.3
11,2021-06-20 03:00:00,3.5,70.8,34.3
12,2021-06-20 04:00:00,3.0,72.4,33.9
13,2021-06-20 05:00:00,2.5,72.8,33.6
14,2021-06-20 06:00:00,3.1,73.3,33.4
15,2021-06-20 07:00:00,6.0,73.7,33.5
16,2021-06-20 08:00:00,8.4,71.5,34.3
17,2021-06-20 09:00:00,6.7,62.3,37.8
18,2021-06-20 10:00:00,6.1,58.5,39.2
19,2021-06-20 11:00:00,6.2,56.3,40.6
20,2021-06-20 12:00:00,5.2,54.3,41.2
21,2021-06-20 13:00:00,4.1,51.2,42.4
22,2021-06-20 14:00:00,3.6,51.4,41.5
23,2021-06-20 15:00:00,3.6,53.1,40.6
24,2021-06-20 16:00:00,4.3,54.4,40.3
25,2021-06-20 17:00:00,4.3,55.1,39.8
26,2021-06-20 18:00:00,4.6,56.6,39.3
27,2021-06-20 19:00:00,6.3,61.8,38.3
28,2021-06-20 20:00:00,7.3,63.1,37.9
29,2021-06-20 21:00:00,13.4,65.1,37.4
30,2021-06-20 22:00:00,10.3,70.5,36.4
31,2021-06-20 23:00:00,11.2,75.7,35.8
32,2021-06-21 00:00:00,14.8,79.4,35.2
33,2021-06-21 01:00:00,12.2,81.2,34.8
34,2021-06-21 02:00:00,10.2,80.3,34.5
35,2021-06-21 03:00:00,7.9,72.6,34.6
36,2021-06-21 04:00:00,5.6,71.0,34.3
37,2021-06-21 05:00:00,4.3,70.9,33.9
38,2021-06-21 06:00:00,4.2,71.6,33.7
39,2021-06-21 07:00:00,7.6,71.5,33.9
