,time,PM2.5,humidity,temperature
0,2021-08-10 16:00:00,12.1,94.0,30.9
1,2021-08-10 17:00:00,13.2,95.9,30.6
2,2021-08-10 18:00:00,12.3,97.5,30.3
3,2021-08-10 19:00:00,12.3,100.0,26.2
4,2021-08-10 20:00:00,12.3,100.0,25.8
5,2021-08-10 21:00:00,12.3,100.0,26.0
6,2021-08-10 22:00:00,12.3,100.0,26.7
7,2021-08-10 23:00:00,1.0,100.0,26.7
8,2021-08-11 00:00:00,3.1,100.0,26.5
9,2021-08-11 01:00:00,3.1,100.0,26.8
10,2021-08-11 02:00:00,3.1,100.0,26.6
11,2021-08-11 03:00:00,3.3,100.0,27.0
12,2021-08-11 04:00:00,6.2,100.0,26.9
13,2021-08-11 05:00:00,7.0,100.0,27.0
14,2021-08-11 06:00:00,5.7,100.0,27.1
15,2021-08-11 07:00:00,5.9,100.0,27.4
16,2021-08-11 08:00:00,8.9,100.0,27.9
17,2021-08-11 09:00:00,10.4,100.0,28.5
18,2021-08-11 10:00:00,10.4,99.1,29.4
19,2021-08-11 11:00:00,13.5,95.1,30.5
20,2021-08-11 12:00:00,11.7,87.8,32.5
21,2021-08-11 13:00:00,9.5,85.9,32.9
22,2021-08-11 14:00:00,8.6,84.8,33.2
23,2021-08-11 15:00:00,5.9,84.9,33.4
24,2021-08-11 16:00:00,4.1,82.2,33.7
25,2021-08-11 17:00:00,4.1,87.5,32.8
26,2021-08-11 18:00:00,2.2,97.1,30.4
27,2021-08-11 19:00:00,2.2,100.0,26.3
28,2021-08-11 20:00:00,2.2,100.0,26.9
29,2021-08-11 21:00:00,2.2,100.0,27.2
30,2021-08-11 22:00:00,2.2,100.0,25.3
31,2021-08-11 23:00:00,2.2,100.0,25.6
32,2021-08-12 00:00:00,2.2,100.0,26.0
33,2021-08-12 01:00:00,2.2,100.0,26.3
34,2021-08-12 02:00:00,2.2,100.0,26.4
35,2021-08-12 03:00:00,2.6,100.0,26.4
36,2021-08-12 04:00:00,2.3,100.0,26.5
37,2021-08-12 05:00:00,3.7,100.0,26.7
38,2021-08-12 06:00:00,8.4,100.0,26.8
39,2021-08-12 07:00:00,6.4,100.0,26.9
40,2021-08-12 08:00:00,6.8,100.0,27.2
41,2021-08-12 09:00:00,7.0,100.0,27.6
42,2021-08-12 10:00:00,9.6,98.9,28.2
43,2021-08-12 11:00:00,10.9,96.1,29.2
