,time,PM2.5,humidity,temperature
0,2021-08-27 16:00:00,6.1,83.1,32.9
1,2021-08-27 17:00:00,5.5,79.4,33.7
2,2021-08-27 18:00:00,5.5,90.1,31.3
3,2021-08-27 19:00:00,1.4,99.0,29.2
4,2021-08-27 20:00:00,2.3,100.0,29.2
5,2021-08-27 21:00:00,4.4,100.0,29.1
6,2021-08-27 22:00:00,3.6,100.0,29.3
7,2021-08-27 23:00:00,6.5,100.0,29.2
8,2021-08-28 00:00:00,3.5,100.0,29.1
9,2021-08-28 01:00:00,2.6,100.0,28.9
10,2021-08-28 02:00:00,3.4,100.0,28.5
11,2021-08-28 03:00:00,3.5,100.0,28.0
12,2021-08-28 04:00:00,1.3,100.0,25.5
13,2021-08-28 05:00:00,1.2,100.0,26.3
14,2021-08-28 06:00:00,1.5,100.0,26.3
15,2021-08-28 07:00:00,5.3,100.0,26.6
16,2021-08-28 08:00:00,5.6,100.0,27.2
17,2021-08-28 09:00:00,5.7,100.0,27.4
18,2021-08-28 10:00:00,9.0,99.9,28.6
19,2021-08-28 11:00:00,15.1,97.1,29.6
20,2021-08-28 12:00:00,50.28,90.1,31.0
21,2021-08-28 13:00:00,41.17,82.4,33.2
22,2021-08-28 14:00:00,31.74,72.2,36.0
23,2021-08-28 15:00:00,19.9,67.0,37.5
24,2021-08-28 16:00:00,16.0,69.0,36.2
25,2021-08-28 17:00:00,9.8,86.7,32.0
26,2021-08-28 18:00:00,9.4,100.0,28.0
27,2021-08-28 19:00:00,8.5,100.0,28.4
28,2021-08-28 20:00:00,7.2,100.0,28.4
29,2021-08-28 21:00:00,8.7,100.0,28.2
30,2021-08-28 22:00:00,4.1,100.0,27.8
31,2021-08-28 23:00:00,2.7,100.0,27.8
32,2021-08-29 00:00:00,2.9,100.0,27.8
33,2021-08-29 01:00:00,3.4,100.0,27.7
34,2021-08-29 02:00:00,3.4,100.0,27.5
35,2021-08-29 03:00:00,2.2,100.0,27.4
36,2021-08-29 04:00:00,1.9,100.0,27.3
37,2021-08-29 05:00:00,3.1,100.0,27.5
38,2021-08-29 06:00:00,5.0,100.0,27.5
39,2021-08-29 07:00:00,13.5,100.0,27.3
40,2021-08-29 08:00:00,9.7,99.8,27.8
41,2021-08-29 09:00:00,8.5,92.7,29.2
42,2021-08-29 10:00:00,8.2,86.3,30.8
43,2021-08-29 11:00:00,11.2,81.5,32.3
44,2021-08-29 12:00:00,9.1,83.2,31.9
45,2021-08-29 13:00:00,10.8,76.7,33.6
46,2021-08-29 14:00:00,13.9,72.4,34.7
47,2021-08-29 15:00:00,15.2,67.5,36.4
48,2021-08-29 16:00:00,13.7,70.0,35.5
49,2021-08-29 17:00:00,11.2,74.6,35.0
50,2021-08-29 18:00:00,10.5,81.0,32.9
51,2021-08-29 19:00:00,10.6,86.2,30.9
52,2021-08-29 20:00:00,14.2,92.2,30.1
53,2021-08-29 21:00:00,11.2,97.5,29.7
54,2021-08-29 22:00:00,8.2,100.0,29.3
55,2021-08-29 23:00:00,6.5,100.0,29.2
56,2021-08-30 00:00:00,4.9,100.0,29.1
57,2021-08-30 01:00:00,4.3,100.0,28.9
58,2021-08-30 02:00:00,3.5,100.0,28.8
59,2021-08-30 03:00:00,2.8,100.0,28.7
60,2021-08-30 04:00:00,2.8,100.0,28.5
61,2021-08-30 05:00:00,9.1,100.0,28.4
62,2021-08-30 06:00:00,14.1,100.0,28.0
63,2021-08-30 07:00:00,14.0,100.0,28.0
64,2021-08-30 08:00:00,13.1,99.8,28.7
65,2021-08-30 09:00:00,13.8,95.0,29.9
66,2021-08-30 10:00:00,10.6,88.8,30.9
67,2021-08-30 11:00:00,13.6,85.3,31.8
68,2021-08-30 12:00:00,13.5,80.2,33.0
69,2021-08-30 13:00:00,10.1,78.6,33.2
70,2021-08-30 14:00:00,10.5,74.5,34.4
71,2021-08-30 15:00:00,12.9,75.9,34.1
72,2021-08-30 16:00:00,13.7,74.2,34.8
73,2021-08-30 17:00:00,15.4,81.9,33.3
74,2021-08-30 18:00:00,14.2,90.6,30.9
75,2021-08-30 19:00:00,8.1,98.5,29.7
76,2021-08-30 20:00:00,5.2,100.0,29.4
77,2021-08-30 21:00:00,6.8,100.0,29.3
78,2021-08-30 22:00:00,5.5,100.0,29.0
79,2021-08-30 23:00:00,3.5,100.0,28.9
80,2021-08-31 00:00:00,2.5,100.0,28.7
81,2021-08-31 01:00:00,2.0,100.0,28.7
82,2021-08-31 02:00:00,2.1,100.0,28.7
83,2021-08-31 03:00:00,1.7,100.0,28.6
84,2021-08-31 04:00:00,1.6,100.0,28.6
85,2021-08-31 05:00:00,1.8,100.0,28.5
86,2021-08-31 06:00:00,2.9,100.0,28.5
87,2021-08-31 07:00:00,7.2,100.0,29.1
88,2021-08-31 08:00:00,9.5,98.9,30.2
89,2021-08-31 09:00:00,14.1,95.8,31.0
90,2021-08-31 10:00:00,15.5,95.1,30.7
91,2021-08-31 11:00:00,18.9,82.9,33.2
92,2021-08-31 12:00:00,15.8,91.4,30.2
93,2021-08-31 13:00:00,9.7,94.1,29.6
94,2021-08-31 14:00:00,15.1,81.6,34.2
95,2021-08-31 15:00:00,16.9,68.5,36.8
96,2021-08-31 16:00:00,8.1,74.4,36.0
97,2021-08-31 17:00:00,10.5,77.9,35.4
98,2021-08-31 18:00:00,7.8,83.2,32.8
99,2021-08-31 19:00:00,6.0,93.4,30.7
100,2021-08-31 20:00:00,7.0,97.7,29.9
101,2021-08-31 21:00:00,7.0,100.0,29.5
102,2021-08-31 22:00:00,7.4,100.0,29.3
103,2021-08-31 23:00:00,6.9,100.0,29.2
104,2021-09-01 00:00:00,5.6,100.0,28.9
105,2021-09-01 01:00:00,6.6,100.0,28.9
106,2021-09-01 02:00:00,6.7,100.0,28.8
107,2021-09-01 03:00:00,6.4,100.0,28.8
108,2021-09-01 04:00:00,6.4,100.0,28.8
109,2021-09-01 05:00:00,6.4,100.0,28.7
110,2021-09-01 06:00:00,6.6,100.0,28.5
111,2021-09-01 07:00:00,9.4,100.0,29.1
112,2021-09-01 08:00:00,10.5,99.3,30.0
113,2021-09-01 09:00:00,14.5,93.2,31.7
114,2021-09-01 10:00:00,16.7,85.1,32.9
115,2021-09-01 11:00:00,18.5,84.1,33.1
116,2021-09-01 12:00:00,16.9,85.2,32.6
117,2021-09-01 13:00:00,9.0,99.6,28.8
118,2021-09-01 14:00:00,10.4,87.5,32.1
119,2021-09-01 15:00:00,14.6,75.2,35.4
120,2021-09-01 16:00:00,17.8,73.3,36.9
121,2021-09-01 17:00:00,13.6,72.9,36.3
122,2021-09-01 18:00:00,10.5,82.1,33.6
123,2021-09-01 19:00:00,12.8,88.2,32.2
124,2021-09-01 20:00:00,12.2,93.6,31.4
125,2021-09-01 21:00:00,10.0,97.0,31.0
126,2021-09-01 22:00:00,7.4,99.3,30.5
127,2021-09-01 23:00:00,5.4,99.9,30.1
128,2021-09-02 00:00:00,4.8,100.0,29.7
129,2021-09-02 01:00:00,3.8,100.0,29.4
130,2021-09-02 02:00:00,3.7,100.0,29.3
131,2021-09-02 03:00:00,3.1,100.0,29.3
132,2021-09-02 04:00:00,2.2,100.0,29.1
133,2021-09-02 05:00:00,3.6,100.0,28.3
134,2021-09-02 06:00:00,3.2,100.0,27.8
135,2021-09-02 07:00:00,3.8,100.0,27.7
136,2021-09-02 08:00:00,6.5,100.0,28.5
137,2021-09-02 09:00:00,7.2,99.9,28.8
138,2021-09-02 10:00:00,8.2,97.5,29.6
139,2021-09-02 11:00:00,7.5,94.1,30.4
140,2021-09-02 12:00:00,7.8,89.8,31.0
141,2021-09-02 13:00:00,11.8,86.6,31.7
142,2021-09-02 14:00:00,10.9,82.9,32.5
143,2021-09-02 15:00:00,12.3,81.7,33.6
144,2021-09-02 16:00:00,12.5,80.2,34.1
145,2021-09-02 17:00:00,12.3,82.1,33.3
146,2021-09-02 18:00:00,13.4,86.8,32.5
147,2021-09-02 19:00:00,12.8,95.9,30.8
148,2021-09-02 20:00:00,13.2,98.0,30.4
149,2021-09-02 21:00:00,15.3,100.0,30.0
150,2021-09-02 22:00:00,12.5,100.0,29.6
151,2021-09-02 23:00:00,11.4,100.0,29.4
152,2021-09-03 00:00:00,11.0,100.0,29.3
153,2021-09-03 01:00:00,10.2,100.0,29.2
154,2021-09-03 02:00:00,9.2,100.0,29.1
155,2021-09-03 03:00:00,10.1,100.0,28.8
156,2021-09-03 04:00:00,11.1,100.0,28.7
157,2021-09-03 05:00:00,12.0,100.0,28.5
158,2021-09-03 06:00:00,12.1,100.0,28.4
159,2021-09-03 07:00:00,13.0,100.0,29.1
160,2021-09-03 08:00:00,13.0,100.0,29.8
161,2021-09-03 09:00:00,15.8,99.3,30.3
162,2021-09-03 10:00:00,19.3,100.0,29.9
163,2021-09-03 11:00:00,66.02,97.0,30.9
164,2021-09-03 12:00:00,48.99,89.5,32.5
165,2021-09-03 13:00:00,42.88,79.7,34.5
166,2021-09-03 14:00:00,36.37,74.5,35.6
167,2021-09-03 15:00:00,37.38,74.4,35.6
