,time,PM2.5,humidity,temperature
0,2021-09-01 16:00:00,8.4,85.4,32.8
1,2021-09-01 17:00:00,7.5,84.7,32.7
2,2021-09-01 18:00:00,6.3,87.9,31.8
3,2021-09-01 19:00:00,6.3,91.5,31.0
4,2021-09-01 20:00:00,7.5,95.5,30.2
5,2021-09-01 21:00:00,6.3,97.9,29.8
6,2021-09-01 22:00:00,5.5,98.7,29.5
7,2021-09-01 23:00:00,4.1,98.7,28.9
8,2021-09-02 00:00:00,4.1,98.7,28.8
9,2021-09-02 01:00:00,2.7,98.7,28.5
10,2021-09-02 02:00:00,2.5,98.7,28.4
11,2021-09-02 03:00:00,2.4,98.7,28.2
12,2021-09-02 04:00:00,2.0,98.7,27.9
13,2021-09-02 05:00:00,2.8,98.7,27.2
14,2021-09-02 06:00:00,2.8,98.7,26.7
15,2021-09-02 07:00:00,3.9,98.7,26.6
16,2021-09-02 08:00:00,6.6,98.7,26.4
17,2021-09-02 09:00:00,8.5,98.7,26.7
18,2021-09-02 10:00:00,6.4,98.7,27.3
19,2021-09-02 11:00:00,3.9,98.2,28.7
20,2021-09-02 12:00:00,5.1,95.4,29.8
21,2021-09-02 13:00:00,7.0,92.6,30.6
22,2021-09-02 14:00:00,6.0,89.5,31.0
23,2021-09-02 15:00:00,6.6,89.3,31.3
24,2021-09-02 16:00:00,5.3,96.0,29.5
25,2021-09-02 17:00:00,5.1,94.5,29.7
26,2021-09-02 18:00:00,6.8,91.3,30.3
27,2021-09-02 19:00:00,7.6,98.1,29.4
28,2021-09-02 20:00:00,8.9,98.7,29.2
29,2021-09-02 21:00:00,9.7,98.7,28.9
30,2021-09-02 22:00:00,9.2,98.7,28.7
31,2021-09-02 23:00:00,8.5,98.7,28.5
32,2021-09-03 00:00:00,8.7,98.7,28.3
33,2021-09-03 01:00:00,7.6,98.7,28.1
34,2021-09-03 02:00:00,7.6,98.7,27.8
35,2021-09-03 03:00:00,8.5,98.7,27.6
36,2021-09-03 04:00:00,8.8,98.7,27.5
37,2021-09-03 05:00:00,10.0,98.7,27.4
38,2021-09-03 06:00:00,8.9,98.7,27.6
39,2021-09-03 07:00:00,8.0,98.7,28.5
40,2021-09-03 08:00:00,9.8,98.7,28.8
41,2021-09-03 09:00:00,14.3,98.4,29.7
42,2021-09-03 10:00:00,9.3,95.0,29.8
43,2021-09-03 11:00:00,10.6,97.1,30.2
44,2021-09-03 12:00:00,11.4,92.3,31.1
45,2021-09-03 13:00:00,12.3,88.7,31.8
46,2021-09-03 14:00:00,12.3,82.0,32.9
47,2021-09-03 15:00:00,11.4,84.0,32.4
48,2021-09-03 16:00:00,11.1,82.9,33.0
49,2021-09-03 17:00:00,12.0,85.8,32.2
50,2021-09-03 18:00:00,11.4,85.9,31.8
51,2021-09-03 19:00:00,11.3,92.7,30.8
52,2021-09-03 20:00:00,13.7,98.1,29.9
53,2021-09-03 21:00:00,12.6,98.7,28.9
54,2021-09-03 22:00:00,11.3,98.7,28.7
55,2021-09-03 23:00:00,8.6,98.7,28.4
56,2021-09-04 00:00:00,7.7,98.7,28.2
57,2021-09-04 01:00:00,7.9,98.7,28.0
58,2021-09-04 02:00:00,8.2,98.7,27.9
59,2021-09-04 03:00:00,8.9,98.7,27.9
60,2021-09-04 04:00:00,8.5,98.7,27.6
61,2021-09-04 05:00:00,10.5,98.7,27.5
62,2021-09-04 06:00:00,13.1,98.7,27.2
63,2021-09-04 07:00:00,9.9,98.7,28.3
64,2021-09-04 08:00:00,8.0,96.5,30.7
65,2021-09-04 09:00:00,5.5,92.4,31.4
66,2021-09-04 10:00:00,4.8,91.3,31.6
67,2021-09-04 11:00:00,5.1,89.3,32.1
68,2021-09-04 12:00:00,6.2,88.1,32.5
69,2021-09-04 13:00:00,7.7,89.1,31.8
70,2021-09-04 14:00:00,6.6,93.4,30.4
71,2021-09-04 15:00:00,6.3,97.5,29.8
72,2021-09-04 16:00:00,4.6,84.6,32.5
73,2021-09-04 17:00:00,4.2,83.8,32.6
74,2021-09-04 18:00:00,4.9,89.6,31.7
75,2021-09-04 19:00:00,4.5,98.6,30.0
76,2021-09-04 20:00:00,4.6,98.7,29.7
77,2021-09-04 21:00:00,2.7,98.7,29.2
78,2021-09-04 22:00:00,2.4,98.7,28.9
79,2021-09-04 23:00:00,2.6,98.7,28.7
80,2021-09-05 00:00:00,2.8,98.7,28.6
81,2021-09-05 01:00:00,3.7,98.7,28.5
82,2021-09-05 02:00:00,3.2,98.7,28.4
83,2021-09-05 03:00:00,1.7,98.7,28.4
84,2021-09-05 04:00:00,3.0,98.7,28.3
85,2021-09-05 05:00:00,2.5,98.7,27.0
86,2021-09-05 06:00:00,1.3,98.7,26.6
87,2021-09-05 07:00:00,2.2,98.7,27.3
88,2021-09-05 08:00:00,2.4,98.7,27.5
89,2021-09-05 09:00:00,3.3,98.7,27.2
90,2021-09-05 10:00:00,3.3,98.7,23.8
91,2021-09-05 11:00:00,3.3,98.7,25.0
92,2021-09-05 12:00:00,1.7,98.7,27.5
93,2021-09-05 13:00:00,1.0,98.6,28.5
94,2021-09-05 14:00:00,1.1,96.8,29.2
95,2021-09-05 15:00:00,1.8,95.6,29.9
96,2021-09-05 16:00:00,2.0,95.3,30.1
97,2021-09-05 17:00:00,1.4,97.2,29.7
98,2021-09-05 18:00:00,2.7,98.7,28.8
99,2021-09-05 19:00:00,2.0,98.7,28.1
100,2021-09-05 20:00:00,1.8,98.7,27.8
101,2021-09-05 21:00:00,2.2,98.7,27.6
102,2021-09-05 22:00:00,2.4,98.7,27.4
103,2021-09-05 23:00:00,4.2,98.7,27.3
104,2021-09-06 00:00:00,4.6,98.7,27.1
105,2021-09-06 01:00:00,7.0,98.7,26.7
106,2021-09-06 02:00:00,5.6,98.7,26.3
107,2021-09-06 03:00:00,5.2,98.7,25.7
108,2021-09-06 04:00:00,4.1,98.7,25.6
109,2021-09-06 05:00:00,5.5,98.7,25.4
110,2021-09-06 06:00:00,5.4,98.7,25.4
111,2021-09-06 07:00:00,4.5,98.7,27.0
112,2021-09-06 08:00:00,4.4,98.7,28.1
113,2021-09-06 09:00:00,3.6,97.7,29.5
114,2021-09-06 10:00:00,4.2,95.3,30.5
115,2021-09-06 11:00:00,4.3,94.0,30.7
116,2021-09-06 12:00:00,3.7,90.6,31.3
117,2021-09-06 13:00:00,3.3,85.9,31.8
118,2021-09-06 14:00:00,3.5,84.3,32.1
119,2021-09-06 15:00:00,3.4,81.5,32.9
120,2021-09-06 16:00:00,3.3,79.3,32.9
121,2021-09-06 17:00:00,3.6,77.4,33.0
122,2021-09-06 18:00:00,5.4,81.9,32.2
123,2021-09-06 19:00:00,7.5,91.0,30.5
124,2021-09-06 20:00:00,8.5,92.0,30.0
125,2021-09-06 21:00:00,10.7,97.5,29.5
126,2021-09-06 22:00:00,13.6,98.7,29.4
127,2021-09-06 23:00:00,8.1,98.7,29.2
128,2021-09-07 00:00:00,5.1,98.7,29.1
129,2021-09-07 01:00:00,5.0,98.7,29.0
130,2021-09-07 02:00:00,4.5,98.7,28.9
131,2021-09-07 03:00:00,5.9,98.7,28.5
132,2021-09-07 04:00:00,14.3,98.7,27.6
133,2021-09-07 05:00:00,12.1,98.7,27.4
134,2021-09-07 06:00:00,11.4,98.7,27.2
135,2021-09-07 07:00:00,13.4,98.7,27.1
136,2021-09-07 08:00:00,15.9,98.7,27.5
137,2021-09-07 09:00:00,13.5,98.7,28.5
138,2021-09-07 10:00:00,11.0,98.7,28.0
139,2021-09-07 11:00:00,2.3,98.7,25.8
140,2021-09-07 12:00:00,1.8,98.7,26.0
141,2021-09-07 13:00:00,2.1,97.5,27.9
142,2021-09-07 14:00:00,2.7,98.4,27.7
143,2021-09-07 15:00:00,2.7,98.7,27.0
144,2021-09-07 16:00:00,4.0,98.7,27.0
145,2021-09-07 17:00:00,5.0,98.7,27.4
146,2021-09-07 18:00:00,4.1,98.7,27.1
147,2021-09-07 19:00:00,6.3,98.7,26.4
148,2021-09-07 20:00:00,8.2,98.7,26.4
149,2021-09-07 21:00:00,7.5,98.7,26.5
150,2021-09-07 22:00:00,7.3,98.7,26.8
151,2021-09-07 23:00:00,9.9,98.7,26.3
152,2021-09-08 00:00:00,7.9,98.7,26.2
153,2021-09-08 01:00:00,4.4,98.7,26.1
154,2021-09-08 02:00:00,6.4,98.7,25.6
155,2021-09-08 03:00:00,6.5,98.7,25.5
156,2021-09-08 04:00:00,7.2,98.7,25.6
157,2021-09-08 05:00:00,7.1,98.7,25.6
158,2021-09-08 06:00:00,7.3,98.7,25.8
159,2021-09-08 07:00:00,7.0,98.7,26.6
160,2021-09-08 08:00:00,5.1,98.6,27.7
161,2021-09-08 09:00:00,4.5,96.6,28.2
162,2021-09-08 10:00:00,6.3,98.6,27.6
163,2021-09-08 11:00:00,4.6,98.6,28.4
164,2021-09-08 12:00:00,5.2,98.7,25.7
165,2021-09-08 13:00:00,2.4,98.7,24.9
166,2021-09-08 14:00:00,3.2,98.7,27.2
167,2021-09-08 15:00:00,1.8,98.7,28.9
