,time,PM2.5,humidity,temperature
0,2021-09-09 16:00:00,8.5,64.1,32.3
1,2021-09-09 17:00:00,8.6,68.8,31.3
2,2021-09-09 18:00:00,9.1,68.5,30.6
3,2021-09-09 19:00:00,14.1,75.1,29.9
4,2021-09-09 20:00:00,14.8,79.8,29.7
5,2021-09-09 21:00:00,9.5,80.1,29.6
6,2021-09-09 22:00:00,8.7,79.7,29.4
7,2021-09-09 23:00:00,10.8,82.6,29.0
8,2021-09-10 00:00:00,11.8,84.9,28.6
9,2021-09-10 01:00:00,13.5,86.3,28.2
10,2021-09-10 02:00:00,8.8,82.4,28.1
11,2021-09-10 03:00:00,8.7,83.2,28.1
12,2021-09-10 04:00:00,9.5,84.6,27.9
13,2021-09-10 05:00:00,10.7,83.9,28.4
14,2021-09-10 06:00:00,16.1,85.0,28.2
15,2021-09-10 07:00:00,16.2,84.1,28.2
16,2021-09-10 08:00:00,17.6,83.1,28.2
17,2021-09-10 09:00:00,17.1,80.6,28.9
18,2021-09-10 10:00:00,13.2,75.5,29.8
19,2021-09-10 11:00:00,10.3,70.5,31.0
20,2021-09-10 12:00:00,8.7,66.4,32.2
21,2021-09-10 13:00:00,7.0,57.8,33.6
22,2021-09-10 14:00:00,7.3,53.3,34.8
23,2021-09-10 15:00:00,6.6,50.4,35.4
24,2021-09-10 16:00:00,6.8,47.9,36.4
25,2021-09-10 17:00:00,7.5,47.1,36.9
26,2021-09-10 18:00:00,11.9,52.7,35.1
27,2021-09-10 19:00:00,25.05,58.3,33.6
28,2021-09-10 20:00:00,39.8,60.1,33.1
29,2021-09-10 21:00:00,36.92,62.4,32.5
30,2021-09-10 22:00:00,27.83,66.0,31.8
31,2021-09-10 23:00:00,16.0,67.8,31.3
32,2021-09-11 00:00:00,15.0,69.9,31.0
33,2021-09-11 01:00:00,12.7,70.1,30.7
34,2021-09-11 02:00:00,11.9,70.0,30.7
35,2021-09-11 03:00:00,13.2,71.9,30.3
36,2021-09-11 04:00:00,12.4,73.5,29.7
37,2021-09-11 05:00:00,11.6,75.1,29.3
38,2021-09-11 06:00:00,13.0,74.4,28.8
39,2021-09-11 07:00:00,14.4,74.3,28.7
40,2021-09-11 08:00:00,16.0,72.7,29.3
41,2021-09-11 09:00:00,16.6,68.5,30.2
42,2021-09-11 10:00:00,16.8,64.9,31.1
43,2021-09-11 11:00:00,15.0,59.6,32.6
44,2021-09-11 12:00:00,12.7,54.9,33.9
45,2021-09-11 13:00:00,12.4,51.1,35.3
46,2021-09-11 14:00:00,12.5,48.7,36.6
47,2021-09-11 15:00:00,12.3,47.1,37.3
48,2021-09-11 16:00:00,12.0,44.4,38.3
49,2021-09-11 17:00:00,12.4,43.2,38.3
50,2021-09-11 18:00:00,47.0,47.0,36.5
51,2021-09-11 19:00:00,40.28,52.0,35.1
52,2021-09-11 20:00:00,46.44,57.1,34.3
53,2021-09-11 21:00:00,57.07,67.4,32.7
54,2021-09-11 22:00:00,68.86,75.3,31.4
55,2021-09-11 23:00:00,56.93,74.7,31.2
