,time,PM2.5,humidity,temperature
0,2021-10-27 18:00:00,62.5,52.7,29.0
1,2021-10-27 19:00:00,87.9,56.1,28.2
2,2021-10-27 20:00:00,92.9,58.5,28.1
3,2021-10-27 21:00:00,115.3,59.8,27.7
4,2021-10-27 22:00:00,124.2,64.9,27.4
5,2021-10-27 23:00:00,125.2,69.3,27.1
6,2021-10-28 00:00:00,123.2,73.4,26.7
7,2021-10-28 01:00:00,116.1,78.5,26.1
8,2021-10-28 02:00:00,124.8,76.0,26.3
9,2021-10-28 03:00:00,145.3,74.5,26.5
10,2021-10-28 04:00:00,180.8,73.4,26.2
11,2021-10-28 05:00:00,133.1,71.1,26.2
12,2021-10-28 06:00:00,71.8,67.5,26.1
13,2021-10-28 07:00:00,62.1,68.4,25.7
14,2021-10-28 08:00:00,61.3,72.2,25.1
15,2021-10-28 09:00:00,60.5,71.3,25.3
16,2021-10-28 10:00:00,64.4,72.5,24.8
17,2021-10-28 11:00:00,52.1,81.2,23.8
18,2021-10-28 12:00:00,38.0,84.5,22.9
19,2021-10-28 13:00:00,32.9,86.8,22.6
20,2021-10-28 14:00:00,31.6,86.2,22.6
21,2021-10-28 15:00:00,22.7,87.2,22.5
22,2021-10-28 16:00:00,27.7,87.5,22.6
23,2021-10-28 17:00:00,27.4,88.0,22.2
24,2021-10-28 18:00:00,27.7,88.6,22.1
25,2021-10-28 19:00:00,26.7,88.4,22.1
26,2021-10-28 20:00:00,24.3,88.6,22.2
27,2021-10-28 21:00:00,20.5,88.9,22.1
28,2021-10-28 22:00:00,19.0,89.2,22.0
29,2021-10-28 23:00:00,17.6,89.1,21.9
30,2021-10-29 00:00:00,15.5,90.0,21.8
31,2021-10-29 01:00:00,15.6,90.2,21.9
32,2021-10-29 02:00:00,15.0,90.3,22.1
33,2021-10-29 03:00:00,14.8,90.1,22.1
34,2021-10-29 04:00:00,14.9,90.7,22.0
35,2021-10-29 05:00:00,14.6,90.3,22.1
36,2021-10-29 06:00:00,9.4,90.2,22.0
37,2021-10-29 07:00:00,5.4,90.4,21.9
38,2021-10-29 08:00:00,5.0,90.9,21.9
39,2021-10-29 09:00:00,5.0,91.0,22.0
40,2021-10-29 10:00:00,7.5,90.9,22.1
41,2021-10-29 11:00:00,8.0,90.9,22.3
42,2021-10-29 12:00:00,7.5,90.7,22.6
43,2021-10-29 13:00:00,4.0,90.6,22.7
44,2021-10-29 14:00:00,6.7,90.7,22.8
45,2021-10-29 15:00:00,,,
46,2021-10-29 16:00:00,6.3,90.6,22.9
47,2021-10-29 17:00:00,8.6,91.2,22.8
48,2021-10-29 18:00:00,12.0,90.6,22.9
49,2021-10-29 19:00:00,12.8,90.8,22.8
50,2021-10-29 20:00:00,11.7,90.3,22.9
51,2021-10-29 21:00:00,12.8,90.4,22.9
52,2021-10-29 22:00:00,10.3,90.8,22.9
53,2021-10-29 23:00:00,8.5,91.0,22.8
54,2021-10-30 00:00:00,6.6,90.9,22.7
55,2021-10-30 01:00:00,5.0,91.4,22.6
56,2021-10-30 02:00:00,2.1,91.4,22.6
57,2021-10-30 03:00:00,2.1,92.1,22.2
58,2021-10-30 04:00:00,2.1,92.0,22.1
59,2021-10-30 05:00:00,2.1,91.7,21.8
60,2021-10-30 06:00:00,1.3,90.5,21.6
61,2021-10-30 07:00:00,3.9,90.2,21.4
62,2021-10-30 08:00:00,1.2,90.4,21.2
63,2021-10-30 09:00:00,1.2,89.6,21.2
64,2021-10-30 10:00:00,1.3,88.4,21.1
65,2021-10-30 11:00:00,2.7,87.8,21.3
66,2021-10-30 12:00:00,1.7,86.8,21.1
67,2021-10-30 13:00:00,2.3,87.0,20.9
68,2021-10-30 14:00:00,2.0,84.2,21.1
69,2021-10-30 15:00:00,2.6,85.4,21.0
