,time,PM2.5,humidity,temperature
0,2021-11-05 18:00:00,13.1,94.3,29.5
1,2021-11-05 19:00:00,11.2,97.5,28.5
2,2021-11-05 20:00:00,10.4,99.3,27.6
3,2021-11-05 21:00:00,9.0,100.0,27.0
4,2021-11-05 22:00:00,9.0,100.0,26.5
5,2021-11-05 23:00:00,10.2,100.0,26.0
6,2021-11-06 00:00:00,12.1,100.0,25.7
7,2021-11-06 01:00:00,12.7,100.0,25.6
8,2021-11-06 02:00:00,12.7,100.0,25.5
9,2021-11-06 03:00:00,12.6,100.0,25.4
10,2021-11-06 04:00:00,13.1,100.0,25.2
11,2021-11-06 05:00:00,12.0,100.0,25.3
12,2021-11-06 06:00:00,11.5,100.0,25.4
13,2021-11-06 07:00:00,12.1,100.0,25.6
14,2021-11-06 08:00:00,12.9,100.0,26.3
15,2021-11-06 09:00:00,11.4,100.0,27.4
16,2021-11-06 10:00:00,9.2,100.0,28.1
17,2021-11-06 11:00:00,9.6,98.9,29.2
18,2021-11-06 12:00:00,9.4,95.1,30.0
19,2021-11-06 13:00:00,9.5,91.0,30.9
20,2021-11-06 14:00:00,8.0,88.9,31.4
21,2021-11-06 15:00:00,6.9,88.5,31.5
22,2021-11-06 16:00:00,6.9,90.0,30.9
23,2021-11-06 17:00:00,9.8,92.3,30.1
24,2021-11-06 18:00:00,9.0,95.8,29.2
25,2021-11-06 19:00:00,10.1,99.9,28.3
26,2021-11-06 20:00:00,13.3,100.0,27.6
27,2021-11-06 21:00:00,12.9,100.0,27.0
28,2021-11-06 22:00:00,11.7,100.0,26.6
29,2021-11-06 23:00:00,11.1,100.0,26.4
30,2021-11-07 00:00:00,11.3,100.0,26.3
31,2021-11-07 01:00:00,11.4,100.0,26.4
32,2021-11-07 02:00:00,11.1,100.0,26.2
33,2021-11-07 03:00:00,8.8,100.0,26.1
34,2021-11-07 04:00:00,7.7,100.0,25.9
35,2021-11-07 05:00:00,7.8,100.0,25.9
36,2021-11-07 06:00:00,7.9,100.0,26.0
37,2021-11-07 07:00:00,8.6,100.0,26.4
38,2021-11-07 08:00:00,6.4,100.0,28.2
39,2021-11-07 09:00:00,5.2,99.8,28.5
40,2021-11-07 10:00:00,4.9,90.9,31.5
41,2021-11-07 11:00:00,7.0,83.6,33.2
42,2021-11-07 12:00:00,8.4,79.4,34.1
43,2021-11-07 13:00:00,8.3,81.6,33.0
44,2021-11-07 14:00:00,8.8,83.8,32.3
45,2021-11-07 15:00:00,8.5,80.9,32.9
46,2021-11-07 16:00:00,7.7,81.7,32.5
47,2021-11-07 17:00:00,8.9,89.7,30.7
48,2021-11-07 18:00:00,13.1,95.6,29.7
49,2021-11-07 19:00:00,10.9,98.6,29.1
50,2021-11-07 20:00:00,12.8,100.0,28.7
51,2021-11-07 21:00:00,10.9,100.0,27.9
52,2021-11-07 22:00:00,8.4,100.0,27.5
53,2021-11-07 23:00:00,8.1,100.0,27.2
54,2021-11-08 00:00:00,5.8,100.0,25.4
55,2021-11-08 01:00:00,5.4,100.0,25.5
56,2021-11-08 02:00:00,11.9,100.0,25.3
57,2021-11-08 03:00:00,2.2,96.4,25.0
58,2021-11-08 04:00:00,3.1,94.0,24.1
59,2021-11-08 05:00:00,3.2,86.5,23.2
60,2021-11-08 06:00:00,2.8,83.3,22.4
61,2021-11-08 07:00:00,3.5,80.1,22.1
62,2021-11-08 08:00:00,3.7,81.8,21.3
63,2021-11-08 09:00:00,2.7,88.4,20.0
64,2021-11-08 10:00:00,3.9,88.5,20.6
65,2021-11-08 11:00:00,4.8,80.9,21.6
66,2021-11-08 12:00:00,4.5,74.1,22.9
67,2021-11-08 13:00:00,4.3,73.2,22.9
68,2021-11-08 14:00:00,4.2,73.4,23.8
69,2021-11-08 15:00:00,6.4,74.2,23.5
70,2021-11-08 16:00:00,5.3,77.3,22.2
71,2021-11-08 17:00:00,5.6,78.6,21.5
72,2021-11-08 18:00:00,9.1,78.7,21.3
73,2021-11-08 19:00:00,8.5,80.3,21.2
