,time,PM2.5,humidity,temperature
0,2021-11-09 18:00:00,18.0,60.3,22.6
1,2021-11-09 19:00:00,22.7,67.0,22.6
2,2021-11-09 20:00:00,34.3,70.6,22.3
3,2021-11-09 21:00:00,28.5,75.2,21.9
4,2021-11-09 22:00:00,29.1,78.9,21.6
5,2021-11-09 23:00:00,33.8,80.7,21.2
6,2021-11-10 00:00:00,33.6,88.4,20.5
7,2021-11-10 01:00:00,30.5,88.5,20.0
8,2021-11-10 02:00:00,16.3,78.3,20.0
9,2021-11-10 03:00:00,10.2,74.0,19.8
10,2021-11-10 04:00:00,8.6,71.6,19.7
11,2021-11-10 05:00:00,14.4,75.1,19.4
12,2021-11-10 06:00:00,15.5,73.3,19.4
13,2021-11-10 07:00:00,15.6,71.5,19.6
14,2021-11-10 08:00:00,14.9,71.4,20.1
15,2021-11-10 09:00:00,13.0,63.7,20.7
16,2021-11-10 10:00:00,12.5,55.5,21.4
17,2021-11-10 11:00:00,9.0,49.9,22.2
18,2021-11-10 12:00:00,11.8,51.3,23.2
19,2021-11-10 13:00:00,9.4,50.9,22.9
20,2021-11-10 14:00:00,10.9,51.2,23.6
21,2021-11-10 15:00:00,18.0,61.9,23.8
22,2021-11-10 16:00:00,17.5,65.9,24.1
23,2021-11-10 17:00:00,24.2,65.9,23.7
24,2021-11-10 18:00:00,25.6,69.3,22.5
25,2021-11-10 19:00:00,22.6,76.0,22.1
26,2021-11-10 20:00:00,25.7,77.4,21.8
27,2021-11-10 21:00:00,26.6,79.0,21.7
28,2021-11-10 22:00:00,22.9,83.1,21.4
29,2021-11-10 23:00:00,27.0,88.0,20.9
30,2021-11-11 00:00:00,32.1,89.3,20.6
31,2021-11-11 01:00:00,39.0,92.9,20.4
32,2021-11-11 02:00:00,32.8,93.9,20.1
33,2021-11-11 03:00:00,22.5,95.3,19.6
34,2021-11-11 04:00:00,15.9,97.9,19.3
35,2021-11-11 05:00:00,15.1,99.3,19.1
36,2021-11-11 06:00:00,18.1,99.7,18.7
37,2021-11-11 07:00:00,22.0,100.0,19.4
38,2021-11-11 08:00:00,24.0,99.5,20.7
39,2021-11-11 09:00:00,28.6,83.1,23.1
40,2021-11-11 10:00:00,27.8,65.5,24.3
41,2021-11-11 11:00:00,21.7,57.9,24.8
42,2021-11-11 12:00:00,21.7,53.6,25.3
43,2021-11-11 13:00:00,19.8,52.7,25.5
44,2021-11-11 14:00:00,14.5,51.7,25.9
45,2021-11-11 15:00:00,14.4,52.1,25.9
46,2021-11-11 16:00:00,17.2,52.2,25.8
47,2021-11-11 17:00:00,22.0,54.5,25.2
48,2021-11-11 18:00:00,87.0,57.7,24.6
49,2021-11-11 19:00:00,43.6,64.3,23.6
50,2021-11-11 20:00:00,39.7,67.7,23.2
51,2021-11-11 21:00:00,37.4,68.4,23.1
52,2021-11-11 22:00:00,47.0,74.8,22.4
53,2021-11-11 23:00:00,32.8,78.8,22.1
54,2021-11-12 00:00:00,23.9,82.8,22.1
55,2021-11-12 01:00:00,24.1,87.0,22.0
56,2021-11-12 02:00:00,44.6,91.9,21.5
57,2021-11-12 03:00:00,42.9,91.2,21.2
58,2021-11-12 04:00:00,38.9,89.1,21.3
59,2021-11-12 05:00:00,34.9,88.8,21.6
60,2021-11-12 06:00:00,32.7,90.3,21.4
61,2021-11-12 07:00:00,29.1,93.1,21.2
62,2021-11-12 08:00:00,32.1,94.0,21.6
63,2021-11-12 09:00:00,31.9,86.3,22.5
64,2021-11-12 10:00:00,38.3,83.9,22.9
65,2021-11-12 11:00:00,30.8,73.5,24.1
66,2021-11-12 12:00:00,15.8,66.1,24.4
67,2021-11-12 13:00:00,18.4,66.4,24.8
68,2021-11-12 14:00:00,20.3,67.1,24.9
69,2021-11-12 15:00:00,20.1,67.8,24.9
70,2021-11-12 16:00:00,19.3,69.9,24.3
71,2021-11-12 17:00:00,23.3,72.5,24.0
72,2021-11-12 18:00:00,25.6,75.8,23.8
73,2021-11-12 19:00:00,41.7,78.7,23.6
74,2021-11-12 20:00:00,45.7,83.9,23.4
75,2021-11-12 21:00:00,32.4,80.4,23.0
76,2021-11-12 22:00:00,24.8,81.9,22.3
77,2021-11-12 23:00:00,14.5,75.9,21.8
78,2021-11-13 00:00:00,15.0,76.1,21.3
79,2021-11-13 01:00:00,16.4,78.7,21.0
80,2021-11-13 02:00:00,15.9,78.2,20.8
81,2021-11-13 03:00:00,17.8,77.9,20.6
82,2021-11-13 04:00:00,14.9,76.3,20.5
83,2021-11-13 05:00:00,15.8,75.1,20.3
84,2021-11-13 06:00:00,17.4,74.0,20.1
85,2021-11-13 07:00:00,19.2,73.8,20.1
86,2021-11-13 08:00:00,19.9,75.1,20.2
87,2021-11-13 09:00:00,20.5,73.6,20.6
88,2021-11-13 10:00:00,23.1,66.5,22.6
89,2021-11-13 11:00:00,24.5,63.4,23.4
90,2021-11-13 12:00:00,27.9,62.9,24.5
91,2021-11-13 13:00:00,26.8,64.5,24.8
92,2021-11-13 14:00:00,29.1,67.2,24.9
93,2021-11-13 15:00:00,29.8,69.9,24.7
94,2021-11-13 16:00:00,33.9,72.0,24.5
95,2021-11-13 17:00:00,40.7,76.4,23.6
96,2021-11-13 18:00:00,38.7,80.4,22.4
97,2021-11-13 19:00:00,41.8,81.7,21.7
98,2021-11-13 20:00:00,43.5,87.4,21.1
99,2021-11-13 21:00:00,34.9,89.1,20.8
100,2021-11-13 22:00:00,34.8,93.2,20.1
101,2021-11-13 23:00:00,32.8,96.2,19.7
102,2021-11-14 00:00:00,31.1,99.2,19.4
103,2021-11-14 01:00:00,31.2,100.0,19.5
104,2021-11-14 02:00:00,33.4,100.0,19.4
105,2021-11-14 03:00:00,34.6,100.0,19.0
106,2021-11-14 04:00:00,26.7,99.0,19.0
107,2021-11-14 05:00:00,24.5,97.4,19.0
108,2021-11-14 06:00:00,24.4,94.0,19.6
109,2021-11-14 07:00:00,25.1,96.6,19.6
110,2021-11-14 08:00:00,32.9,95.3,20.6
111,2021-11-14 09:00:00,38.8,82.2,22.6
112,2021-11-14 10:00:00,28.3,67.3,23.8
113,2021-11-14 11:00:00,28.2,65.0,24.1
114,2021-11-14 12:00:00,25.6,63.7,24.5
115,2021-11-14 13:00:00,25.4,63.3,24.9
116,2021-11-14 14:00:00,24.2,62.5,25.4
117,2021-11-14 15:00:00,24.3,62.0,25.5
118,2021-11-14 16:00:00,24.2,62.4,25.3
119,2021-11-14 17:00:00,30.9,65.2,25.0
120,2021-11-14 18:00:00,35.3,67.4,24.4
121,2021-11-14 19:00:00,51.3,73.9,23.7
122,2021-11-14 20:00:00,66.5,77.5,23.4
123,2021-11-14 21:00:00,64.2,80.3,22.8
124,2021-11-14 22:00:00,93.9,85.0,22.4
125,2021-11-14 23:00:00,76.2,91.8,22.0
126,2021-11-15 00:00:00,59.2,97.7,21.6
127,2021-11-15 01:00:00,52.1,97.0,21.7
128,2021-11-15 02:00:00,58.1,98.4,21.4
129,2021-11-15 03:00:00,51.4,96.7,21.4
130,2021-11-15 04:00:00,48.7,95.7,21.6
131,2021-11-15 05:00:00,46.2,100.0,20.7
132,2021-11-15 06:00:00,56.2,100.0,20.5
133,2021-11-15 07:00:00,50.0,100.0,20.8
134,2021-11-15 08:00:00,51.1,96.1,21.8
135,2021-11-15 09:00:00,57.6,92.3,22.8
136,2021-11-15 10:00:00,57.1,84.6,23.6
137,2021-11-15 11:00:00,55.0,74.4,25.8
138,2021-11-15 12:00:00,45.4,72.5,26.1
139,2021-11-15 13:00:00,54.5,72.7,26.8
140,2021-11-15 14:00:00,59.8,73.9,26.7
141,2021-11-15 15:00:00,59.0,77.4,25.9
142,2021-11-15 16:00:00,53.1,80.2,25.2
143,2021-11-15 17:00:00,30.7,86.0,24.3
144,2021-11-15 18:00:00,31.1,93.3,23.2
145,2021-11-15 19:00:00,28.8,93.8,22.8
146,2021-11-15 20:00:00,26.5,88.6,23.2
147,2021-11-15 21:00:00,26.4,87.2,23.3
148,2021-11-15 22:00:00,28.0,84.5,23.6
149,2021-11-15 23:00:00,38.1,93.6,23.1
150,2021-11-16 00:00:00,34.8,98.4,22.8
151,2021-11-16 01:00:00,38.0,98.5,22.7
152,2021-11-16 02:00:00,34.8,97.4,22.6
153,2021-11-16 03:00:00,31.9,97.4,22.5
154,2021-11-16 04:00:00,29.7,99.3,22.3
155,2021-11-16 05:00:00,36.8,100.0,22.3
156,2021-11-16 06:00:00,39.4,100.0,22.0
157,2021-11-16 07:00:00,42.6,100.0,22.0
158,2021-11-16 08:00:00,47.9,98.8,22.1
159,2021-11-16 09:00:00,52.5,94.6,22.4
160,2021-11-16 10:00:00,50.7,97.6,22.1
161,2021-11-16 11:00:00,51.1,100.0,21.7
162,2021-11-16 12:00:00,58.9,100.0,21.5
163,2021-11-16 13:00:00,62.2,100.0,21.8
164,2021-11-16 14:00:00,65.6,100.0,21.6
165,2021-11-16 15:00:00,68.3,100.0,21.6
166,2021-11-16 16:00:00,60.7,100.0,22.1
167,2021-11-16 17:00:00,62.3,100.0,22.1
