,time,PM2.5,humidity,temperature
0,2021-12-02 18:00:00,42.8,66.3,21.8
1,2021-12-02 19:00:00,31.4,69.7,21.1
2,2021-12-02 20:00:00,52.7,69.9,20.7
3,2021-12-02 21:00:00,61.5,74.3,20.1
4,2021-12-02 22:00:00,54.0,83.8,19.7
5,2021-12-02 23:00:00,56.7,88.5,19.1
6,2021-12-03 00:00:00,46.4,93.9,18.5
7,2021-12-03 01:00:00,35.3,95.6,18.0
8,2021-12-03 02:00:00,29.4,96.1,17.0
9,2021-12-03 03:00:00,30.4,94.6,17.0
10,2021-12-03 04:00:00,28.7,95.5,17.1
11,2021-12-03 05:00:00,23.9,98.7,16.8
12,2021-12-03 06:00:00,30.6,99.0,16.2
13,2021-12-03 07:00:00,26.4,99.0,16.0
14,2021-12-03 08:00:00,26.3,98.7,17.5
15,2021-12-03 09:00:00,36.4,88.8,22.2
16,2021-12-03 10:00:00,41.5,77.2,24.8
17,2021-12-03 11:00:00,39.9,70.0,26.3
18,2021-12-03 12:00:00,54.5,58.5,28.0
19,2021-12-03 13:00:00,22.8,49.8,28.9
20,2021-12-03 14:00:00,21.6,48.3,28.5
21,2021-12-03 15:00:00,18.8,45.3,27.5
22,2021-12-03 16:00:00,19.9,48.5,26.1
23,2021-12-03 17:00:00,28.3,55.7,24.2
24,2021-12-03 18:00:00,24.3,72.5,22.2
25,2021-12-03 19:00:00,23.7,78.5,21.2
26,2021-12-03 20:00:00,25.0,84.4,20.6
27,2021-12-03 21:00:00,31.4,88.4,20.0
28,2021-12-03 22:00:00,33.1,94.3,19.6
29,2021-12-03 23:00:00,32.6,98.1,19.2
30,2021-12-04 00:00:00,40.0,98.9,18.7
31,2021-12-04 01:00:00,58.2,99.0,18.1
32,2021-12-04 02:00:00,70.4,99.0,17.2
33,2021-12-04 03:00:00,42.6,99.0,16.7
34,2021-12-04 04:00:00,31.2,99.0,16.7
35,2021-12-04 05:00:00,25.0,98.9,16.8
36,2021-12-04 06:00:00,30.9,99.0,16.6
37,2021-12-04 07:00:00,35.5,99.0,16.3
38,2021-12-04 08:00:00,38.6,99.0,17.5
39,2021-12-04 09:00:00,38.7,93.5,21.7
40,2021-12-04 10:00:00,46.2,83.6,24.4
41,2021-12-04 11:00:00,50.2,73.2,26.6
42,2021-12-04 12:00:00,50.8,63.5,27.9
43,2021-12-04 13:00:00,35.7,54.5,28.5
44,2021-12-04 14:00:00,22.1,46.4,28.8
45,2021-12-04 15:00:00,19.0,45.0,27.7
46,2021-12-04 16:00:00,20.6,47.1,26.4
47,2021-12-04 17:00:00,35.1,56.1,24.5
48,2021-12-04 18:00:00,34.5,71.3,22.1
49,2021-12-04 19:00:00,33.1,76.8,21.2
50,2021-12-04 20:00:00,33.2,79.9,20.7
51,2021-12-04 21:00:00,56.4,83.5,20.3
52,2021-12-04 22:00:00,39.5,81.4,20.3
53,2021-12-04 23:00:00,30.2,89.6,19.7
54,2021-12-05 00:00:00,24.0,96.0,19.3
55,2021-12-05 01:00:00,24.6,98.5,19.0
56,2021-12-05 02:00:00,27.6,99.0,18.6
57,2021-12-05 03:00:00,50.7,99.0,17.8
58,2021-12-05 04:00:00,50.0,99.0,17.6
59,2021-12-05 05:00:00,48.1,99.0,16.9
60,2021-12-05 06:00:00,42.6,99.0,16.7
61,2021-12-05 07:00:00,38.4,99.0,16.8
62,2021-12-05 08:00:00,42.5,99.0,17.5
63,2021-12-05 09:00:00,46.4,95.4,21.5
64,2021-12-05 10:00:00,57.7,82.5,24.4
65,2021-12-05 11:00:00,60.8,72.7,26.6
66,2021-12-05 12:00:00,54.2,63.2,28.1
67,2021-12-05 13:00:00,32.7,54.2,28.5
68,2021-12-05 14:00:00,29.6,51.4,28.7
69,2021-12-05 15:00:00,26.0,54.8,27.6
70,2021-12-05 16:00:00,29.2,61.8,25.9
71,2021-12-05 17:00:00,33.1,69.1,24.2
72,2021-12-05 18:00:00,36.7,77.1,22.7
73,2021-12-05 19:00:00,49.0,82.9,22.1
74,2021-12-05 20:00:00,49.9,84.4,21.6
75,2021-12-05 21:00:00,49.2,89.6,21.0
76,2021-12-05 22:00:00,51.8,93.5,20.5
77,2021-12-05 23:00:00,52.9,94.8,20.0
78,2021-12-06 00:00:00,50.1,99.0,19.4
79,2021-12-06 01:00:00,41.7,99.0,19.1
80,2021-12-06 02:00:00,44.1,99.0,18.5
81,2021-12-06 03:00:00,43.7,99.0,17.8
82,2021-12-06 04:00:00,37.6,99.0,17.6
83,2021-12-06 05:00:00,34.5,99.0,16.9
84,2021-12-06 06:00:00,32.6,99.0,16.9
85,2021-12-06 07:00:00,33.4,99.0,16.5
86,2021-12-06 08:00:00,33.9,99.0,17.2
87,2021-12-06 09:00:00,40.6,95.8,21.7
88,2021-12-06 10:00:00,57.7,80.9,25.1
89,2021-12-06 11:00:00,53.1,69.0,26.9
90,2021-12-06 12:00:00,38.5,54.7,28.9
91,2021-12-06 13:00:00,32.3,47.5,29.4
92,2021-12-06 14:00:00,23.9,44.9,29.3
93,2021-12-06 15:00:00,20.8,45.6,28.3
94,2021-12-06 16:00:00,23.0,47.6,27.2
95,2021-12-06 17:00:00,26.6,57.4,25.2
96,2021-12-06 18:00:00,31.6,73.8,22.7
97,2021-12-06 19:00:00,29.0,79.6,21.7
98,2021-12-06 20:00:00,37.7,77.9,21.3
99,2021-12-06 21:00:00,46.4,80.1,20.9
100,2021-12-06 22:00:00,33.3,80.9,20.3
101,2021-12-06 23:00:00,34.0,84.4,19.8
102,2021-12-07 00:00:00,28.9,85.2,19.5
103,2021-12-07 01:00:00,25.3,86.9,19.3
104,2021-12-07 02:00:00,25.1,95.2,18.5
105,2021-12-07 03:00:00,42.5,99.0,17.4
106,2021-12-07 04:00:00,35.9,99.0,16.7
107,2021-12-07 05:00:00,33.4,99.0,16.4
108,2021-12-07 06:00:00,35.7,99.0,16.4
109,2021-12-07 07:00:00,34.3,99.0,15.7
110,2021-12-07 08:00:00,32.1,98.0,16.9
111,2021-12-07 09:00:00,46.4,86.2,21.4
112,2021-12-07 10:00:00,53.2,73.2,24.3
113,2021-12-07 11:00:00,59.3,66.4,27.0
114,2021-12-07 12:00:00,60.3,57.5,28.3
115,2021-12-07 13:00:00,55.6,53.2,28.7
116,2021-12-07 14:00:00,56.8,51.0,28.6
117,2021-12-07 15:00:00,53.6,51.3,27.7
118,2021-12-07 16:00:00,50.1,52.8,26.4
119,2021-12-07 17:00:00,47.4,59.6,24.7
120,2021-12-07 18:00:00,53.2,73.9,22.5
121,2021-12-07 19:00:00,54.3,82.9,21.5
122,2021-12-07 20:00:00,36.0,85.6,21.2
123,2021-12-07 21:00:00,23.0,90.8,20.5
124,2021-12-07 22:00:00,20.9,92.5,20.0
125,2021-12-07 23:00:00,20.1,95.5,19.7
126,2021-12-08 00:00:00,20.1,96.3,19.4
127,2021-12-08 01:00:00,19.8,97.8,19.2
128,2021-12-08 02:00:00,49.8,99.0,18.1
129,2021-12-08 03:00:00,72.0,99.0,17.6
130,2021-12-08 04:00:00,46.5,99.0,17.7
131,2021-12-08 05:00:00,44.2,99.0,17.1
132,2021-12-08 06:00:00,42.2,99.0,16.7
133,2021-12-08 07:00:00,40.7,99.0,16.6
134,2021-12-08 08:00:00,35.2,99.0,17.8
135,2021-12-08 09:00:00,50.3,89.8,22.0
136,2021-12-08 10:00:00,73.4,79.3,24.5
137,2021-12-08 11:00:00,61.9,75.0,24.9
138,2021-12-08 12:00:00,55.0,69.5,25.0
139,2021-12-08 13:00:00,60.2,71.2,25.4
140,2021-12-08 14:00:00,43.5,70.3,25.7
141,2021-12-08 15:00:00,42.6,72.2,25.2
142,2021-12-08 16:00:00,37.7,72.7,24.9
143,2021-12-08 17:00:00,,,
144,2021-12-08 18:00:00,74.2,52.8,23.1
145,2021-12-08 19:00:00,73.0,59.0,22.7
146,2021-12-08 20:00:00,84.6,59.4,22.5
147,2021-12-08 21:00:00,130.5,60.8,22.4
148,2021-12-08 22:00:00,,,
149,2021-12-08 23:00:00,,,
150,2021-12-09 00:00:00,160.8,68.1,21.9
151,2021-12-09 01:00:00,,,
