,time,PM2.5,humidity,temperature
0,2021-12-11 18:00:00,98.8,79.8,23.1
1,2021-12-11 19:00:00,110.8,83.2,22.5
2,2021-12-11 20:00:00,146.0,85.8,22.2
3,2021-12-11 21:00:00,231.3,89.0,21.6
4,2021-12-11 22:00:00,98.7,91.0,21.1
5,2021-12-11 23:00:00,78.3,93.6,20.7
6,2021-12-12 00:00:00,66.1,95.3,20.4
7,2021-12-12 01:00:00,62.2,95.9,20.2
8,2021-12-12 02:00:00,56.3,95.2,20.2
9,2021-12-12 03:00:00,53.6,94.1,20.4
10,2021-12-12 04:00:00,55.0,95.0,20.1
11,2021-12-12 05:00:00,66.4,96.2,19.8
12,2021-12-12 06:00:00,59.2,96.6,19.8
13,2021-12-12 07:00:00,64.6,96.5,19.7
14,2021-12-12 08:00:00,74.3,95.0,20.1
15,2021-12-12 09:00:00,86.0,89.1,21.3
16,2021-12-12 10:00:00,131.2,84.3,22.3
17,2021-12-12 11:00:00,153.5,77.2,23.3
18,2021-12-12 12:00:00,132.6,72.9,24.2
19,2021-12-12 13:00:00,116.0,68.3,24.9
20,2021-12-12 14:00:00,95.3,67.1,24.8
21,2021-12-12 15:00:00,74.6,64.2,24.7
22,2021-12-12 16:00:00,70.9,64.8,24.6
23,2021-12-12 17:00:00,95.6,67.5,24.4
24,2021-12-12 18:00:00,101.8,68.0,24.1
25,2021-12-12 19:00:00,101.2,71.5,23.2
26,2021-12-12 20:00:00,49.7,72.0,21.7
27,2021-12-12 21:00:00,20.7,71.3,20.8
28,2021-12-12 22:00:00,16.2,70.1,20.2
29,2021-12-12 23:00:00,14.9,69.3,19.9
30,2021-12-13 00:00:00,14.1,68.1,19.6
31,2021-12-13 01:00:00,10.9,67.4,19.5
32,2021-12-13 02:00:00,16.5,66.9,19.2
33,2021-12-13 03:00:00,13.2,66.3,18.9
34,2021-12-13 04:00:00,11.3,66.2,18.7
35,2021-12-13 05:00:00,17.6,66.5,18.5
36,2021-12-13 06:00:00,9.8,66.3,18.4
37,2021-12-13 07:00:00,9.6,65.4,18.4
38,2021-12-13 08:00:00,11.8,63.4,18.7
39,2021-12-13 09:00:00,13.4,61.6,19.2
40,2021-12-13 10:00:00,11.6,59.6,19.9
41,2021-12-13 11:00:00,13.2,58.1,20.4
42,2021-12-13 12:00:00,20.1,55.5,21.1
43,2021-12-13 13:00:00,24.7,54.6,21.7
44,2021-12-13 14:00:00,25.8,55.6,21.5
45,2021-12-13 15:00:00,26.3,55.6,21.6
46,2021-12-13 16:00:00,29.4,56.0,21.8
47,2021-12-13 17:00:00,39.7,61.1,21.1
48,2021-12-13 18:00:00,48.1,65.0,20.3
49,2021-12-13 19:00:00,53.8,66.4,19.9
50,2021-12-13 20:00:00,53.0,66.3,19.7
51,2021-12-13 21:00:00,63.9,68.5,19.3
52,2021-12-13 22:00:00,66.3,70.7,19.0
53,2021-12-13 23:00:00,68.7,72.8,18.7
54,2021-12-14 00:00:00,59.8,75.9,18.2
55,2021-12-14 01:00:00,80.8,84.2,17.4
56,2021-12-14 02:00:00,73.5,87.9,17.2
57,2021-12-14 03:00:00,72.3,85.3,17.1
58,2021-12-14 04:00:00,69.3,85.5,16.9
59,2021-12-14 05:00:00,65.0,86.2,16.6
60,2021-12-14 06:00:00,71.2,88.8,16.5
61,2021-12-14 07:00:00,74.6,90.0,16.6
62,2021-12-14 08:00:00,73.5,90.6,16.8
63,2021-12-14 09:00:00,82.1,80.9,18.0
64,2021-12-14 10:00:00,67.4,72.0,19.2
65,2021-12-14 11:00:00,67.8,66.4,20.4
66,2021-12-14 12:00:00,77.7,62.6,21.7
67,2021-12-14 13:00:00,76.6,58.7,23.3
68,2021-12-14 14:00:00,83.4,60.1,22.9
69,2021-12-14 15:00:00,83.2,59.1,23.4
70,2021-12-14 16:00:00,77.0,59.3,23.5
71,2021-12-14 17:00:00,78.3,61.2,22.9
72,2021-12-14 18:00:00,100.7,65.6,22.2
73,2021-12-14 19:00:00,118.2,69.6,21.5
74,2021-12-14 20:00:00,152.0,73.2,20.9
75,2021-12-14 21:00:00,155.0,77.8,20.5
76,2021-12-14 22:00:00,124.2,84.1,19.8
77,2021-12-14 23:00:00,96.3,87.5,19.4
78,2021-12-15 00:00:00,84.5,90.2,19.2
79,2021-12-15 01:00:00,79.2,92.7,18.9
80,2021-12-15 02:00:00,81.4,94.7,18.6
81,2021-12-15 03:00:00,82.5,96.0,18.4
82,2021-12-15 04:00:00,95.5,96.2,18.3
83,2021-12-15 05:00:00,102.6,96.5,18.2
84,2021-12-15 06:00:00,101.3,97.1,18.3
85,2021-12-15 07:00:00,105.6,97.2,18.5
86,2021-12-15 08:00:00,119.4,95.6,18.8
87,2021-12-15 09:00:00,135.1,91.7,19.7
88,2021-12-15 10:00:00,131.1,85.7,20.7
89,2021-12-15 11:00:00,121.0,78.2,22.1
90,2021-12-15 12:00:00,124.7,74.4,23.0
91,2021-12-15 13:00:00,122.9,75.0,23.1
92,2021-12-15 14:00:00,156.5,77.6,22.5
93,2021-12-15 15:00:00,202.7,79.6,22.1
94,2021-12-15 16:00:00,197.2,78.4,22.2
95,2021-12-15 17:00:00,185.0,80.2,21.7
96,2021-12-15 18:00:00,185.0,82.8,21.2
97,2021-12-15 19:00:00,213.7,84.6,20.9
98,2021-12-15 20:00:00,211.6,85.2,21.0
99,2021-12-15 21:00:00,202.3,86.3,20.9
100,2021-12-15 22:00:00,207.6,87.9,20.8
101,2021-12-15 23:00:00,208.2,88.6,20.8
102,2021-12-16 00:00:00,201.8,89.4,20.7
103,2021-12-16 01:00:00,155.9,93.2,20.3
104,2021-12-16 02:00:00,85.9,97.5,19.9
105,2021-12-16 03:00:00,65.2,98.5,19.8
106,2021-12-16 04:00:00,65.4,99.2,19.7
107,2021-12-16 05:00:00,66.7,99.1,19.9
108,2021-12-16 06:00:00,72.2,99.0,19.8
109,2021-12-16 07:00:00,85.3,99.0,19.4
110,2021-12-16 08:00:00,96.8,97.3,19.9
111,2021-12-16 09:00:00,142.2,93.2,20.5
112,2021-12-16 10:00:00,134.5,85.0,22.0
113,2021-12-16 11:00:00,162.3,82.0,22.7
114,2021-12-16 12:00:00,188.5,78.8,23.1
115,2021-12-16 13:00:00,191.4,74.9,24.0
116,2021-12-16 14:00:00,187.9,72.2,24.4
117,2021-12-16 15:00:00,164.0,68.0,25.2
118,2021-12-16 16:00:00,159.4,68.4,25.0
119,2021-12-16 17:00:00,149.3,68.4,24.7
120,2021-12-16 18:00:00,145.3,76.9,23.3
121,2021-12-16 19:00:00,147.1,81.3,22.4
122,2021-12-16 20:00:00,163.3,83.4,22.1
123,2021-12-16 21:00:00,175.8,82.9,22.2
124,2021-12-16 22:00:00,194.4,83.9,22.2
125,2021-12-16 23:00:00,114.8,91.0,22.0
126,2021-12-17 00:00:00,74.4,94.3,22.0
127,2021-12-17 01:00:00,72.4,95.0,22.0
128,2021-12-17 02:00:00,108.1,93.2,21.7
129,2021-12-17 03:00:00,141.4,92.5,21.4
130,2021-12-17 04:00:00,151.9,91.6,21.1
131,2021-12-17 05:00:00,131.1,92.2,20.8
132,2021-12-17 06:00:00,88.4,92.7,20.3
133,2021-12-17 07:00:00,81.7,92.9,20.3
134,2021-12-17 08:00:00,82.2,88.4,20.7
135,2021-12-17 09:00:00,92.0,83.5,21.8
136,2021-12-17 10:00:00,100.2,77.4,23.1
137,2021-12-17 11:00:00,81.6,68.4,24.4
138,2021-12-17 12:00:00,83.5,65.5,25.1
139,2021-12-17 13:00:00,84.6,62.9,25.5
140,2021-12-17 14:00:00,73.3,59.2,25.7
141,2021-12-17 15:00:00,70.3,58.9,25.8
142,2021-12-17 16:00:00,69.3,59.9,25.4
143,2021-12-17 17:00:00,65.7,59.2,24.8
144,2021-12-17 18:00:00,71.6,61.7,23.8
145,2021-12-17 19:00:00,61.6,62.3,23.4
146,2021-12-17 20:00:00,53.5,63.2,22.8
147,2021-12-17 21:00:00,49.5,63.8,22.2
148,2021-12-17 22:00:00,34.6,61.0,21.6
149,2021-12-17 23:00:00,36.2,62.5,20.9
150,2021-12-18 00:00:00,37.1,63.2,20.3
151,2021-12-18 01:00:00,27.7,63.6,19.9
152,2021-12-18 02:00:00,25.2,63.4,19.7
153,2021-12-18 03:00:00,23.1,61.9,19.4
154,2021-12-18 04:00:00,25.4,62.5,19.4
155,2021-12-18 05:00:00,28.5,63.1,18.9
156,2021-12-18 06:00:00,27.4,63.0,18.5
157,2021-12-18 07:00:00,28.9,61.2,18.4
158,2021-12-18 08:00:00,32.4,59.9,18.3
159,2021-12-18 09:00:00,30.1,55.5,18.7
160,2021-12-18 10:00:00,35.6,51.9,19.6
161,2021-12-18 11:00:00,36.4,49.9,20.2
162,2021-12-18 12:00:00,37.3,48.4,21.1
163,2021-12-18 13:00:00,35.6,46.8,21.9
164,2021-12-18 14:00:00,33.7,46.8,22.0
165,2021-12-18 15:00:00,38.6,48.7,22.2
166,2021-12-18 16:00:00,40.7,48.6,22.8
167,2021-12-18 17:00:00,46.2,51.6,22.2
