,time,PM2.5,humidity,temperature
0,2021-12-15 18:00:00,63.3,99.0,21.3
1,2021-12-15 19:00:00,91.8,99.0,21.0
2,2021-12-15 20:00:00,81.4,99.0,21.3
3,2021-12-15 21:00:00,75.8,99.0,21.7
4,2021-12-15 22:00:00,75.5,99.0,22.1
5,2021-12-15 23:00:00,63.5,99.0,22.4
6,2021-12-16 00:00:00,53.0,99.0,21.7
7,2021-12-16 01:00:00,29.0,99.0,21.4
8,2021-12-16 02:00:00,25.4,99.0,21.3
9,2021-12-16 03:00:00,26.6,99.1,21.2
10,2021-12-16 04:00:00,42.9,92.3,20.8
11,2021-12-16 05:00:00,41.8,92.8,21.1
12,2021-12-16 06:00:00,32.0,97.3,21.4
13,2021-12-16 07:00:00,39.9,97.9,21.2
14,2021-12-16 08:00:00,52.2,99.0,21.2
15,2021-12-16 09:00:00,46.6,99.0,21.6
16,2021-12-16 10:00:00,40.5,99.0,22.6
17,2021-12-16 11:00:00,45.8,99.0,23.0
18,2021-12-16 12:00:00,50.6,99.0,24.2
19,2021-12-16 13:00:00,50.3,99.0,24.6
20,2021-12-16 14:00:00,45.0,99.0,25.2
21,2021-12-16 15:00:00,36.4,99.0,25.3
22,2021-12-16 16:00:00,34.6,99.1,25.3
23,2021-12-16 17:00:00,37.2,99.0,24.9
24,2021-12-16 18:00:00,46.2,99.0,23.9
25,2021-12-16 19:00:00,45.6,99.0,22.8
26,2021-12-16 20:00:00,52.0,99.0,22.4
27,2021-12-16 21:00:00,82.6,99.0,22.5
28,2021-12-16 22:00:00,64.3,99.0,22.7
29,2021-12-16 23:00:00,48.9,94.4,23.2
30,2021-12-17 00:00:00,36.6,93.9,22.7
31,2021-12-17 01:00:00,45.9,97.4,22.4
32,2021-12-17 02:00:00,57.5,99.0,22.2
33,2021-12-17 03:00:00,54.8,99.0,22.1
34,2021-12-17 04:00:00,48.9,99.0,21.8
35,2021-12-17 05:00:00,49.4,99.0,21.5
36,2021-12-17 06:00:00,51.2,98.7,20.9
37,2021-12-17 07:00:00,47.5,98.6,20.9
38,2021-12-17 08:00:00,40.8,99.0,21.4
39,2021-12-17 09:00:00,36.1,99.0,22.5
40,2021-12-17 10:00:00,26.7,99.0,23.7
41,2021-12-17 11:00:00,18.6,98.9,25.1
42,2021-12-17 12:00:00,20.6,98.0,25.5
43,2021-12-17 13:00:00,21.2,95.4,25.9
44,2021-12-17 14:00:00,20.3,91.8,26.1
45,2021-12-17 15:00:00,19.6,92.0,26.2
46,2021-12-17 16:00:00,19.2,92.2,25.7
47,2021-12-17 17:00:00,18.6,93.5,24.7
48,2021-12-17 18:00:00,16.8,96.3,23.8
49,2021-12-17 19:00:00,14.5,97.3,23.3
50,2021-12-17 20:00:00,14.1,98.2,22.6
51,2021-12-17 21:00:00,11.3,97.5,22.1
52,2021-12-17 22:00:00,8.3,94.5,21.4
53,2021-12-17 23:00:00,9.0,98.4,20.6
54,2021-12-18 00:00:00,14.5,99.2,20.0
55,2021-12-18 01:00:00,8.8,99.0,19.4
56,2021-12-18 02:00:00,7.5,99.0,19.3
57,2021-12-18 03:00:00,6.8,99.2,19.2
58,2021-12-18 04:00:00,9.0,99.0,19.2
59,2021-12-18 05:00:00,7.3,99.0,18.4
60,2021-12-18 06:00:00,7.9,99.0,18.3
61,2021-12-18 07:00:00,10.2,99.0,18.0
62,2021-12-18 08:00:00,7.5,97.9,18.1
63,2021-12-18 09:00:00,10.4,89.8,18.9
64,2021-12-18 10:00:00,14.2,81.6,19.7
65,2021-12-18 11:00:00,15.5,78.1,20.6
66,2021-12-18 12:00:00,15.1,75.7,21.5
67,2021-12-18 13:00:00,15.7,72.9,22.0
68,2021-12-18 14:00:00,15.9,73.1,22.2
69,2021-12-18 15:00:00,16.4,75.8,22.4
70,2021-12-18 16:00:00,16.4,77.2,22.3
71,2021-12-18 17:00:00,18.2,79.9,21.9
72,2021-12-18 18:00:00,24.8,86.2,21.2
73,2021-12-18 19:00:00,29.5,91.1,20.9
