,time,PM2.5,humidity,temperature
0,2021-12-19 18:00:00,71.1,51.0,20.4
1,2021-12-19 19:00:00,87.4,53.9,20.3
2,2021-12-19 20:00:00,90.4,56.2,20.2
3,2021-12-19 21:00:00,92.0,57.1,20.1
4,2021-12-19 22:00:00,108.0,59.0,19.9
5,2021-12-19 23:00:00,113.4,58.4,19.9
6,2021-12-20 00:00:00,121.5,61.2,19.7
7,2021-12-20 01:00:00,118.9,62.3,19.5
8,2021-12-20 02:00:00,134.3,62.0,19.3
9,2021-12-20 03:00:00,132.7,57.0,19.2
10,2021-12-20 04:00:00,112.7,59.3,19.0
11,2021-12-20 05:00:00,87.7,60.6,18.8
12,2021-12-20 06:00:00,83.9,67.0,18.6
13,2021-12-20 07:00:00,94.3,70.4,18.5
14,2021-12-20 08:00:00,80.0,61.0,18.9
15,2021-12-20 09:00:00,82.0,56.8,19.3
16,2021-12-20 10:00:00,89.9,54.3,20.1
17,2021-12-20 11:00:00,83.5,51.6,20.6
18,2021-12-20 12:00:00,92.3,51.6,20.7
19,2021-12-20 13:00:00,75.4,49.8,21.2
20,2021-12-20 14:00:00,55.5,47.9,21.8
21,2021-12-20 15:00:00,62.6,48.5,22.1
22,2021-12-20 16:00:00,61.7,49.6,21.9
23,2021-12-20 17:00:00,67.8,53.0,21.2
24,2021-12-20 18:00:00,61.9,66.0,19.6
25,2021-12-20 19:00:00,64.0,69.8,19.1
26,2021-12-20 20:00:00,59.8,70.9,18.6
27,2021-12-20 21:00:00,54.6,70.9,18.2
28,2021-12-20 22:00:00,49.9,72.6,17.9
29,2021-12-20 23:00:00,43.3,75.9,17.4
30,2021-12-21 00:00:00,35.6,79.4,16.9
31,2021-12-21 01:00:00,42.5,83.8,16.4
32,2021-12-21 02:00:00,41.8,84.6,16.2
33,2021-12-21 03:00:00,40.3,82.8,16.2
34,2021-12-21 04:00:00,27.5,82.3,16.0
35,2021-12-21 05:00:00,26.6,81.6,16.1
36,2021-12-21 06:00:00,32.8,80.7,16.4
37,2021-12-21 07:00:00,38.9,77.5,16.7
38,2021-12-21 08:00:00,35.1,74.3,17.2
39,2021-12-21 09:00:00,40.6,72.6,17.8
40,2021-12-21 10:00:00,59.0,74.4,18.3
41,2021-12-21 11:00:00,66.7,71.3,19.0
42,2021-12-21 12:00:00,68.6,66.6,20.1
43,2021-12-21 13:00:00,73.6,63.2,20.8
44,2021-12-21 14:00:00,72.5,61.6,21.1
45,2021-12-21 15:00:00,75.7,60.2,21.6
46,2021-12-21 16:00:00,91.4,60.0,21.8
47,2021-12-21 17:00:00,78.8,60.8,21.7
48,2021-12-21 18:00:00,93.6,61.2,21.5
49,2021-12-21 19:00:00,98.6,62.2,21.2
50,2021-12-21 20:00:00,99.3,62.3,21.2
51,2021-12-21 21:00:00,130.1,64.4,20.9
52,2021-12-21 22:00:00,125.4,68.3,20.3
53,2021-12-21 23:00:00,119.2,69.3,20.0
54,2021-12-22 00:00:00,121.6,70.7,20.0
