,time,PM2.5,humidity,temperature
0,2021-07-18 10:00:00,8.6,91.4,32.2
1,2021-07-18 11:00:00,13.7,86.0,33.6
2,2021-07-18 12:00:00,15.7,81.0,34.6
3,2021-07-18 13:00:00,9.5,85.4,32.3
4,2021-07-18 14:00:00,3.0,90.1,29.7
5,2021-07-18 15:00:00,4.1,96.5,28.5
6,2021-07-18 16:00:00,3.5,100.0,27.3
7,2021-07-18 17:00:00,6.1,100.0,27.7
8,2021-07-18 18:00:00,4.2,100.0,27.4
9,2021-07-18 19:00:00,4.2,99.6,27.4
10,2021-07-18 20:00:00,5.6,99.2,27.4
11,2021-07-18 21:00:00,9.0,100.0,26.9
12,2021-07-18 22:00:00,9.0,100.0,27.0
13,2021-07-18 23:00:00,9.9,100.0,26.7
14,2021-07-19 00:00:00,10.4,100.0,26.8
15,2021-07-19 01:00:00,15.7,100.0,26.8
16,2021-07-19 02:00:00,15.8,100.0,26.7
17,2021-07-19 03:00:00,186.49,100.0,26.6
18,2021-07-19 04:00:00,111.44,100.0,26.4
19,2021-07-19 05:00:00,18.3,100.0,26.1
20,2021-07-19 06:00:00,78.42,100.0,26.2
21,2021-07-19 07:00:00,15.8,100.0,27.0
22,2021-07-19 08:00:00,12.2,99.0,28.2
23,2021-07-19 09:00:00,13.8,91.4,30.0
24,2021-07-19 10:00:00,16.9,86.1,31.3
25,2021-07-19 11:00:00,17.6,84.8,31.6
26,2021-07-19 12:00:00,39.36,81.8,32.6
27,2021-07-19 13:00:00,42.74,81.8,32.9
28,2021-07-19 14:00:00,19.7,92.8,30.9
29,2021-07-19 15:00:00,16.5,89.2,32.9
30,2021-07-19 16:00:00,14.3,76.8,35.6
31,2021-07-19 17:00:00,13.9,77.3,34.6
32,2021-07-19 18:00:00,18.0,77.6,34.4
33,2021-07-19 19:00:00,13.6,97.5,30.5
34,2021-07-19 20:00:00,13.8,100.0,30.3
35,2021-07-19 21:00:00,13.4,98.9,30.5
36,2021-07-19 22:00:00,13.7,99.7,29.3
37,2021-07-19 23:00:00,11.5,100.0,28.8
38,2021-07-20 00:00:00,9.5,100.0,28.5
39,2021-07-20 01:00:00,9.0,100.0,28.0
40,2021-07-20 02:00:00,7.0,100.0,27.4
41,2021-07-20 03:00:00,6.4,100.0,27.3
42,2021-07-20 04:00:00,6.1,100.0,27.6
43,2021-07-20 05:00:00,9.3,100.0,27.6
44,2021-07-20 06:00:00,12.4,100.0,27.8
45,2021-07-20 07:00:00,12.5,100.0,28.3
46,2021-07-20 08:00:00,10.8,98.6,29.1
47,2021-07-20 09:00:00,13.0,95.1,29.8
48,2021-07-20 10:00:00,18.0,91.5,31.2
49,2021-07-20 11:00:00,57.55,88.2,32.3
50,2021-07-20 12:00:00,50.02,82.6,33.4
51,2021-07-20 13:00:00,45.54,77.9,34.7
52,2021-07-20 14:00:00,40.21,74.6,35.3
53,2021-07-20 15:00:00,44.82,76.8,34.7
54,2021-07-20 16:00:00,9.5,96.1,28.4
55,2021-07-20 17:00:00,6.0,98.9,29.1
56,2021-07-20 18:00:00,12.9,97.8,30.3
57,2021-07-20 19:00:00,10.4,94.5,30.3
58,2021-07-20 20:00:00,10.6,99.3,29.3
59,2021-07-20 21:00:00,11.9,99.9,28.6
60,2021-07-20 22:00:00,10.4,100.0,27.8
61,2021-07-20 23:00:00,10.0,100.0,27.4
62,2021-07-21 00:00:00,10.8,100.0,27.2
63,2021-07-21 01:00:00,7.9,100.0,26.8
64,2021-07-21 02:00:00,6.4,100.0,26.7
65,2021-07-21 03:00:00,8.4,100.0,26.5
66,2021-07-21 04:00:00,11.9,100.0,26.3
67,2021-07-21 05:00:00,10.6,100.0,26.1
68,2021-07-21 06:00:00,9.0,100.0,26.2
69,2021-07-21 07:00:00,9.1,100.0,26.4
70,2021-07-21 08:00:00,9.4,100.0,27.0
71,2021-07-21 09:00:00,7.4,100.0,27.8
72,2021-07-21 10:00:00,6.0,98.3,29.2
73,2021-07-21 11:00:00,6.7,91.0,30.9
74,2021-07-21 12:00:00,4.5,82.8,32.2
75,2021-07-21 13:00:00,5.3,78.0,33.5
76,2021-07-21 14:00:00,4.0,73.2,34.6
77,2021-07-21 15:00:00,2.4,67.8,35.7
78,2021-07-21 16:00:00,2.4,64.5,37.1
79,2021-07-21 17:00:00,3.5,68.8,35.9
80,2021-07-21 18:00:00,4.7,74.0,34.7
81,2021-07-21 19:00:00,3.5,90.1,30.3
82,2021-07-21 20:00:00,5.3,100.0,27.0
83,2021-07-21 21:00:00,3.5,100.0,27.9
84,2021-07-21 22:00:00,2.4,100.0,28.1
85,2021-07-21 23:00:00,3.3,100.0,28.2
86,2021-07-22 00:00:00,4.0,100.0,28.3
87,2021-07-22 01:00:00,5.8,100.0,28.2
88,2021-07-22 02:00:00,9.8,100.0,28.0
