,time,PM2.5,humidity,temperature
0,2021-07-18 10:00:00,6.5,86.2,33.8
1,2021-07-18 11:00:00,7.8,84.1,34.4
2,2021-07-18 12:00:00,8.6,79.7,35.5
3,2021-07-18 13:00:00,7.8,83.2,33.9
4,2021-07-18 14:00:00,4.3,89.6,30.4
5,2021-07-18 15:00:00,5.0,91.3,29.8
6,2021-07-18 16:00:00,4.0,97.4,28.7
7,2021-07-18 17:00:00,3.4,97.9,28.1
8,2021-07-18 18:00:00,6.5,97.5,27.8
9,2021-07-18 19:00:00,7.8,96.9,27.9
10,2021-07-18 20:00:00,4.8,95.1,28.3
11,2021-07-18 21:00:00,4.1,91.9,28.5
12,2021-07-18 22:00:00,7.1,94.4,28.4
13,2021-07-18 23:00:00,8.5,94.8,28.7
14,2021-07-19 00:00:00,9.1,99.7,28.1
15,2021-07-19 01:00:00,10.2,100.0,27.9
16,2021-07-19 02:00:00,112.95,100.0,27.8
17,2021-07-19 03:00:00,75.8,100.0,27.8
18,2021-07-19 04:00:00,18.0,100.0,27.5
19,2021-07-19 05:00:00,17.3,100.0,27.4
20,2021-07-19 06:00:00,15.4,100.0,27.2
21,2021-07-19 07:00:00,13.9,99.4,27.9
22,2021-07-19 08:00:00,12.3,92.7,29.6
23,2021-07-19 09:00:00,11.7,78.1,33.4
24,2021-07-19 10:00:00,11.4,72.7,35.2
25,2021-07-19 11:00:00,16.0,74.0,34.8
26,2021-07-19 12:00:00,16.5,73.3,35.2
27,2021-07-19 13:00:00,12.5,71.9,35.5
28,2021-07-19 14:00:00,15.2,74.1,35.2
29,2021-07-19 15:00:00,14.3,74.4,35.4
30,2021-07-19 16:00:00,15.0,70.7,35.5
31,2021-07-19 17:00:00,19.6,72.2,35.2
32,2021-07-19 18:00:00,19.6,76.5,34.5
33,2021-07-19 19:00:00,14.0,87.7,32.6
34,2021-07-19 20:00:00,13.2,89.3,32.2
35,2021-07-19 21:00:00,12.1,90.4,31.8
36,2021-07-19 22:00:00,15.2,89.0,31.9
37,2021-07-19 23:00:00,15.7,90.5,31.7
38,2021-07-20 00:00:00,16.2,91.2,31.4
39,2021-07-20 01:00:00,113.3,93.8,30.9
40,2021-07-20 02:00:00,83.53,94.5,30.5
41,2021-07-20 03:00:00,18.3,94.5,30.4
42,2021-07-20 04:00:00,77.09,95.0,30.2
43,2021-07-20 05:00:00,14.7,94.4,29.8
44,2021-07-20 06:00:00,16.6,94.3,29.9
45,2021-07-20 07:00:00,52.54,91.7,30.9
46,2021-07-20 08:00:00,51.3,88.8,31.9
47,2021-07-20 09:00:00,53.4,81.4,34.1
48,2021-07-20 10:00:00,53.68,78.8,35.1
49,2021-07-20 11:00:00,52.15,76.6,35.8
50,2021-07-20 12:00:00,44.8,74.5,35.6
51,2021-07-20 13:00:00,40.99,71.1,36.2
52,2021-07-20 14:00:00,47.84,71.0,36.0
