,time,PM2.5,humidity,temperature
0,2021-07-28 10:00:00,11.5,77.8,33.3
1,2021-07-28 11:00:00,6.9,71.3,34.3
2,2021-07-28 12:00:00,5.8,66.7,35.7
3,2021-07-28 13:00:00,5.3,61.4,37.5
4,2021-07-28 14:00:00,7.7,57.6,38.9
5,2021-07-28 15:00:00,3.8,56.8,38.7
6,2021-07-28 16:00:00,2.7,56.8,38.2
7,2021-07-28 17:00:00,5.9,61.9,36.3
8,2021-07-28 18:00:00,18.6,72.6,33.9
9,2021-07-28 19:00:00,12.9,77.3,32.4
10,2021-07-28 20:00:00,9.0,81.6,31.4
11,2021-07-28 21:00:00,2.9,83.0,30.3
12,2021-07-28 22:00:00,1.9,79.2,30.1
13,2021-07-28 23:00:00,18.8,85.2,30.5
14,2021-07-29 00:00:00,61.56,88.6,30.5
15,2021-07-29 01:00:00,12.4,87.8,30.1
16,2021-07-29 02:00:00,71.68,92.3,29.8
17,2021-07-29 03:00:00,110.89,93.7,29.7
18,2021-07-29 04:00:00,66.47,91.4,29.5
19,2021-07-29 05:00:00,19.2,92.3,29.1
20,2021-07-29 06:00:00,12.6,91.3,29.2
21,2021-07-29 07:00:00,12.9,89.9,29.8
22,2021-07-29 08:00:00,18.4,90.9,30.3
23,2021-07-29 09:00:00,55.94,87.7,31.3
24,2021-07-29 10:00:00,59.53,84.5,32.2
25,2021-07-29 11:00:00,63.43,79.8,33.3
26,2021-07-29 12:00:00,38.7,73.6,34.8
27,2021-07-29 13:00:00,29.62,70.3,35.9
28,2021-07-29 14:00:00,16.7,65.1,37.3
29,2021-07-29 15:00:00,16.0,67.1,36.7
30,2021-07-29 16:00:00,14.2,81.5,33.1
31,2021-07-29 17:00:00,4.7,100.0,27.8
32,2021-07-29 18:00:00,3.7,100.0,27.8
33,2021-07-29 19:00:00,2.4,100.0,27.8
34,2021-07-29 20:00:00,5.1,100.0,28.0
35,2021-07-29 21:00:00,8.7,100.0,28.2
36,2021-07-29 22:00:00,10.8,100.0,28.6
37,2021-07-29 23:00:00,9.9,100.0,28.6
38,2021-07-30 00:00:00,10.8,100.0,28.5
39,2021-07-30 01:00:00,8.4,100.0,28.2
40,2021-07-30 02:00:00,8.2,100.0,28.0
41,2021-07-30 03:00:00,6.2,99.2,28.5
42,2021-07-30 04:00:00,7.7,98.8,28.6
43,2021-07-30 05:00:00,14.1,99.2,28.6
44,2021-07-30 06:00:00,18.8,100.0,28.3
45,2021-07-30 07:00:00,9.5,100.0,28.6
46,2021-07-30 08:00:00,84.46,99.2,29.5
47,2021-07-30 09:00:00,97.78,90.7,31.0
48,2021-07-30 10:00:00,96.74,85.4,32.3
49,2021-07-30 11:00:00,84.92,81.4,33.1
50,2021-07-30 12:00:00,60.71,76.4,34.6
51,2021-07-30 13:00:00,50.2,72.0,35.7
52,2021-07-30 14:00:00,38.07,66.6,37.6
53,2021-07-30 15:00:00,34.9,67.0,37.3
54,2021-07-30 16:00:00,34.82,70.6,36.3
55,2021-07-30 17:00:00,,,
56,2021-07-30 18:00:00,38.17,72.8,35.7
57,2021-07-30 19:00:00,,,
58,2021-07-30 20:00:00,4.1,97.0,29.4
59,2021-07-30 21:00:00,4.2,97.7,29.6
60,2021-07-30 22:00:00,5.0,98.1,29.6
61,2021-07-30 23:00:00,4.2,99.3,29.6
62,2021-07-31 00:00:00,3.6,98.8,29.8
63,2021-07-31 01:00:00,4.0,98.6,29.3
64,2021-07-31 02:00:00,2.9,99.5,29.2
65,2021-07-31 03:00:00,2.4,99.9,29.1
66,2021-07-31 04:00:00,2.5,100.0,28.9
67,2021-07-31 05:00:00,3.1,97.8,29.2
68,2021-07-31 06:00:00,8.0,96.9,29.4
69,2021-07-31 07:00:00,14.8,94.4,29.7
70,2021-07-31 08:00:00,15.5,90.8,30.4
71,2021-07-31 09:00:00,18.7,87.9,31.4
72,2021-07-31 10:00:00,16.3,82.8,33.1
73,2021-07-31 11:00:00,14.8,75.9,34.8
74,2021-07-31 12:00:00,16.7,71.9,35.9
75,2021-07-31 13:00:00,15.2,68.9,36.9
76,2021-07-31 14:00:00,13.8,64.3,38.7
77,2021-07-31 15:00:00,9.8,64.2,38.8
78,2021-07-31 16:00:00,8.6,72.4,36.8
79,2021-07-31 17:00:00,6.2,73.8,36.3
80,2021-07-31 18:00:00,12.0,79.8,35.0
81,2021-07-31 19:00:00,13.0,84.1,33.6
82,2021-07-31 20:00:00,15.7,84.5,33.1
83,2021-07-31 21:00:00,18.4,84.2,33.0
84,2021-07-31 22:00:00,47.98,88.9,32.8
85,2021-07-31 23:00:00,13.4,92.8,32.5
86,2021-08-01 00:00:00,7.8,93.8,32.4
87,2021-08-01 01:00:00,5.4,90.8,31.7
88,2021-08-01 02:00:00,5.4,97.4,26.6
89,2021-08-01 03:00:00,5.4,100.0,26.3
90,2021-08-01 04:00:00,5.4,100.0,26.3
91,2021-08-01 05:00:00,5.4,100.0,26.4
92,2021-08-01 06:00:00,5.4,100.0,26.6
93,2021-08-01 07:00:00,5.4,100.0,26.4
94,2021-08-01 08:00:00,5.4,99.4,26.6
95,2021-08-01 09:00:00,5.4,98.3,27.4
96,2021-08-01 10:00:00,5.4,92.7,28.5
97,2021-08-01 11:00:00,5.4,90.6,29.1
98,2021-08-01 12:00:00,5.4,88.2,29.8
99,2021-08-01 13:00:00,1.4,89.1,30.1
100,2021-08-01 14:00:00,1.3,91.3,30.0
101,2021-08-01 15:00:00,1.2,93.8,29.8
102,2021-08-01 16:00:00,1.6,93.9,29.8
103,2021-08-01 17:00:00,1.2,96.5,29.5
104,2021-08-01 18:00:00,1.7,94.5,29.5
105,2021-08-01 19:00:00,1.6,98.1,29.0
106,2021-08-01 20:00:00,1.4,99.1,28.6
