,time,PM2.5,humidity,temperature
0,2021-08-18 10:00:00,13.0,70.7,33.3
1,2021-08-18 11:00:00,9.3,66.2,35.2
2,2021-08-18 12:00:00,6.6,58.2,36.9
3,2021-08-18 13:00:00,5.8,54.8,37.8
4,2021-08-18 14:00:00,5.3,53.8,38.0
5,2021-08-18 15:00:00,5.1,53.6,38.4
6,2021-08-18 16:00:00,5.4,55.6,37.4
7,2021-08-18 17:00:00,9.0,58.0,36.9
8,2021-08-18 18:00:00,18.9,64.3,35.1
9,2021-08-18 19:00:00,10.5,79.5,31.6
10,2021-08-18 20:00:00,2.6,85.5,28.1
11,2021-08-18 21:00:00,1.3,100.0,25.0
12,2021-08-18 22:00:00,1.2,97.6,25.8
13,2021-08-18 23:00:00,1.2,98.7,25.9
14,2021-08-19 00:00:00,1.2,92.5,26.7
15,2021-08-19 01:00:00,1.2,94.9,26.6
16,2021-08-19 02:00:00,1.9,95.9,26.7
17,2021-08-19 03:00:00,3.7,97.6,26.7
18,2021-08-19 04:00:00,6.2,97.5,26.6
19,2021-08-19 05:00:00,7.7,97.2,26.5
20,2021-08-19 06:00:00,4.1,98.2,26.4
21,2021-08-19 07:00:00,6.5,93.1,27.2
22,2021-08-19 08:00:00,6.4,83.2,29.0
23,2021-08-19 09:00:00,8.6,76.6,30.7
24,2021-08-19 10:00:00,8.4,69.2,32.5
25,2021-08-19 11:00:00,13.0,62.7,34.4
26,2021-08-19 12:00:00,11.5,58.8,35.7
27,2021-08-19 13:00:00,7.0,57.3,36.1
28,2021-08-19 14:00:00,14.8,59.2,36.4
29,2021-08-19 15:00:00,7.5,60.1,36.3
30,2021-08-19 16:00:00,6.7,59.4,36.8
31,2021-08-19 17:00:00,6.7,60.8,36.3
32,2021-08-19 18:00:00,8.2,68.1,34.4
33,2021-08-19 19:00:00,12.0,77.2,32.4
34,2021-08-19 20:00:00,15.9,80.3,31.8
35,2021-08-19 21:00:00,41.5,84.0,31.4
36,2021-08-19 22:00:00,8.1,86.7,30.7
37,2021-08-19 23:00:00,7.8,86.9,30.5
38,2021-08-20 00:00:00,10.1,88.4,30.3
39,2021-08-20 01:00:00,8.8,88.1,30.1
40,2021-08-20 02:00:00,8.0,90.1,29.8
41,2021-08-20 03:00:00,14.5,93.7,29.4
42,2021-08-20 04:00:00,11.9,94.3,29.2
43,2021-08-20 05:00:00,9.7,94.4,29.1
44,2021-08-20 06:00:00,7.7,93.4,28.5
45,2021-08-20 07:00:00,9.2,91.7,28.4
