,time,PM2.5,humidity,temperature
0,2021-09-03 10:00:00,32.52,71.0,31.5
1,2021-09-03 11:00:00,30.54,70.4,31.6
2,2021-09-03 12:00:00,34.04,68.7,32.2
3,2021-09-03 13:00:00,33.23,63.8,33.7
4,2021-09-03 14:00:00,25.92,56.9,35.2
5,2021-09-03 15:00:00,25.43,58.4,34.9
6,2021-09-03 16:00:00,18.6,57.9,35.0
7,2021-09-03 17:00:00,24.99,61.7,33.7
8,2021-09-03 18:00:00,18.4,62.5,33.2
9,2021-09-03 19:00:00,31.61,67.7,32.3
10,2021-09-03 20:00:00,47.92,73.5,31.3
11,2021-09-03 21:00:00,48.73,76.9,30.3
12,2021-09-03 22:00:00,42.17,78.4,30.0
13,2021-09-03 23:00:00,17.9,78.1,29.8
14,2021-09-04 00:00:00,14.3,78.0,29.6
15,2021-09-04 01:00:00,12.2,79.1,29.6
16,2021-09-04 02:00:00,13.1,80.1,29.4
17,2021-09-04 03:00:00,16.3,81.9,29.2
18,2021-09-04 04:00:00,14.9,82.8,29.1
19,2021-09-04 05:00:00,17.4,83.3,28.8
20,2021-09-04 06:00:00,40.08,83.3,28.7
21,2021-09-04 07:00:00,41.09,83.0,29.0
22,2021-09-04 08:00:00,15.8,79.6,29.8
23,2021-09-04 09:00:00,11.4,73.7,31.0
24,2021-09-04 10:00:00,8.6,68.2,32.0
25,2021-09-04 11:00:00,9.2,65.8,32.8
26,2021-09-04 12:00:00,12.3,64.4,33.6
27,2021-09-04 13:00:00,15.9,69.6,32.8
28,2021-09-04 14:00:00,13.9,72.0,31.9
29,2021-09-04 15:00:00,14.0,74.6,32.4
30,2021-09-04 16:00:00,6.5,59.6,34.9
31,2021-09-04 17:00:00,6.6,58.9,34.4
32,2021-09-04 18:00:00,8.0,64.2,33.2
33,2021-09-04 19:00:00,11.4,73.0,31.7
34,2021-09-04 20:00:00,11.1,74.7,31.0
35,2021-09-04 21:00:00,5.4,77.9,30.4
36,2021-09-04 22:00:00,3.8,80.8,30.0
37,2021-09-04 23:00:00,3.1,82.1,29.9
38,2021-09-05 00:00:00,2.6,81.7,29.8
39,2021-09-05 01:00:00,3.4,82.3,29.7
40,2021-09-05 02:00:00,3.4,82.7,29.7
41,2021-09-05 03:00:00,2.9,82.4,29.7
42,2021-09-05 04:00:00,5.6,84.8,29.3
43,2021-09-05 05:00:00,2.9,86.2,27.9
44,2021-09-05 06:00:00,1.2,87.1,27.6
45,2021-09-05 07:00:00,3.0,86.1,28.1
46,2021-09-05 08:00:00,4.1,84.7,28.5
47,2021-09-05 09:00:00,3.8,86.7,27.9
48,2021-09-05 10:00:00,3.8,88.4,25.0
49,2021-09-05 11:00:00,3.8,83.8,26.4
50,2021-09-05 12:00:00,3.8,79.5,28.1
51,2021-09-05 13:00:00,1.0,75.5,30.0
52,2021-09-05 14:00:00,1.7,71.2,31.2
53,2021-09-05 15:00:00,2.1,68.4,31.9
54,2021-09-05 16:00:00,1.9,65.9,32.6
55,2021-09-05 17:00:00,2.4,67.8,32.1
56,2021-09-05 18:00:00,2.2,75.3,30.4
57,2021-09-05 19:00:00,4.5,78.4,29.6
58,2021-09-05 20:00:00,3.0,80.0,29.2
59,2021-09-05 21:00:00,2.9,80.2,29.1
60,2021-09-05 22:00:00,2.7,80.4,29.0
61,2021-09-05 23:00:00,2.8,80.5,28.7
62,2021-09-06 00:00:00,5.3,81.5,28.6
