,time,PM2.5,humidity,temperature
0,2021-09-26 10:00:00,,,
1,2021-09-26 11:00:00,,,
2,2021-09-26 12:00:00,,,
3,2021-09-26 13:00:00,,,
4,2021-09-26 14:00:00,,,
5,2021-09-26 15:00:00,,,
6,2021-09-26 16:00:00,,,
7,2021-09-26 17:00:00,,,
8,2021-09-26 18:00:00,,,
9,2021-09-26 19:00:00,,,
10,2021-09-26 20:00:00,,,
11,2021-09-26 21:00:00,,,
12,2021-09-26 22:00:00,,,
13,2021-09-26 23:00:00,,,
14,2021-09-27 00:00:00,,,
15,2021-09-27 01:00:00,,,
16,2021-09-27 02:00:00,,,
17,2021-09-27 03:00:00,,,
18,2021-09-27 04:00:00,,,
19,2021-09-27 05:00:00,,,
20,2021-09-27 06:00:00,,,
21,2021-09-27 07:00:00,,,
22,2021-09-27 08:00:00,,,
23,2021-09-27 09:00:00,,,
24,2021-09-27 10:00:00,,,
25,2021-09-27 11:00:00,,,
26,2021-09-27 12:00:00,,,
27,2021-09-27 13:00:00,,,
28,2021-09-27 14:00:00,,,
29,2021-09-27 15:00:00,,,
30,2021-09-27 16:00:00,,,
31,2021-09-27 17:00:00,,,
32,2021-09-27 18:00:00,,,
33,2021-09-27 19:00:00,,,
34,2021-09-27 20:00:00,,,
35,2021-09-27 21:00:00,,,
36,2021-09-27 22:00:00,,,
37,2021-09-27 23:00:00,,,
38,2021-09-28 00:00:00,,,
39,2021-09-28 01:00:00,,,
40,2021-09-28 02:00:00,,,
41,2021-09-28 03:00:00,,,
42,2021-09-28 04:00:00,,,
43,2021-09-28 05:00:00,,,
44,2021-09-28 06:00:00,,,
45,2021-09-28 07:00:00,,,
46,2021-09-28 08:00:00,,,
47,2021-09-28 09:00:00,,,
48,2021-09-28 10:00:00,,,
49,2021-09-28 11:00:00,,,
50,2021-09-28 12:00:00,,,
51,2021-09-28 13:00:00,,,
52,2021-09-28 14:00:00,,,
53,2021-09-28 15:00:00,,,
54,2021-09-28 16:00:00,,,
55,2021-09-28 17:00:00,,,
56,2021-09-28 18:00:00,,,
57,2021-09-28 19:00:00,,,
58,2021-09-28 20:00:00,,,
59,2021-09-28 21:00:00,,,
60,2021-09-28 22:00:00,,,
61,2021-09-28 23:00:00,,,
62,2021-09-29 00:00:00,,,
63,2021-09-29 01:00:00,,,
64,2021-09-29 02:00:00,,,
65,2021-09-29 03:00:00,,,
66,2021-09-29 04:00:00,,,
67,2021-09-29 05:00:00,,,
68,2021-09-29 06:00:00,,,
69,2021-09-29 07:00:00,,,
70,2021-09-29 08:00:00,,,
71,2021-09-29 09:00:00,,,
72,2021-09-29 10:00:00,,,
73,2021-09-29 11:00:00,,,
74,2021-09-29 12:00:00,,,
75,2021-09-29 13:00:00,,,
76,2021-09-29 14:00:00,,,
77,2021-09-29 15:00:00,,,
78,2021-09-29 16:00:00,,,
79,2021-09-29 17:00:00,,,
80,2021-09-29 18:00:00,,,
81,2021-09-29 19:00:00,,,
82,2021-09-29 20:00:00,,,
83,2021-09-29 21:00:00,,,
84,2021-09-29 22:00:00,,,
85,2021-09-29 23:00:00,,,
86,2021-09-30 00:00:00,,,
87,2021-09-30 01:00:00,,,
88,2021-09-30 02:00:00,,,
89,2021-09-30 03:00:00,,,
90,2021-09-30 04:00:00,,,
91,2021-09-30 05:00:00,,,
92,2021-09-30 06:00:00,,,
93,2021-09-30 07:00:00,,,
94,2021-09-30 08:00:00,,,
95,2021-09-30 09:00:00,,,
96,2021-09-30 10:00:00,,,
97,2021-09-30 11:00:00,,,
98,2021-09-30 12:00:00,,,
99,2021-09-30 13:00:00,,,
100,2021-09-30 14:00:00,,,
101,2021-09-30 15:00:00,,,
102,2021-09-30 16:00:00,,,
103,2021-09-30 17:00:00,,,
104,2021-09-30 18:00:00,,,
105,2021-09-30 19:00:00,,,
106,2021-09-30 20:00:00,,,
107,2021-09-30 21:00:00,,,
108,2021-09-30 22:00:00,,,
109,2021-09-30 23:00:00,,,
110,2021-10-01 00:00:00,,,
111,2021-10-01 01:00:00,,,
112,2021-10-01 02:00:00,,,
113,2021-10-01 03:00:00,,,
114,2021-10-01 04:00:00,,,
115,2021-10-01 05:00:00,,,
116,2021-10-01 06:00:00,,,
117,2021-10-01 07:00:00,,,
118,2021-10-01 08:00:00,,,
119,2021-10-01 09:00:00,,,
120,2021-10-01 10:00:00,,,
121,2021-10-01 11:00:00,,,
122,2021-10-01 12:00:00,,,
123,2021-10-01 13:00:00,,,
124,2021-10-01 14:00:00,,,
125,2021-10-01 15:00:00,,,
126,2021-10-01 16:00:00,,,
127,2021-10-01 17:00:00,,,
128,2021-10-01 18:00:00,,,
129,2021-10-01 19:00:00,,,
130,2021-10-01 20:00:00,,,
131,2021-10-01 21:00:00,,,
132,2021-10-01 22:00:00,,,
133,2021-10-01 23:00:00,,,
134,2021-10-02 00:00:00,,,
135,2021-10-02 01:00:00,,,
136,2021-10-02 02:00:00,,,
137,2021-10-02 03:00:00,,,
138,2021-10-02 04:00:00,,,
139,2021-10-02 05:00:00,,,
140,2021-10-02 06:00:00,,,
141,2021-10-02 07:00:00,,,
142,2021-10-02 08:00:00,,,
143,2021-10-02 09:00:00,20.4,75.5,30.2
144,2021-10-02 10:00:00,14.8,68.6,31.7
