,time,PM2.5,humidity,temperature
0,2021-09-29 10:00:00,63.51,79.1,31.2
1,2021-09-29 11:00:00,68.53,74.5,32.5
2,2021-09-29 12:00:00,76.02,73.6,32.9
3,2021-09-29 13:00:00,78.52,69.9,33.9
4,2021-09-29 14:00:00,77.02,69.4,33.7
5,2021-09-29 15:00:00,126.68,66.4,34.3
6,2021-09-29 16:00:00,90.51,66.8,34.2
7,2021-09-29 17:00:00,73.41,67.0,33.7
8,2021-09-29 18:00:00,108.1,72.7,32.6
9,2021-09-29 19:00:00,122.52,79.5,31.5
10,2021-09-29 20:00:00,117.54,82.5,31.0
11,2021-09-29 21:00:00,93.06,88.5,30.0
12,2021-09-29 22:00:00,54.36,89.2,29.5
13,2021-09-29 23:00:00,17.5,89.8,29.1
14,2021-09-30 00:00:00,56.07,93.0,28.5
15,2021-09-30 01:00:00,74.18,95.1,28.2
16,2021-09-30 02:00:00,97.31,96.8,28.1
17,2021-09-30 03:00:00,143.45,97.4,28.1
18,2021-09-30 04:00:00,227.51,99.5,27.8
19,2021-09-30 05:00:00,204.88,100.0,27.7
20,2021-09-30 06:00:00,211.63,100.0,27.7
21,2021-09-30 07:00:00,220.26,100.0,27.7
22,2021-09-30 08:00:00,199.65,98.5,28.8
23,2021-09-30 09:00:00,163.65,90.8,30.1
24,2021-09-30 10:00:00,142.48,80.8,31.7
25,2021-09-30 11:00:00,92.6,71.2,33.1
26,2021-09-30 12:00:00,50.88,62.7,34.6
27,2021-09-30 13:00:00,55.07,59.0,35.4
28,2021-09-30 14:00:00,56.65,58.0,35.1
29,2021-09-30 15:00:00,92.17,62.4,35.1
30,2021-09-30 16:00:00,63.74,63.3,34.8
31,2021-09-30 17:00:00,91.95,66.2,34.1
32,2021-09-30 18:00:00,190.45,71.6,32.7
33,2021-09-30 19:00:00,359.66,78.1,31.7
34,2021-09-30 20:00:00,77.25,87.9,30.7
35,2021-09-30 21:00:00,97.26,88.8,30.3
36,2021-09-30 22:00:00,119.5,91.3,29.9
37,2021-09-30 23:00:00,28.6,93.1,29.6
38,2021-10-01 00:00:00,23.7,94.8,29.2
39,2021-10-01 01:00:00,23.1,95.8,29.1
40,2021-10-01 02:00:00,20.9,96.8,28.6
41,2021-10-01 03:00:00,25.0,95.3,28.8
42,2021-10-01 04:00:00,47.1,96.2,28.7
43,2021-10-01 05:00:00,54.6,97.9,28.3
44,2021-10-01 06:00:00,46.6,99.4,27.8
45,2021-10-01 07:00:00,49.6,99.9,27.7
46,2021-10-01 08:00:00,58.2,94.6,29.2
47,2021-10-01 09:00:00,39.8,88.1,30.2
48,2021-10-01 10:00:00,42.9,79.6,32.1
49,2021-10-01 11:00:00,35.2,72.8,33.2
50,2021-10-01 12:00:00,33.3,67.5,34.2
51,2021-10-01 13:00:00,48.9,64.3,35.0
52,2021-10-01 14:00:00,51.1,65.7,34.7
53,2021-10-01 15:00:00,40.2,67.7,34.0
54,2021-10-01 16:00:00,88.9,69.5,33.5
55,2021-10-01 17:00:00,182.6,72.6,32.9
56,2021-10-01 18:00:00,53.1,80.0,31.8
57,2021-10-01 19:00:00,49.1,83.9,30.8
58,2021-10-01 20:00:00,33.8,84.3,30.5
59,2021-10-01 21:00:00,26.4,84.8,30.1
60,2021-10-01 22:00:00,35.5,86.7,29.7
61,2021-10-01 23:00:00,47.0,89.2,29.4
62,2021-10-02 00:00:00,44.2,91.0,29.1
63,2021-10-02 01:00:00,41.2,92.4,28.8
64,2021-10-02 02:00:00,49.5,93.5,28.6
65,2021-10-02 03:00:00,49.4,96.1,28.2
66,2021-10-02 04:00:00,55.0,95.3,28.4
67,2021-10-02 05:00:00,76.5,96.2,28.2
68,2021-10-02 06:00:00,51.1,99.4,27.6
69,2021-10-02 07:00:00,40.4,99.5,27.7
70,2021-10-02 08:00:00,45.2,97.7,28.4
71,2021-10-02 09:00:00,38.0,92.4,29.5
72,2021-10-02 10:00:00,22.7,88.0,30.3
73,2021-10-02 11:00:00,26.4,91.5,30.0
74,2021-10-02 12:00:00,22.8,83.5,30.8
75,2021-10-02 13:00:00,13.1,87.9,29.3
76,2021-10-02 14:00:00,17.8,96.1,27.5
77,2021-10-02 15:00:00,19.7,99.8,26.8
78,2021-10-02 16:00:00,12.5,100.0,26.0
79,2021-10-02 17:00:00,12.4,100.0,25.9
80,2021-10-02 18:00:00,17.3,100.0,26.0
81,2021-10-02 19:00:00,21.8,100.0,26.2
82,2021-10-02 20:00:00,23.8,100.0,26.3
83,2021-10-02 21:00:00,22.5,100.0,25.8
84,2021-10-02 22:00:00,21.4,100.0,25.7
85,2021-10-02 23:00:00,23.4,100.0,25.7
86,2021-10-03 00:00:00,27.0,100.0,25.7
87,2021-10-03 01:00:00,27.3,100.0,26.0
88,2021-10-03 02:00:00,26.7,100.0,26.0
89,2021-10-03 03:00:00,27.7,100.0,26.2
90,2021-10-03 04:00:00,39.4,100.0,26.0
91,2021-10-03 05:00:00,44.2,100.0,26.0
92,2021-10-03 06:00:00,58.6,100.0,26.0
93,2021-10-03 07:00:00,73.3,100.0,26.1
94,2021-10-03 08:00:00,70.9,100.0,26.9
95,2021-10-03 09:00:00,71.1,98.0,28.3
96,2021-10-03 10:00:00,80.6,94.1,29.2
97,2021-10-03 11:00:00,87.4,88.7,30.1
98,2021-10-03 12:00:00,81.9,78.5,32.1
99,2021-10-03 13:00:00,69.1,75.5,32.2
100,2021-10-03 14:00:00,63.2,72.5,33.0
101,2021-10-03 15:00:00,61.2,71.6,32.9
102,2021-10-03 16:00:00,69.9,69.7,33.0
103,2021-10-03 17:00:00,77.2,72.2,32.4
104,2021-10-03 18:00:00,73.4,78.2,31.3
105,2021-10-03 19:00:00,95.2,84.3,29.8
106,2021-10-03 20:00:00,36.6,87.7,29.5
107,2021-10-03 21:00:00,32.6,90.0,29.1
108,2021-10-03 22:00:00,33.7,93.5,28.6
109,2021-10-03 23:00:00,34.8,93.7,28.4
110,2021-10-04 00:00:00,32.7,95.4,27.9
111,2021-10-04 01:00:00,29.8,96.5,27.6
112,2021-10-04 02:00:00,30.7,98.5,27.2
113,2021-10-04 03:00:00,53.3,100.0,26.9
114,2021-10-04 04:00:00,47.4,100.0,26.8
115,2021-10-04 05:00:00,51.2,100.0,26.9
116,2021-10-04 06:00:00,68.0,100.0,26.9
117,2021-10-04 07:00:00,52.0,100.0,26.4
118,2021-10-04 08:00:00,58.6,100.0,27.4
119,2021-10-04 09:00:00,30.8,98.2,27.3
120,2021-10-04 10:00:00,21.2,100.0,25.8
121,2021-10-04 11:00:00,16.2,99.9,26.4
122,2021-10-04 12:00:00,23.0,92.0,28.6
123,2021-10-04 13:00:00,40.0,85.6,30.3
124,2021-10-04 14:00:00,41.3,80.7,31.4
125,2021-10-04 15:00:00,44.0,78.9,31.8
126,2021-10-04 16:00:00,44.5,79.7,31.5
127,2021-10-04 17:00:00,42.0,81.7,30.6
128,2021-10-04 18:00:00,20.6,99.0,25.8
129,2021-10-04 19:00:00,27.0,100.0,26.4
130,2021-10-04 20:00:00,29.2,100.0,26.8
131,2021-10-04 21:00:00,28.9,100.0,26.6
132,2021-10-04 22:00:00,32.3,100.0,26.2
133,2021-10-04 23:00:00,35.9,100.0,26.2
134,2021-10-05 00:00:00,39.0,100.0,26.1
135,2021-10-05 01:00:00,35.6,100.0,26.3
136,2021-10-05 02:00:00,33.2,100.0,26.8
137,2021-10-05 03:00:00,25.5,100.0,26.7
138,2021-10-05 04:00:00,28.2,100.0,26.5
139,2021-10-05 05:00:00,25.2,100.0,26.1
140,2021-10-05 06:00:00,23.3,100.0,25.8
141,2021-10-05 07:00:00,50.5,100.0,26.3
142,2021-10-05 08:00:00,30.1,97.4,27.3
143,2021-10-05 09:00:00,42.1,92.4,28.8
144,2021-10-05 10:00:00,30.2,80.7,31.2
145,2021-10-05 11:00:00,19.6,70.9,32.6
146,2021-10-05 12:00:00,25.6,68.0,33.3
147,2021-10-05 13:00:00,21.5,63.7,33.8
148,2021-10-05 14:00:00,20.1,62.5,34.1
149,2021-10-05 15:00:00,16.7,63.9,33.9
150,2021-10-05 16:00:00,12.2,66.7,33.2
151,2021-10-05 17:00:00,13.4,71.6,32.4
152,2021-10-05 18:00:00,18.0,77.6,31.3
153,2021-10-05 19:00:00,39.4,81.4,30.6
154,2021-10-05 20:00:00,22.0,85.4,30.2
155,2021-10-05 21:00:00,12.8,87.1,29.8
156,2021-10-05 22:00:00,10.7,87.0,29.6
157,2021-10-05 23:00:00,11.4,90.6,29.0
158,2021-10-06 00:00:00,12.2,95.4,28.4
159,2021-10-06 01:00:00,11.7,95.2,28.4
160,2021-10-06 02:00:00,11.4,93.4,28.6
161,2021-10-06 03:00:00,12.2,94.5,28.3
162,2021-10-06 04:00:00,13.2,96.6,28.2
163,2021-10-06 05:00:00,16.3,97.9,27.7
164,2021-10-06 06:00:00,16.4,99.4,27.2
165,2021-10-06 07:00:00,17.6,99.8,27.3
166,2021-10-06 08:00:00,15.2,98.7,27.6
167,2021-10-06 09:00:00,21.8,93.9,29.0
