,time,PM2.5,humidity,temperature
0,2021-10-08 10:00:00,17.4,70.6,31.8
1,2021-10-08 11:00:00,16.9,70.5,32.6
2,2021-10-08 12:00:00,16.6,72.5,32.9
3,2021-10-08 13:00:00,15.2,72.4,33.4
4,2021-10-08 14:00:00,14.9,72.6,33.8
5,2021-10-08 15:00:00,15.0,72.9,34.1
6,2021-10-08 16:00:00,15.4,74.4,33.7
7,2021-10-08 17:00:00,15.5,73.2,33.3
8,2021-10-08 18:00:00,20.7,75.6,32.8
9,2021-10-08 19:00:00,23.3,75.9,32.1
10,2021-10-08 20:00:00,27.7,76.7,31.8
11,2021-10-08 21:00:00,25.2,76.0,31.8
12,2021-10-08 22:00:00,18.1,76.0,31.7
13,2021-10-08 23:00:00,16.6,81.6,30.9
14,2021-10-09 00:00:00,15.6,83.1,30.6
15,2021-10-09 01:00:00,17.9,84.2,30.4
16,2021-10-09 02:00:00,13.4,83.9,30.1
17,2021-10-09 03:00:00,24.3,92.3,29.5
18,2021-10-09 04:00:00,26.1,99.5,29.2
19,2021-10-09 05:00:00,23.9,100.0,28.8
20,2021-10-09 06:00:00,20.9,100.0,28.6
21,2021-10-09 07:00:00,19.2,99.7,28.4
22,2021-10-09 08:00:00,20.2,96.2,28.7
23,2021-10-09 09:00:00,23.2,93.1,29.2
24,2021-10-09 10:00:00,26.1,91.2,29.9
25,2021-10-09 11:00:00,17.6,83.5,30.7
26,2021-10-09 12:00:00,12.7,82.9,30.4
27,2021-10-09 13:00:00,8.8,96.3,28.3
28,2021-10-09 14:00:00,4.7,99.3,27.5
29,2021-10-09 15:00:00,5.6,100.0,26.8
30,2021-10-09 16:00:00,6.6,100.0,26.4
31,2021-10-09 17:00:00,5.8,100.0,26.2
32,2021-10-09 18:00:00,6.4,100.0,26.0
33,2021-10-09 19:00:00,4.6,100.0,26.0
34,2021-10-09 20:00:00,3.2,100.0,26.1
35,2021-10-09 21:00:00,3.1,100.0,25.6
36,2021-10-09 22:00:00,2.0,100.0,25.3
37,2021-10-09 23:00:00,1.7,100.0,24.8
38,2021-10-10 00:00:00,2.1,100.0,24.8
39,2021-10-10 01:00:00,2.6,100.0,25.0
40,2021-10-10 02:00:00,4.0,100.0,25.3
41,2021-10-10 03:00:00,3.7,100.0,25.1
42,2021-10-10 04:00:00,4.4,100.0,24.8
43,2021-10-10 05:00:00,4.7,100.0,24.7
44,2021-10-10 06:00:00,5.1,100.0,24.9
45,2021-10-10 07:00:00,4.5,100.0,25.0
46,2021-10-10 08:00:00,5.3,100.0,24.7
47,2021-10-10 09:00:00,5.3,100.0,24.8
48,2021-10-10 10:00:00,5.0,100.0,25.0
49,2021-10-10 11:00:00,5.4,100.0,25.0
50,2021-10-10 12:00:00,4.8,100.0,25.2
51,2021-10-10 13:00:00,5.0,100.0,25.2
52,2021-10-10 14:00:00,4.4,100.0,25.0
53,2021-10-10 15:00:00,3.4,100.0,24.9
54,2021-10-10 16:00:00,2.5,100.0,24.9
55,2021-10-10 17:00:00,3.1,100.0,24.8
56,2021-10-10 18:00:00,2.9,100.0,24.8
57,2021-10-10 19:00:00,2.6,100.0,24.9
58,2021-10-10 20:00:00,1.3,100.0,24.8
59,2021-10-10 21:00:00,1.3,100.0,24.6
60,2021-10-10 22:00:00,1.3,100.0,24.6
