,time,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,60.1,67.2,14.0
1,2021-01-01 01:00:00,56.4,66.9,13.8
2,2021-01-01 02:00:00,58.1,65.1,13.6
3,2021-01-01 03:00:00,53.3,58.5,13.5
4,2021-01-01 04:00:00,86.62,59.3,13.2
5,2021-01-01 05:00:00,79.37,51.7,12.8
6,2021-01-01 06:00:00,46.1,49.2,12.3
7,2021-01-01 07:00:00,54.4,51.3,12.1
8,2021-01-01 08:00:00,52.9,48.2,12.3
9,2021-01-01 09:00:00,42.9,40.5,13.0
10,2021-01-01 10:00:00,46.4,38.2,14.1
11,2021-01-01 11:00:00,41.0,34.9,15.5
12,2021-01-01 12:00:00,39.5,32.8,15.8
13,2021-01-01 13:00:00,39.3,29.6,17.4
14,2021-01-01 14:00:00,36.0,28.7,17.2
15,2021-01-01 15:00:00,37.2,29.0,17.6
16,2021-01-01 16:00:00,38.0,28.9,18.9
17,2021-01-01 17:00:00,42.3,31.5,18.0
18,2021-01-01 18:00:00,76.0,35.1,16.8
19,2021-01-01 19:00:00,70.0,37.9,16.3
20,2021-01-01 20:00:00,128.0,42.4,15.8
21,2021-01-01 21:00:00,151.8,46.9,15.3
22,2021-01-01 22:00:00,137.72,53.2,14.7
23,2021-01-01 23:00:00,163.7,56.0,14.2
24,2021-01-02 00:00:00,136.97,59.7,13.9
25,2021-01-02 01:00:00,137.76,61.8,13.3
26,2021-01-02 02:00:00,131.16,70.2,12.9
27,2021-01-02 03:00:00,133.57,75.5,12.1
28,2021-01-02 04:00:00,146.03,77.0,11.9
29,2021-01-02 05:00:00,134.44,78.8,11.6
30,2021-01-02 06:00:00,135.51,79.9,11.2
31,2021-01-02 07:00:00,150.66,78.5,11.1
32,2021-01-02 08:00:00,131.6,70.4,12.0
33,2021-01-02 09:00:00,113.61,60.8,13.4
34,2021-01-02 10:00:00,116.16,56.4,14.8
35,2021-01-02 11:00:00,106.43,53.1,16.0
36,2021-01-02 12:00:00,102.3,49.3,17.1
37,2021-01-02 13:00:00,93.5,45.8,18.3
38,2021-01-02 14:00:00,86.7,43.1,18.9
39,2021-01-02 15:00:00,81.0,41.9,19.0
40,2021-01-02 16:00:00,75.5,40.0,20.0
41,2021-01-02 17:00:00,83.9,41.8,19.1
42,2021-01-02 18:00:00,131.6,49.2,17.5
43,2021-01-02 19:00:00,140.94,53.6,16.8
44,2021-01-02 20:00:00,156.64,56.8,16.2
45,2021-01-02 21:00:00,151.21,57.5,15.9
46,2021-01-02 22:00:00,113.78,61.8,15.1
47,2021-01-02 23:00:00,81.59,65.7,14.8
48,2021-01-03 00:00:00,78.5,69.3,14.3
49,2021-01-03 01:00:00,74.52,71.0,14.0
50,2021-01-03 02:00:00,76.71,74.0,13.8
51,2021-01-03 03:00:00,93.95,75.7,13.6
52,2021-01-03 04:00:00,87.9,76.9,13.5
53,2021-01-03 05:00:00,75.97,77.1,13.5
54,2021-01-03 06:00:00,95.9,79.0,12.7
55,2021-01-03 07:00:00,103.57,72.5,12.7
56,2021-01-03 08:00:00,113.76,69.7,13.0
57,2021-01-03 09:00:00,147.28,71.9,13.6
58,2021-01-03 10:00:00,144.04,69.0,15.0
59,2021-01-03 11:00:00,124.16,62.3,16.6
60,2021-01-03 12:00:00,100.3,51.4,18.1
61,2021-01-03 13:00:00,105.15,50.1,19.3
62,2021-01-03 14:00:00,101.8,49.6,20.1
63,2021-01-03 15:00:00,71.1,46.5,20.5
64,2021-01-03 16:00:00,58.9,48.8,19.3
65,2021-01-03 17:00:00,53.4,50.1,18.4
66,2021-01-03 18:00:00,59.6,51.8,17.8
67,2021-01-03 19:00:00,71.0,56.6,17.5
68,2021-01-03 20:00:00,77.2,60.4,17.4
69,2021-01-03 21:00:00,89.82,62.2,17.1
70,2021-01-03 22:00:00,96.17,61.8,17.1
71,2021-01-03 23:00:00,99.02,62.2,17.0
72,2021-01-04 00:00:00,104.38,60.6,16.8
73,2021-01-04 01:00:00,89.6,56.6,16.9
74,2021-01-04 02:00:00,97.47,58.2,16.6
75,2021-01-04 03:00:00,104.67,59.1,16.4
76,2021-01-04 04:00:00,113.58,63.1,16.1
77,2021-01-04 05:00:00,126.43,65.0,16.1
78,2021-01-04 06:00:00,125.38,65.7,16.0
79,2021-01-04 07:00:00,117.27,65.4,16.0
80,2021-01-04 08:00:00,117.89,65.4,16.2
81,2021-01-04 09:00:00,144.44,66.4,16.6
82,2021-01-04 10:00:00,144.62,63.7,17.4
83,2021-01-04 11:00:00,139.18,56.8,18.4
84,2021-01-04 12:00:00,128.7,49.9,19.4
85,2021-01-04 13:00:00,113.7,47.9,20.0
86,2021-01-04 14:00:00,114.0,46.8,20.6
87,2021-01-04 15:00:00,99.1,45.7,20.8
88,2021-01-04 16:00:00,91.0,45.2,20.7
89,2021-01-04 17:00:00,93.1,46.3,20.4
90,2021-01-04 18:00:00,92.4,48.8,19.8
91,2021-01-04 19:00:00,115.1,49.9,19.4
92,2021-01-04 20:00:00,151.03,54.1,18.5
93,2021-01-04 21:00:00,173.32,56.6,18.0
94,2021-01-04 22:00:00,181.94,60.4,17.5
95,2021-01-04 23:00:00,171.11,65.1,16.8
96,2021-01-05 00:00:00,188.24,65.9,17.0
97,2021-01-05 01:00:00,175.48,66.0,17.6
98,2021-01-05 02:00:00,162.72,69.0,17.7
99,2021-01-05 03:00:00,161.29,71.4,17.4
100,2021-01-05 04:00:00,196.58,73.2,16.7
101,2021-01-05 05:00:00,196.64,73.5,16.7
102,2021-01-05 06:00:00,199.69,77.4,16.4
103,2021-01-05 07:00:00,195.64,79.6,16.1
104,2021-01-05 08:00:00,187.03,77.5,16.3
105,2021-01-05 09:00:00,177.09,74.9,16.8
106,2021-01-05 10:00:00,175.39,71.5,17.6
107,2021-01-05 11:00:00,171.3,65.4,18.7
108,2021-01-05 12:00:00,176.97,62.6,19.4
109,2021-01-05 13:00:00,177.76,62.3,19.9
110,2021-01-05 14:00:00,175.54,63.1,19.9
111,2021-01-05 15:00:00,166.05,63.8,19.7
112,2021-01-05 16:00:00,163.53,63.2,19.9
113,2021-01-05 17:00:00,178.87,64.5,19.6
114,2021-01-05 18:00:00,176.48,66.2,19.4
115,2021-01-05 19:00:00,152.0,67.6,19.2
116,2021-01-05 20:00:00,116.77,69.6,18.9
117,2021-01-05 21:00:00,113.6,70.6,18.7
118,2021-01-05 22:00:00,100.82,71.7,18.6
119,2021-01-05 23:00:00,96.91,73.5,18.3
120,2021-01-06 00:00:00,97.26,76.6,17.8
121,2021-01-06 01:00:00,93.29,79.2,17.5
122,2021-01-06 02:00:00,83.5,76.5,17.4
123,2021-01-06 03:00:00,81.75,75.0,17.3
124,2021-01-06 04:00:00,85.19,73.7,17.2
125,2021-01-06 05:00:00,85.67,73.0,17.0
126,2021-01-06 06:00:00,83.16,73.0,16.9
127,2021-01-06 07:00:00,86.45,75.8,16.7
128,2021-01-06 08:00:00,89.55,72.2,17.0
129,2021-01-06 09:00:00,97.29,69.9,17.4
130,2021-01-06 10:00:00,86.3,67.1,17.6
131,2021-01-06 11:00:00,91.89,66.4,17.8
132,2021-01-06 12:00:00,94.91,64.7,18.1
133,2021-01-06 13:00:00,98.83,65.7,18.1
134,2021-01-06 14:00:00,101.32,65.2,18.5
135,2021-01-06 15:00:00,107.23,64.1,19.0
136,2021-01-06 16:00:00,108.78,65.2,18.8
137,2021-01-06 17:00:00,119.0,66.3,18.5
138,2021-01-06 18:00:00,114.32,67.4,18.2
139,2021-01-06 19:00:00,118.22,67.8,18.0
140,2021-01-06 20:00:00,124.07,68.3,18.0
141,2021-01-06 21:00:00,123.16,69.1,17.9
142,2021-01-06 22:00:00,135.38,69.8,17.8
143,2021-01-06 23:00:00,134.38,69.7,17.6
144,2021-01-07 00:00:00,128.35,70.2,17.5
145,2021-01-07 01:00:00,124.31,68.7,17.4
146,2021-01-07 02:00:00,134.81,69.8,17.2
147,2021-01-07 03:00:00,124.29,71.2,17.1
148,2021-01-07 04:00:00,110.66,71.4,16.8
149,2021-01-07 05:00:00,119.45,72.5,16.5
150,2021-01-07 06:00:00,135.36,72.6,16.1
151,2021-01-07 07:00:00,115.38,70.5,16.0
152,2021-01-07 08:00:00,115.0,71.0,16.1
153,2021-01-07 09:00:00,,,
154,2021-01-07 10:00:00,,,
155,2021-01-07 11:00:00,,,
156,2021-01-07 12:00:00,,,
157,2021-01-07 13:00:00,,,
158,2021-01-07 14:00:00,,,
159,2021-01-07 15:00:00,,,
160,2021-01-07 16:00:00,,,
161,2021-01-07 17:00:00,,,
162,2021-01-07 18:00:00,,,
163,2021-01-07 19:00:00,,,
164,2021-01-07 20:00:00,,,
165,2021-01-07 21:00:00,,,
166,2021-01-07 22:00:00,,,
167,2021-01-07 23:00:00,,,
168,2021-01-08 00:00:00,,,
169,2021-01-08 01:00:00,,,
170,2021-01-08 02:00:00,,,
171,2021-01-08 03:00:00,,,
172,2021-01-08 04:00:00,,,
173,2021-01-08 05:00:00,,,
174,2021-01-08 06:00:00,,,
175,2021-01-08 07:00:00,,,
176,2021-01-08 08:00:00,,,
177,2021-01-08 09:00:00,,,
178,2021-01-08 10:00:00,,,
179,2021-01-08 11:00:00,,,
180,2021-01-08 12:00:00,,,
181,2021-01-08 13:00:00,,,
182,2021-01-08 14:00:00,,,
183,2021-01-08 15:00:00,,,
184,2021-01-08 16:00:00,,,
185,2021-01-08 17:00:00,,,
186,2021-01-08 18:00:00,,,
187,2021-01-08 19:00:00,,,
188,2021-01-08 20:00:00,,,
189,2021-01-08 21:00:00,,,
190,2021-01-08 22:00:00,,,
191,2021-01-08 23:00:00,,,
192,2021-01-09 00:00:00,,,
193,2021-01-09 01:00:00,,,
194,2021-01-09 02:00:00,,,
195,2021-01-09 03:00:00,,,
196,2021-01-09 04:00:00,,,
197,2021-01-09 05:00:00,,,
198,2021-01-09 06:00:00,,,
199,2021-01-09 07:00:00,,,
200,2021-01-09 08:00:00,,,
201,2021-01-09 09:00:00,25.7,51.0,10.7
202,2021-01-09 10:00:00,27.9,49.0,11.5
203,2021-01-09 11:00:00,31.3,48.0,11.7
204,2021-01-09 12:00:00,35.2,47.0,12.2
205,2021-01-09 13:00:00,36.3,45.6,12.8
206,2021-01-09 14:00:00,34.9,45.4,12.7
207,2021-01-09 15:00:00,32.4,44.6,12.7
208,2021-01-09 16:00:00,43.0,44.3,12.9
209,2021-01-09 17:00:00,40.1,45.6,12.5
210,2021-01-09 18:00:00,42.2,46.5,12.2
211,2021-01-09 19:00:00,46.7,48.0,12.1
212,2021-01-09 20:00:00,43.5,48.2,12.3
213,2021-01-09 21:00:00,44.3,48.6,12.3
214,2021-01-09 22:00:00,39.5,48.5,12.1
215,2021-01-09 23:00:00,37.7,47.5,11.8
216,2021-01-10 00:00:00,40.0,44.7,11.4
217,2021-01-10 01:00:00,43.9,44.1,11.0
218,2021-01-10 02:00:00,28.6,44.3,10.9
219,2021-01-10 03:00:00,25.2,44.8,10.8
220,2021-01-10 04:00:00,25.7,44.9,10.6
221,2021-01-10 05:00:00,25.2,46.3,10.5
222,2021-01-10 06:00:00,26.5,47.2,10.4
223,2021-01-10 07:00:00,28.3,49.4,10.3
224,2021-01-10 08:00:00,29.2,51.0,10.4
225,2021-01-10 09:00:00,28.3,49.0,10.8
226,2021-01-10 10:00:00,29.7,45.7,11.2
227,2021-01-10 11:00:00,30.9,44.9,11.7
228,2021-01-10 12:00:00,32.4,45.1,12.3
229,2021-01-10 13:00:00,30.1,44.7,12.6
230,2021-01-10 14:00:00,30.6,45.6,12.8
231,2021-01-10 15:00:00,33.4,46.0,13.0
