,time,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,50.8,61.1,14.0
1,2021-01-01 01:00:00,56.2,60.9,13.7
2,2021-01-01 02:00:00,79.6,62.3,13.4
3,2021-01-01 03:00:00,95.86,68.4,12.8
4,2021-01-01 04:00:00,77.9,64.8,12.2
5,2021-01-01 05:00:00,75.7,63.3,11.5
6,2021-01-01 06:00:00,75.2,61.1,11.5
7,2021-01-01 07:00:00,84.42,67.6,11.1
8,2021-01-01 08:00:00,71.91,64.3,11.5
9,2021-01-01 09:00:00,56.6,39.8,16.4
10,2021-01-01 10:00:00,43.3,30.2,18.9
11,2021-01-01 11:00:00,43.0,25.8,20.5
12,2021-01-01 12:00:00,48.1,23.4,22.2
13,2021-01-01 13:00:00,40.0,21.2,22.4
14,2021-01-01 14:00:00,37.4,22.0,21.9
15,2021-01-01 15:00:00,40.6,23.6,21.2
16,2021-01-01 16:00:00,44.4,26.1,20.2
17,2021-01-01 17:00:00,57.9,30.3,18.5
18,2021-01-01 18:00:00,71.7,38.5,17.0
19,2021-01-01 19:00:00,79.4,43.8,16.2
20,2021-01-01 20:00:00,132.5,48.6,15.8
21,2021-01-01 21:00:00,117.9,48.9,15.5
22,2021-01-01 22:00:00,166.96,54.3,15.0
23,2021-01-01 23:00:00,130.72,56.5,14.6
24,2021-01-02 00:00:00,143.77,58.3,14.1
25,2021-01-02 01:00:00,146.67,62.5,13.6
26,2021-01-02 02:00:00,205.77,64.3,12.9
27,2021-01-02 03:00:00,242.35,66.2,12.6
28,2021-01-02 04:00:00,170.84,67.6,12.4
29,2021-01-02 05:00:00,152.45,69.1,12.0
30,2021-01-02 06:00:00,138.5,69.6,11.6
31,2021-01-02 07:00:00,131.32,66.6,11.7
32,2021-01-02 08:00:00,119.74,71.5,11.9
33,2021-01-02 09:00:00,179.81,58.2,16.7
34,2021-01-02 10:00:00,154.2,46.2,19.6
35,2021-01-02 11:00:00,110.0,40.0,21.2
36,2021-01-02 12:00:00,90.3,36.1,22.1
37,2021-01-02 13:00:00,85.1,35.3,22.1
38,2021-01-02 14:00:00,74.2,31.8,23.0
39,2021-01-02 15:00:00,73.9,32.3,22.1
40,2021-01-02 16:00:00,76.8,34.3,21.0
41,2021-01-02 17:00:00,93.5,38.0,19.7
42,2021-01-02 18:00:00,124.1,43.5,18.2
43,2021-01-02 19:00:00,137.9,47.7,17.5
44,2021-01-02 20:00:00,149.23,53.7,16.8
45,2021-01-02 21:00:00,156.4,52.6,16.5
46,2021-01-02 22:00:00,135.23,54.9,15.7
47,2021-01-02 23:00:00,94.88,59.9,15.3
48,2021-01-03 00:00:00,76.56,64.2,15.0
49,2021-01-03 01:00:00,90.42,68.5,14.7
50,2021-01-03 02:00:00,114.41,71.8,14.0
51,2021-01-03 03:00:00,119.18,75.7,13.5
52,2021-01-03 04:00:00,146.71,75.7,13.2
53,2021-01-03 05:00:00,119.12,73.6,12.6
