Unnamed: 0,Change,Unnamed: 0.1,Hour,Day,Month,Year,Mean,Delta1,Delta3,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,52.0,0,0,1,1,2018,52.0,52.0,52.0,74.0,97.0,52.0,1.4,82.0,2.0,6.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
1,59.0,1,1,1,1,2018,59.0,14.0,66.0,89.0,121.0,66.0,1.6,86.0,2.0,9.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
2,51.66666666666666,2,2,1,1,2018,51.66666666666666,-29.0,37.0,64.0,77.0,37.0,1.0,67.0,2.0,4.0,50.0,735.0,0.0250000010250005,268112.0,275.82769989013667,60.0037679977417,694.5625
3,47.25,3,3,1,1,2018,47.25,-3.0,-18.0,57.0,63.0,34.0,1.0,65.0,2.0,4.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
4,45.0,4,4,1,1,2018,45.0,2.0,-30.0,59.0,67.0,36.0,1.0,66.0,2.0,5.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
5,42.16666666666666,5,5,1,1,2018,42.16666666666666,-8.0,-9.0,53.0,56.0,28.0,0.8,62.0,2.0,3.0,50.0,737.0625,0.0250000008080005,268208.0,275.89009979248044,60.005815994262704,779.9375
6,38.0,6,6,1,1,2018,38.0,-15.0,-21.0,39.0,39.0,13.0,0.6,47.0,8.0,2.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
7,35.0,7,7,1,1,2018,35.0,1.0,-22.0,34.0,34.0,14.0,0.5,43.0,11.0,2.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
8,32.666666666666664,8,8,1,1,2018,32.666666666666664,0.0,-14.0,33.0,33.0,14.0,0.5,43.0,12.0,2.0,50.0,739.0,0.0250000008209999,267788.0,275.9104998779297,60.00391199493408,770.875
9,30.6,9,9,1,1,2018,30.6,-2.0,-1.0,30.0,30.0,12.0,0.5,36.0,22.0,2.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
10,-0.1337604086267187,10,10,1,1,2018,28.72727272727273,-2.0,-4.0,31.0,31.0,10.0,0.5,30.0,30.0,2.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
11,-0.0940702638563601,11,11,1,1,2018,27.25,1.0,-3.0,28.0,28.0,11.0,0.5,29.0,35.0,2.0,50.0,740.4375,0.0250000010570008,267992.0,275.8963998413085,60.00351599121094,685.5
12,-0.0529560885710618,12,12,1,1,2018,26.07692307692308,1.0,0.0,22.0,22.0,12.0,0.4,26.0,41.0,2.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
13,-0.0077096818808048,13,13,1,1,2018,25.214285714285715,2.0,4.0,20.0,18.0,14.0,0.4,24.0,46.0,2.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
14,0.0546772419499692,14,14,1,1,2018,24.73333333333333,4.0,7.0,32.0,32.0,18.0,0.5,30.0,42.0,4.0,50.0,738.3125,0.0250000013539996,268260.0,275.8610000610352,60.00169199371338,685.0
15,0.1114958778595142,15,15,1,1,2018,24.625,5.0,11.0,46.0,46.0,23.0,0.8,37.0,34.0,7.0,50.0,738.875,0.025000001763001,268464.0,275.8579998779297,60.00193599700928,685.0
