Unnamed: 0,Change,Unnamed: 0.1,Hour,Day,Month,Year,Mean,Delta1,Delta3,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,69.0,0,0,1,1,2018,69.0,69.0,69.0,93.0,128.0,69.0,1.6,87.0,2.0,15.0,50.0,735.5625,0.0250000010059997,267872.0,275.8292999267578,60.00371199798584,694.125
1,80.5,1,1,1,1,2018,80.5,23.0,92.0,121.0,132.0,92.0,1.7,86.0,2.0,15.0,50.0,735.5625,0.0250000010059997,267872.0,275.8292999267578,60.00371199798584,694.125
2,74.0,2,2,1,1,2018,74.0,-31.0,61.0,83.0,97.0,61.0,1.3,74.0,2.0,10.0,50.0,735.5625,0.0250000010059997,267872.0,275.8292999267578,60.00371199798584,694.125
3,65.5,3,3,1,1,2018,65.5,-21.0,-29.0,60.0,69.0,40.0,1.1,70.0,2.0,8.0,50.0,737.375,0.0250000008070003,267964.0,275.8891000366211,60.00578399658203,778.4375
4,61.4,4,4,1,1,2018,61.4,5.0,-47.0,68.0,86.0,45.0,1.4,76.0,2.0,10.0,50.0,737.375,0.0250000008070003,267964.0,275.8891000366211,60.00578399658203,778.4375
5,58.0,5,5,1,1,2018,58.0,-4.0,-20.0,60.0,69.0,41.0,1.2,70.0,2.0,9.0,50.0,737.375,0.0250000008070003,267964.0,275.8891000366211,60.00578399658203,778.4375
6,54.0,6,6,1,1,2018,54.0,-11.0,-10.0,52.0,54.0,30.0,1.0,65.0,2.0,7.0,50.0,739.625,0.0250000008090008,267516.0,275.9097998046874,60.00405199432373,768.875
7,49.75,7,7,1,1,2018,49.75,-10.0,-25.0,40.0,40.0,20.0,0.8,64.0,2.0,6.0,50.0,739.625,0.0250000008090008,267516.0,275.9097998046874,60.00405199432373,768.875
8,46.66666666666666,8,8,1,1,2018,46.66666666666666,2.0,-19.0,37.0,37.0,22.0,0.8,56.0,2.0,5.0,50.0,739.625,0.0250000008090008,267516.0,275.9097998046874,60.00405199432373,768.875
9,43.6,9,9,1,1,2018,43.6,-6.0,-14.0,39.0,39.0,16.0,0.7,50.0,8.0,5.0,50.0,740.9375,0.0250000010400004,267740.0,275.89660003662107,60.00333999633789,685.5
10,-0.2393717440959097,10,10,1,1,2018,40.18181818181818,-10.0,-14.0,34.0,34.0,6.0,0.6,37.0,22.0,4.0,50.0,740.9375,0.0250000010400004,267740.0,275.89660003662107,60.00333999633789,685.5
11,-0.1476542714650475,11,11,1,1,2018,37.5,2.0,-14.0,26.0,26.0,8.0,0.5,28.0,33.0,3.0,50.0,740.9375,0.0250000010400004,267740.0,275.89660003662107,60.00333999633789,685.5
12,0.7016389587415723,12,12,1,1,2018,38.0,36.0,28.0,61.0,22.0,44.0,0.4,22.0,40.0,2.0,50.0,738.75,0.0250000013270005,267996.0,275.8614999389648,60.00157999420166,685.0
13,0.5043098389661582,13,13,1,1,2018,36.0,-34.0,4.0,18.0,18.0,10.0,0.4,23.0,41.0,3.0,50.0,738.75,0.0250000013270005,267996.0,275.8614999389648,60.00157999420166,685.0
14,0.5098123138256178,14,14,1,1,2018,34.46666666666667,3.0,5.0,24.0,24.0,13.0,0.4,25.0,40.0,4.0,50.0,738.75,0.0250000013270005,267996.0,275.8614999389648,60.00157999420166,685.0
15,0.5834616418319301,15,15,1,1,2018,33.6875,9.0,-22.0,36.0,36.0,22.0,0.5,34.0,34.0,6.0,50.0,739.125,0.0250000016879998,268216.0,275.857200012207,60.00200799560547,685.0
16,0.5996778978597161,16,16,1,1,2018,33.588235294117645,10.0,22.0,52.0,54.0,32.0,0.8,46.0,23.0,10.0,50.0,739.125,0.0250000016879998,268216.0,275.857200012207,60.00200799560547,685.0
17,0.6337433778342869,17,17,1,1,2018,34.611111111111114,20.0,39.0,71.0,80.0,52.0,1.3,60.0,11.0,13.0,50.0,739.125,0.0250000016879998,268216.0,275.857200012207,60.00200799560547,685.0
18,0.5787062937062937,18,18,1,1,2018,36.1578947368421,12.0,42.0,86.0,104.0,64.0,2.2,75.0,2.0,21.0,50.0,736.875,0.0250000016530007,268532.0,275.8294998168945,60.001963996887206,685.0
19,0.5105835452426362,19,19,1,1,2018,38.1,11.0,43.0,100.0,134.0,75.0,2.8,79.0,2.0,31.0,50.0,736.875,0.0250000016530007,268532.0,275.8294998168945,60.001963996887206,685.0
20,0.3982786342445433,20,20,1,1,2018,39.76190476190476,-2.0,21.0,98.0,142.0,73.0,2.8,77.0,2.0,33.0,50.0,736.875,0.0250000016530007,268532.0,275.8294998168945,60.001963996887206,685.0
21,0.2625088000418012,21,21,1,1,2018,40.95454545454545,-7.0,2.0,96.0,142.0,66.0,2.3,73.0,2.0,26.0,50.0,735.75,0.0250000016510002,268736.0,275.81459991455074,60.001803993225096,685.0
22,0.1244294447250549,22,22,1,1,2018,41.60869565217392,-10.0,-19.0,89.0,127.0,56.0,1.7,68.0,2.0,16.0,50.0,735.75,0.0250000016510002,268736.0,275.81459991455074,60.001803993225096,685.0
23,0.0984713015295207,23,23,1,1,2018,42.208333333333336,0.0,-17.0,76.0,101.0,56.0,1.0,56.0,4.0,8.0,50.0,735.75,0.0250000016510002,268736.0,275.81459991455074,60.001803993225096,685.0
24,-0.0356922725987172,24,0,2,1,2018,41.6,-29.0,-39.0,56.0,62.0,27.0,0.7,50.0,8.0,6.0,50.0,740.875,0.0250000017210003,269264.0,275.8357998657226,60.00315999603272,695.375
25,-0.0069578188289271,25,1,2,1,2018,41.346153846153854,8.0,-21.0,51.0,51.0,35.0,0.7,56.0,3.0,5.0,50.0,740.875,0.0250000017210003,269264.0,275.8357998657226,60.00315999603272,695.375
26,-0.0716484584842305,26,2,2,1,2018,40.77777777777778,-9.0,-30.0,41.0,41.0,26.0,0.6,48.0,9.0,5.0,50.0,740.875,0.0250000017210003,269264.0,275.8357998657226,60.00315999603272,695.375
27,0.0352420479870666,27,3,2,1,2018,40.82142857142857,16.0,15.0,68.0,85.0,42.0,1.1,69.0,2.0,6.0,50.0,736.625,0.0250000008760001,269428.0,275.8813000488281,60.0095239944458,779.4375
28,0.0737093110351204,28,4,2,1,2018,41.206896551724135,10.0,17.0,81.0,112.0,52.0,1.7,70.0,2.0,7.0,50.0,736.625,0.0250000008760001,269428.0,275.8813000488281,60.0095239944458,779.4375
29,0.0652568271634274,29,5,2,1,2018,41.53333333333333,-1.0,25.0,82.0,114.0,51.0,2.0,65.0,2.0,7.0,50.0,736.625,0.0250000008760001,269428.0,275.8813000488281,60.0095239944458,779.4375
30,0.0566453723607045,30,6,2,1,2018,40.86666666666667,-2.0,7.0,89.0,127.0,49.0,2.0,67.0,2.0,7.0,50.0,749.9375,0.025000000891,269100.0,275.9033999633789,60.00679999542236,736.1875
31,0.0887873825803543,31,7,2,1,2018,39.73333333333333,9.0,6.0,90.0,130.0,58.0,2.1,71.0,2.0,9.0,50.0,749.9375,0.025000000891,269100.0,275.9033999633789,60.00679999542236,736.1875
32,0.1012600143344855,32,8,2,1,2018,39.833333333333336,6.0,13.0,93.0,136.0,64.0,2.4,78.0,2.0,12.0,50.0,749.9375,0.025000000891,269100.0,275.9033999633789,60.00679999542236,736.1875
33,0.0647199881613819,33,9,2,1,2018,40.333333333333336,-9.0,6.0,77.0,103.0,55.0,2.2,65.0,2.0,15.0,50.0,744.4375,0.025000000810001,269272.0,275.89690002441404,60.00811999511718,685.5
34,0.0496933917403445,34,10,2,1,2018,40.6,-2.0,-5.0,73.0,93.0,53.0,1.8,61.0,6.0,17.0,50.0,744.4375,0.025000000810001,269272.0,275.89690002441404,60.00811999511718,685.5
35,0.0050796843171017,35,11,2,1,2018,40.73333333333333,-8.0,-19.0,65.0,80.0,45.0,1.5,76.0,13.0,15.0,50.0,744.4375,0.025000000810001,269272.0,275.89690002441404,60.00811999511718,685.5
36,-0.0403217748372889,36,12,2,1,2018,40.93333333333333,-9.0,-19.0,51.0,43.0,36.0,1.0,27.0,25.0,10.0,50.0,743.3125,0.0250000006610006,269736.0,275.88820007324216,60.00479599761963,685.0
37,-0.0958531041215498,37,13,2,1,2018,41.16666666666666,-9.0,-26.0,48.0,48.0,27.0,0.7,33.0,33.0,7.0,50.0,743.3125,0.0250000006610006,269736.0,275.88820007324216,60.00479599761963,685.0
38,-0.15080168282306,38,14,2,1,2018,41.03333333333333,-9.0,-27.0,51.0,52.0,18.0,0.6,35.0,35.0,6.0,50.0,743.3125,0.0250000006610006,269736.0,275.88820007324216,60.00479599761963,685.0
39,-0.2559667117410206,39,15,2,1,2018,40.7,-12.0,-30.0,41.0,41.0,6.0,0.4,25.0,41.0,4.0,50.0,741.5625,0.0250000006170012,269744.0,275.8689999389648,60.00633999633789,685.0
40,-0.1069359364631768,40,16,2,1,2018,40.833333333333336,4.0,-17.0,33.0,33.0,10.0,0.3,36.0,41.0,4.0,50.0,741.5625,0.0250000006170012,269744.0,275.8689999389648,60.00633999633789,685.0
41,-0.1464969615418394,41,17,2,1,2018,40.8,-3.0,-11.0,31.0,31.0,7.0,0.3,27.0,38.0,3.0,50.0,741.5625,0.0250000006170012,269744.0,275.8689999389648,60.00633999633789,685.0
42,-0.044796391073192,42,18,2,1,2018,39.66666666666666,3.0,4.0,36.0,36.0,10.0,0.4,45.0,20.0,3.0,50.0,740.5625,0.0250000006900001,269856.0,275.8545999145508,60.00812799835205,685.0
43,-0.0087474103940656,43,19,2,1,2018,39.7,1.0,1.0,43.0,43.0,11.0,0.5,58.0,8.0,3.0,50.0,740.5625,0.0250000006900001,269856.0,275.8545999145508,60.00812799835205,685.0
44,-0.127486652855435,44,20,2,1,2018,39.36666666666667,-8.0,-4.0,33.0,33.0,3.0,0.4,40.0,24.0,3.0,50.0,740.5625,0.0250000006900001,269856.0,275.8545999145508,60.00812799835205,685.0
