Unnamed: 0,Change,Unnamed: 0.1,Hour,Day,Month,Year,Mean,Delta1,Delta3,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,91.0,0,0,1,1,2018,91.0,91.0,91.0,120.0,152.0,91.0,2.0,78.0,2.0,5.0,50.0,735.75,0.0250000010860003,268340.0,275.82829986572256,60.00415199279785,694.5625
1,84.5,1,1,1,1,2018,84.5,-13.0,78.0,104.0,153.0,78.0,2.0,77.0,2.0,5.0,50.0,735.75,0.0250000010860003,268340.0,275.82829986572256,60.00415199279785,694.5625
2,79.66666666666667,2,2,1,1,2018,79.66666666666667,-8.0,70.0,97.0,144.0,70.0,2.1,87.0,2.0,6.0,50.0,735.75,0.0250000010860003,268340.0,275.82829986572256,60.00415199279785,694.5625
3,76.25,3,3,1,1,2018,76.25,-4.0,-25.0,89.0,113.0,66.0,2.0,83.0,2.0,7.0,50.0,737.9375,0.0250000008749999,268380.0,275.892200012207,60.00615999603272,778.3125
4,70.6,4,4,1,1,2018,70.6,-18.0,-30.0,66.0,80.0,48.0,1.7,72.0,2.0,6.0,50.0,737.9375,0.0250000008749999,268380.0,275.892200012207,60.00615999603272,778.3125
5,64.66666666666667,5,5,1,1,2018,64.66666666666667,-13.0,-35.0,54.0,58.0,35.0,1.4,65.0,2.0,5.0,50.0,737.9375,0.0250000008749999,268380.0,275.892200012207,60.00615999603272,778.3125
6,59.57142857142857,6,6,1,1,2018,59.57142857142857,-6.0,-37.0,49.0,49.0,29.0,1.3,63.0,2.0,4.0,50.0,740.125,0.0250000008969996,267992.0,275.911600036621,60.0042199935913,768.3125
7,55.125,7,7,1,1,2018,55.125,-5.0,-24.0,44.0,44.0,24.0,1.2,60.0,2.0,4.0,50.0,740.125,0.0250000008969996,267992.0,275.911600036621,60.0042199935913,768.3125
8,50.77777777777778,8,8,1,1,2018,50.77777777777778,-8.0,-19.0,34.0,34.0,16.0,1.1,58.0,2.0,3.0,50.0,740.125,0.0250000008969996,267992.0,275.911600036621,60.0042199935913,768.3125
9,47.5,9,9,1,1,2018,47.5,2.0,-11.0,35.0,35.0,18.0,1.2,54.0,5.0,3.0,50.0,741.25,0.0250000011190008,268152.0,275.89690002441404,60.00416799163818,685.5
10,-0.1225749877082165,10,10,1,1,2018,44.81818181818182,0.0,-6.0,39.0,39.0,18.0,1.1,45.0,13.0,3.0,50.0,741.25,0.0250000011190008,268152.0,275.89690002441404,60.00416799163818,685.5
11,-0.1375553843578921,11,11,1,1,2018,42.25,-4.0,-2.0,31.0,31.0,14.0,1.1,34.0,26.0,4.0,50.0,741.25,0.0250000011190008,268152.0,275.89690002441404,60.00416799163818,685.5
12,-0.071727700199487,12,12,1,1,2018,40.30769230769232,3.0,-1.0,39.0,39.0,17.0,1.3,33.0,31.0,7.0,50.0,739.125,0.0250000014120005,268448.0,275.86259979248047,60.00215999603272,685.0
13,0.0563299108947274,13,13,1,1,2018,39.35714285714285,10.0,9.0,53.0,56.0,27.0,1.4,39.0,28.0,11.0,50.0,739.125,0.0250000014120005,268448.0,275.86259979248047,60.00215999603272,685.0
14,0.1128395492644985,14,14,1,1,2018,39.0,7.0,20.0,56.0,62.0,34.0,1.6,39.0,29.0,12.0,50.0,739.125,0.0250000014120005,268448.0,275.86259979248047,60.00215999603272,685.0
15,0.1499718131766813,15,15,1,1,2018,39.125,7.0,24.0,64.0,77.0,41.0,1.7,43.0,27.0,13.0,50.0,740.0,0.0250000019810013,268612.0,275.86079986572264,60.00213999176025,685.0
16,0.1853492620808209,16,16,1,1,2018,39.8235294117647,10.0,24.0,70.0,85.0,51.0,2.2,53.0,21.0,17.0,50.0,740.0,0.0250000019810013,268612.0,275.86079986572264,60.00213999176025,685.0
17,0.2258703382806682,17,17,1,1,2018,41.333333333333336,16.0,33.0,90.0,112.0,67.0,3.0,70.0,8.0,25.0,50.0,740.0,0.0250000019810013,268612.0,275.86079986572264,60.00213999176025,685.0
18,0.2385033790904366,18,18,1,1,2018,43.42105263157895,14.0,40.0,108.0,148.0,81.0,3.4,82.0,2.0,25.0,50.0,737.625,0.0250000018700007,269012.0,275.8335998535156,60.00212399291992,685.0
19,0.2010401001521439,19,19,1,1,2018,45.25,-1.0,29.0,106.0,155.0,80.0,3.6,83.0,2.0,23.0,50.0,737.625,0.0250000018700007,269012.0,275.8335998535156,60.00212399291992,685.0
20,0.1569550479254113,20,20,1,1,2018,46.66666666666666,-5.0,8.0,102.0,154.0,75.0,3.4,79.0,2.0,20.0,50.0,737.625,0.0250000018700007,269012.0,275.8335998535156,60.00212399291992,685.0
21,0.1302184805471635,21,21,1,1,2018,48.04545454545455,2.0,-4.0,103.0,155.0,77.0,2.9,76.0,2.0,14.0,50.0,735.8125,0.0250000017000008,269144.0,275.81369995117177,60.00211599731446,685.0
22,0.0752179750867958,22,22,1,1,2018,48.95652173913044,-8.0,-11.0,94.0,138.0,69.0,2.2,66.0,2.0,6.0,50.0,735.8125,0.0250000017000008,269144.0,275.81369995117177,60.00211599731446,685.0
23,0.0211773792819899,23,23,1,1,2018,49.41666666666666,-9.0,-15.0,81.0,108.0,60.0,1.7,60.0,2.0,3.0,50.0,735.8125,0.0250000017000008,269144.0,275.81369995117177,60.00211599731446,685.0
24,-0.0415356182898467,24,0,2,1,2018,49.24,-15.0,-32.0,63.0,71.0,45.0,1.4,56.0,2.0,3.0,50.0,740.8125,0.0250000017870012,269660.0,275.8330999755859,60.001983993530274,696.3125
25,-0.0818580434711111,25,1,2,1,2018,48.76923076923077,-8.0,-32.0,54.0,58.0,37.0,1.2,55.0,2.0,2.0,50.0,740.8125,0.0250000017870012,269660.0,275.8330999755859,60.001983993530274,696.3125
26,-0.0877956025028035,26,2,2,1,2018,48.2962962962963,-1.0,-24.0,51.0,51.0,36.0,1.1,53.0,2.0,2.0,50.0,740.8125,0.0250000017870012,269660.0,275.8330999755859,60.001983993530274,696.3125
27,-0.0535901360256167,27,3,2,1,2018,48.07142857142857,6.0,-3.0,64.0,77.0,42.0,1.3,58.0,2.0,3.0,50.0,736.625,0.0250000008760001,269840.0,275.88139984130856,60.008547996521,780.1875
28,-0.029697885743999,28,4,2,1,2018,48.0,4.0,9.0,64.0,62.0,46.0,1.7,58.0,2.0,3.0,50.0,736.625,0.0250000008760001,269840.0,275.88139984130856,60.008547996521,780.1875
