Unnamed: 0,Change,Unnamed: 0.1,Hour,Day,Month,Year,Mean,Delta1,Delta3,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,77.0,0,0,1,1,2018,77.0,77.0,77.0,103.0,122.0,77.0,1.7,83.0,5.0,15.0,50.0,734.4375,0.0250000009909998,267776.0,275.8229000854492,60.00336799621582,694.6875
1,66.0,1,1,1,1,2018,66.0,-22.0,55.0,75.0,86.0,55.0,1.3,74.0,4.0,11.0,50.0,734.4375,0.0250000009909998,267776.0,275.8229000854492,60.00336799621582,694.6875
2,60.0,2,2,1,1,2018,60.0,-7.0,48.0,66.0,72.0,48.0,1.3,72.0,4.0,11.0,50.0,734.4375,0.0250000009909998,267776.0,275.8229000854492,60.00336799621582,694.6875
3,58.5,3,3,1,1,2018,58.5,6.0,-23.0,75.0,100.0,54.0,1.4,75.0,4.0,11.0,50.0,736.6875,0.0250000007700007,267984.0,275.8866998291016,60.00544399261474,779.6875
4,57.4,4,4,1,1,2018,57.4,-1.0,-2.0,73.0,79.0,53.0,1.4,72.0,4.0,13.0,50.0,736.6875,0.0250000007700007,267984.0,275.8866998291016,60.00544399261474,779.6875
5,54.16666666666666,5,5,1,1,2018,54.16666666666666,-15.0,-10.0,56.0,61.0,38.0,1.2,68.0,3.0,12.0,50.0,736.6875,0.0250000007700007,267984.0,275.8866998291016,60.00544399261474,779.6875
6,50.57142857142857,6,6,1,1,2018,50.57142857142857,-9.0,-25.0,44.0,44.0,29.0,1.0,64.0,3.0,9.0,50.0,738.4375,0.0250000007770005,267544.0,275.9091998291016,60.003563995361326,771.75
7,47.5,7,7,1,1,2018,47.5,-3.0,-27.0,40.0,40.0,26.0,0.9,63.0,3.0,8.0,50.0,738.4375,0.0250000007770005,267544.0,275.9091998291016,60.003563995361326,771.75
8,45.22222222222222,8,8,1,1,2018,45.22222222222222,1.0,-11.0,44.0,44.0,27.0,0.9,59.0,4.0,9.0,50.0,738.4375,0.0250000007770005,267544.0,275.9091998291016,60.003563995361326,771.75
9,42.8,9,9,1,1,2018,42.8,-6.0,-8.0,39.0,39.0,21.0,0.9,55.0,8.0,8.0,50.0,740.0,0.0250000010090004,267776.0,275.8944998168945,60.003303993225096,685.5
10,-0.1085112160921464,10,10,1,1,2018,40.72727272727273,-1.0,-6.0,30.0,30.0,20.0,0.7,42.0,22.0,6.0,50.0,740.0,0.0250000010090004,267776.0,275.8944998168945,60.003303993225096,685.5
11,-0.1237622249660552,11,11,1,1,2018,38.66666666666666,-4.0,-11.0,23.0,19.0,16.0,0.6,31.0,37.0,5.0,50.0,740.0,0.0250000010090004,267776.0,275.8944998168945,60.003303993225096,685.5
12,-0.1042080390347691,12,12,1,1,2018,36.92307692307692,0.0,-5.0,23.0,16.5,16.0,0.5,23.0,45.0,4.0,50.0,737.6875,0.0250000012849997,268020.0,275.8576998901367,60.0013639907837,685.0
13,-0.1437860845084418,13,13,1,1,2018,35.07142857142857,-5.0,-9.0,16.0,14.0,11.0,0.4,22.0,48.0,5.0,50.0,737.6875,0.0250000012849997,268020.0,275.8576998901367,60.0013639907837,685.0
14,-0.069004625849883,14,14,1,1,2018,33.666666666666664,3.0,-2.0,22.0,22.0,14.0,0.6,28.0,42.0,6.0,50.0,737.6875,0.0250000012849997,268020.0,275.8576998901367,60.0013639907837,685.0
15,0.0418037688356117,15,15,1,1,2018,32.875,7.0,5.0,33.0,33.0,21.0,0.8,39.0,38.0,9.0,50.0,738.0,0.025000001600001,268252.0,275.8530999755859,60.00169599151612,685.0
16,0.0388083572644701,16,16,1,1,2018,32.117647058823536,-1.0,9.0,44.0,44.0,20.0,0.8,46.0,30.0,11.0,50.0,738.0,0.025000001600001,268252.0,275.8530999755859,60.00169599151612,685.0
17,0.1319396260305351,17,17,1,1,2018,32.0,10.0,16.0,52.0,54.0,30.0,1.0,55.0,20.0,11.0,50.0,738.0,0.025000001600001,268252.0,275.8530999755859,60.00169599151612,685.0
18,0.2444021382657746,18,18,1,1,2018,32.94736842105263,20.0,29.0,71.0,92.0,50.0,1.9,76.0,6.0,16.0,50.0,735.6875,0.0250000015670005,268416.0,275.8241000366211,60.00173999786377,685.0
19,0.3224124360487996,19,19,1,1,2018,35.15,27.0,57.0,103.0,130.0,77.0,2.8,84.0,4.0,26.0,50.0,735.6875,0.0250000015670005,268416.0,275.8241000366211,60.00173999786377,685.0
